DatasetName,NOPCHAP1_S(123) NOPCHAP1_S(14) NOPCHAP1_S(15) NOPCHAP1_S(170) NOPCHAP1_S(178) NOPCHAP1_S(34) NOPCHAP1_S(48) NOPCHAP1_S(66) NOPCHAP1_T(17),NOPCHAP1_S(10) NOPCHAP1_S(172) NOPCHAP1_S(181) NOPCHAP1_S(248) NOPCHAP1_S(8) NOPCHAP1_T(31)
RM2024_Intensity D0-3___3,,
HS2024_6_I_T2,0.5694629695127151,
CW2012_10 µM Erl/control Experiment 2 Replicate B,0.5616901150726537,
AS2011_Ratio H/L Protein Inhi_1,,
FSO2013_Ratio H/M normalized Rep2___1,0.5701689495546566,
GRW2016_Ratio M/L normalized SILAC 5a___2,,
CK2022_10 40-1,0.5637667070513344,
NJH2024_Sub12_HIIT_Pre,,
NJH2024_Sub8_MICT_Pre,,
RM2024_Intensity D0-1___1,,
LY2019_P3+,,
HH2022_Reporter intensity 6,0.5579674883231704,0.42819502053419495
RB2022_2_RecoveryStrength,,
KTGR2014_Ratio-AA 15 mins,,
AS2011_Ratio H/L Normalized RNAi_2_2,,
KS2014_Intensity pY_N3,,
MV2014_Ratio H/L normalized B1___2 (30 min),,
LY2019_P5-,,
HW2015_Ratio M/L normalized Exp2,,
SR2019_HCC1419_Biol_repl_1,,
AH2018_TMTMS2_3_X,0.5595554542098432,
GF2025_P3_Adh,,
SR2019_JIMT1_Biol_repl_2,,
AH2018_TMTMS2_1_C,0.5592689513145402,
RM2024_Intensity D0-1___2,,
LY2019_P4+,,
KBE2022_Log2_Ex_19_U,0.5618712671194268,
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,,
RB2022_4_PostStrength,,
LG2023_GSK3α-3_intensity,,
YA2020_Reporter_intensity_Cancer_No.1,,
AST2020_Control,,
JAW2011_Ratio H/L LS1a,0.5648723460466152,
RCJD2014_5min_mean,0.5646960173394634,
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,
NJH2025_Sub1_MICT_Mid,,
TM2022_S2.12h.C,,
NJH2025_Sub9_MICT_Mid,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,,
AS2011_Ratio H/L Normalized Inhi_1_2,,
FSO2013_Ratio M/L normalized Rep2___1,0.562893694762773,
LG2023_Control-2_intensity,,
NJH2024_Sub8_HIIT_Pre,,
KS2014_Intensity pY_N2,,
RB2022_5_RecoverySprint,,
RB2022_7_RecoverySprint,,
YA2020_Reporter_intensity_Normal_No.3,,
HS2024_8_B_T2,0.5269656915880723,
AH2018_LFQ_1_X,,
RM2024_Intensity D6-1___1,,
RCJD2014_10min_2,0.569812935114896,
FR2021_Norm.Intensity.M,,
RM2024_Intensity D0-3___1,,
KS2014_Intensity N2,0.5619831086175362,0.4922400046425199
HH2022_Reporter intensity 1,0.5643312805243288,0.41978607928511646
HH2022_Reporter intensity 2,0.5642152000820643,0.42460302183755944
RM2024_Intensity D6-2___2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,
RM2024_Intensity D2-3___2,,
YA2020_Reporter_intensity_Normal_No.5,,
SR2019_MCF7_Biol_repl_1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,
HS2024_8_B_T1,0.5197212925854533,
NJH2025_Sub6_HIIT_Pre,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,
EP2017_Untreated R#2 log2 ratio,0.5830659147267427,
SR2019_LM2_Biol_repl_3,,
RB2022_4_RecoveryStrength,,
CR2017_Ratio Replicate 2,0.5739788315114293,
CW2012_10 µM Erl/control Experiment 2 Replicate A,0.5488622756249225,
FSO2013_Ratio H/M normalized Rep3,0.5775638179495614,
AR2021_KD 72h,0.5654141521518137,
MV2014_Ratio H/M normalized B2___3 (5 min),,
KBE2022_Log2_Ex_18_U,0.5692566575031247,
AS2011_Ratio H/L Inhi_1_1,,
NJH2024_Sub8_MICT_Post,,
AH2018_TMTMS3_3_C,,
KBE2022_Log2_Ex_9_U,0.5759427706008533,
AH2018_SILAC_M_3_N,,
KBE2022_Log2_Ex_13_T,0.5709838610529958,
RM2024_Intensity D0-3,,
SR2019_SKBR3_Biol_repl_1,,
PG2020_Intensity Mock_10h_C,0.5894989921270791,
CF2017_OSE 29,0.542836454003004,
YB2013_Ratio_H_L_Normalized_in_experiment_1,,
NJH2025_Sub1_HIIT_Post,,
DL2023_24h-2,,
HS2024_7_B_N2,0.5683721883602113,
PG2020_Intensity 10h_A,,
RN2012_L12,,
MV2014_Ratio M/L normalized B1___3 (5 min),,
NJH2024_Sub8_MICT_Mid,,
AH2018_LFQ_IT_4_C,,
SAS2015_PLX/AZD_Exp1,0.5713781909874599,
FR2021_Norm.Intensity.A,,
FSO2013_Ratio H/M normalized Rep1___1,0.5624310105344528,
JW2015_Intensity cap2,,
BS2014_Log2(Ratio H/L normalized Rep_2),0.5845302338477547,
NJH2024_Sub6_MICT_Post,,
CK2022_8 40-1,0.5693983018701105,
RB2022_7_RecoveryEndurance,,
NJH2025_Sub12_HIIT_Post,,
EJN2021_4_Ex_Basal,,
TM2022_S2.12h.B,,
RN2012_L15,0.5441500686410359,
KS2014_Intensity pY_PV3,,
TM2022_S2.4h.B,,
PG2020_Intensity 4h_A,0.5850605474473617,
FSO2013_Ratio H/M normalized Rep2___2,,
TM2022_mock.4h.B,,
KBE2022_Log2_Ex_24_U,0.5742385850385151,
NJH2025_Sub13_MICT_Mid,,
KS2014_Intensity C3,0.5373725885166452,0.4509507718711836
RB2022_1_PreSprint,,
HS2024_4_I_N1,0.523413755827455,
CK2022_7 200-1,0.5667417689106122,0.4039628187510365
CK2022_5 200-1,0.5674104262901516,0.4029841736904687
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,,
FSO2013_Ratio H/L normalized Rep2___1,0.5747707993362177,
NJH2024_Sub10_HIIT_Mid,,
RB2022_2_PostEndurance,,
AH2018_LFQ_2_C,,
AH2018_SILAC_MR_1_X,,
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,
IMM2018_normalised rep. int. Empty-2,,
RM2024_Intensity D4-1,,
KBE2022_Log2_Ex_25_U,0.5679531677268566,
AH2018_SILAC_3_C,,
EJN2021_5_Rest_Ins,,
VOI2024_0.1uM 24 h_3 di,,
RNJ2017_Log2_ratio_Tstim:Trest_D3,,
DB2022_LFQ intensity L2.1,,
FSO2013_Ratio H/M normalized Rep1,0.5600657224651238,
CK2022_4 16-1,0.5711136046067145,
AS2011_Ratio H/L,,
SR2019_MCF7_Biol_repl_4,,
EJN2021_2_Ex_Ins,,
AS2011_Ratio H/L Inhi_2_3,,
JAW2011_Ratio H/L LS1a_1,0.5647101086881773,
AH2018_LFQ_1_N,,
SAS2015_PLX/DMSO_Exp1,0.5811383558191959,
SFR2015_HL_log2_ratio_avg_c,,
JJ2018_Ratio M/L normalized pP2,0.5743083703659381,
NJH2024_Sub7_MICT_Mid,,
PG2020_Intensity 6h_B,0.576283482076506,
FSO2013_Ratio H/L normalized Rep3,0.5702381434354685,
GRW2016_Ratio H/L normalized SILAC 2___2,,
RKK2015_IKKb(K44M)+TNF-α/TNF-α,0.5689080456422361,
JJ2018_Ratio M/L normalized,0.5543019094890287,
KTGR2014_Ratio-AA 30 mins,,
JW2021_After_1,,
NJH2025_Sub2_MICT_Mid,,
HS2024_6_B_N2,0.520754687643532,
KBE2022_Log2_Ex_9_T,0.574576644853019,
AH2018_SILAC_IT_2_N,,
AH2018_SILAC_IT_1_X,,
HW2015_Ratio H/L normalized Exp3,,
HS2024_7_PD_T1,0.6070429174414728,
UK2020_UA_2,,
RM2024_Intensity D2-1___1,,
GF2025_P10_Sph,,
WZ2023_Pe_025_20min,0.5803116598983018,
JVO2010_Log2 Ratio M/L Normalized aphidicolin,0.5434415718364067,
AH2018_LFQ_2_N,,
HS2024_4_I_N2,0.5484940454689651,
AH2018_TMTMS2_3_N,0.5612201362175511,
RN2012_H06,0.5718472170489014,
AS2011_Inhi 1_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
HS2024_4_PD_T3,0.583145208565206,
WZ2023_Su_005_30min,0.5794592150019363,
SR2019_HCC1419_Biol_repl_4,,
JJ2018_Ratio H/M normalized___2,,
SR2019_JIMT1_Biol_repl_3,,
AS2011_Ratio H/L Protein,,
UK2020_HCM_3,,
