DatasetName,NOP58_C(109) NOP58_C(509) NOP58_C(514) NOP58_S(105) NOP58_S(109) NOP58_S(304) NOP58_S(351) NOP58_S(407) NOP58_S(434) NOP58_S(440) NOP58_S(475) NOP58_S(483) NOP58_S(494) NOP58_S(497) NOP58_S(502) NOP58_S(507) NOP58_S(509) NOP58_S(514) NOP58_T(34) NOP58_T(350) NOP58_T(435) NOP58_T(438) NOP58_T(482) NOP58_T(508),NOP58_T(510)
SAS2015_AZD/DMSO_Exp3,0.5237873298232892,
RM2024_Intensity D0-2___3,0.5216296261501329,
RM2024_Intensity D6-1,0.5195606942092151,
RB2022_8_RecoverySprint,0.5241543884221876,
RB2022_5_PreEndurance,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,0.52031340806142,
EP2017_Untreated R#4 normalized log2 ratio,0.5294622732744985,
WZ2023_Pu_010_30min,0.5153917948151291,
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,0.5221410322724013,
RB2022_8_RecoveryEndurance,0.5268373253038042,
KBE2022_Log2_Ex_14_U,0.5486531570279884,
FSO2013_Ratio M/L normalized Rep3___3,0.5010522688011475,
AH2018_TMTMS3_1_C,0.5244946222718619,
JJ2018_Ratio H/L normalized___1,0.5160754638330518,
ZQ2022_C2,,
RB2022_5_PreSprint,,
PG2020_Intensity 8h_C,0.532246019174731,
AH2018_SILAC_MR_2_N,0.5279560396105327,
MV2014_Ratio M/L normalized A1___2 (2 min),0.511108467690092,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),0.5138842025760909,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,0.5124061700088324,
RM2024_Intensity D6-1___2,0.5165707184477429,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,0.5202461267398822,
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),0.5021804247075922,
UK2020_HCM_2,0.5214957040283309,
FSO2013_Ratio H/L normalized Rep2___2,0.5148069424094146,
EP2017_Pervanadate R#3 normalized log2 ratio,0.5082461849737121,
RM2024_Intensity D4-3___3,0.5181819321731287,
RB2022_5_PreStrength,,
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,,
GF2025_P6_Sph,0.5147145723162819,
RB2022_2_PreSprint,0.526030769119868,
ZX2022_CB treated Replicate 3,0.5312477292729324,
RM2024_Intensity D6-2___3,0.5217111822494293,
WZ2023_Pe_025_10min,0.5158027728683829,
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,0.5302474697608238,
KBE2022_Log2_Ex_34_U,0.5445029494547701,
WZ2023_Pu_005_10min,0.5118606679468666,
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,0.5285781484202895,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,0.5137749277682147,
AH2018_SILAC_MR_2_X,0.5259741401737964,
HS2024_4_PD_T2,0.5140663307324842,
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,0.5181377753970511,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,0.5201223113214891,
CR2017_Ratio Replicate 1.4,0.5319901129884911,
FR2021_Norm.Intensity.B,0.5228214625930384,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,0.5082110603608753,
RB2022_5_PostSprint,,
EJN2021_3_Rest_Basal,0.5218655504729456,
CR2017_Ratio Replicate 1.3,0.5314393150710054,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,0.5299311459447854,
JJ2018_Ratio M/L normalized pP3,0.5268918007668779,
AH2018_SILAC_M_2_N,0.5241745861123903,
HS2024_7_PD_T2,0.5261665330586147,
FSO2013_Ratio H/L normalized Rep1___1,0.505896301461166,
AH2018_LFQ_1_C,0.5251610309737939,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,0.5291877940798156,
HS2024_3_B_N1,0.5279186238471811,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,0.5167660601306142,
CK2022_11 40-1,0.5288241063395583,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,0.5323615647843489,
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,0.5300119058605798,
FSO2013_Ratio H/L normalized Rep2,0.5243664736887363,
WZ2023_Pu_005_20min,0.5163499783499731,
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,0.5195783459647134,
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,0.5237243256847917,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,0.5151281532116115,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,0.5218906197898051,
AH2018_LFQ_M_1_C,0.5296074708061744,
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,0.5250538813399106,
HS2024_9_B_T2,0.5119893840399804,
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,0.5248198805977827,
FSO2013_Ratio M/L normalized Rep3___2,0.5167135787941474,
SR2019_BT549_Biol_repl_3,0.5298135076357198,
RCJD2014_20min_mean,0.5282162141691703,
FR2021_Norm.Intensity.H,0.5215660420471201,
RB2022_2_PreStrength,0.5184976857934946,
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,0.5126136119827914,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,0.5305871100406511,
CK2022_1 200-1,0.5376691013829487,
PG2020_Intensity Mock_10h_D,0.5229389865528346,
SR2019_MCF10A_Biol_repl_2,0.5305101991346656,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,0.509178067769771,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,
RB2022_6_RecoveryEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,0.5119525015794767,
RCJD2014_5min_1,0.5131275331992263,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,0.5139238403268648,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,0.5293741974030869,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,,
SAS2015_PLX/AZD_Exp2,0.5231986067123257,
CR2017_Ratio Replicate 3.3,0.5249608341948163,
PG2020_Intensity 2h_C,0.5314361279119134,
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,0.5277093429264809,
KBE2022_Log2_Ex_8_T,0.5351007409384355,
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,0.5195981595848561,
RN2012_L11,0.5181030593514228,
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,0.5309206906255386,
HS2024_5_PD_T1,0.5135316520867048,
AH2018_LFQ_M_2_C,0.5295334756914981,
CK2022_3 40-1,0.5279635768770007,
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,0.5259356724581269,
YA2020_Reporter_intensity_Cancer_No.5,0.5327576021452497,
HH2022_Reporter intensity 8,,
ZQ2022_N2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,0.5259725756909641,
AH2018_TMTMS3_2_N,0.5106623499932835,
EJN2021_5_Rest_Basal,0.5216825456926458,
NJH2025_Sub2_HIIT_Post,,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,0.5139893097925631,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,0.530940208758475,
YA2020_Reporter_intensity_Normal_No.1,0.5272988778018661,
HS2024_3_B_T1,0.5376602975370857,
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,0.5237466565732927,
MV2014_Ratio M/L normalized B1___2 (5 min),0.5034353666482783,
RB2022_7_PostStrength,0.5237742813981283,
RB2022_1_PostEndurance,0.5211725309969066,
CR2017_Ratio Replicate 3,0.5116291180568501,
SR2019_Hs578T_Biol_repl_3,0.5280296294662309,
MV2014_Ratio L/H normalized B3___1 (5 min),0.5169193684368246,
RBK2021_1244T Early,,
RB2022_3_PostSprint,,
NJH2024_Sub13_MICT_Mid,,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,0.5163351721226251,
HS2024_8_I_T3,0.5110760468112489,
CF2017_EOC 3,0.5253669561592768,
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,
HS2024_6_PD_T3,0.5168604636917321,
DL2023_12h-2,0.5211646055868665,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,,
WZ2023_Pu_010_20min,0.5189405272017247,
AS2011_Ratio H/L_3,,
CK2022_1 40-1,0.5280295700092897,
RNJ2017_Log2_ratio_Tsup:Trest_D1,0.5164356979597354,
CK2022_8 16-1,0.5289510491390751,
KS2014_Intensity N3,0.5281401636695542,
RB2022_4_RecoveryEndurance,,
RB2022_5_RecoveryEndurance,,
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,0.53408992477952,
FSO2013_Ratio H/M normalized Rep2,0.5063858474988844,
RAM2015_Log2 A,0.5159802521488642,
HS2024_8_PD_T1,0.5156807035735087,
JJ2018_Ratio H/L normalized pP2,0.5144186512473938,
CF2017_OSE 27,0.5226545168874758,
KS2014_Intensity E15_2,0.5310046148760125,
BS2014_Log2(Ratio H/L protein),0.4951946713187094,
PG2020_Intensity 8h_A,0.5283556161185862,
HS2024_7_I_T1,0.5202034396392535,
VOI2024_Veh3 di,0.5284997153402594,
RKK2015_TNF-α+SC-514/basal,0.5080472374712811,
SR2019_JIMT1_Biol_repl_1,0.5335128365384151,
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,0.5304336963210566,
AH2018_SILAC_M_3_X,0.5302390788610123,
NJH2024_Sub9_HIIT_Post,,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,0.5177848180213875,
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,0.527917448243223,
KBE2022_Log2_Ex_6_T,0.5281846324250247,
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,0.526619455447812,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,0.5253039582915351,
NJH2025_Sub4_MICT_Mid,,
YP2020_Intensity C30_R1_mult_log2,0.5292404959404596,
AST2020_anti-CD3.1,0.5305026745262681,
NJH2025_Sub4_HIIT_Post,,
EP2017_Untreated R#4 log2 ratio,0.5297971061767953,
HS2024_6_B_N1,0.5307172654717545,
KBE2022_Log2_Ex_27_T,0.5454361272286156,
CW2012_10 µM Gef/control Experiment 1 Replicate A,,
VOI2024_0.1uM 24 h_1 mono,,
AMK2021_120R_p5,,
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),,
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,0.5252530559504961,
AH2018_SILAC_IT_3_X,0.5334860907378298,
JAW2011_Ratio H/L,,
PG2020_Intensity 10h_C,0.5287187221121326,
FSO2013_Ratio M/L normalized Rep2,0.5224198099964248,
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,0.5207067523657076,
SR2019_HCC1954_Biol_repl_2,0.5246735868183652,
CK2022_14 40-1,0.5250257810779965,
RB2022_6_PreSprint,,
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,0.5262932532452621,
NJH2025_Sub2_MICT_Post,,
AH2018_LFQ_4_C,0.5227436881986585,
DL2023_control-1,0.5165906841161517,
AR2021_ALG 10 μM,0.5282848677818136,
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,0.5328939774956446,
EJN2021_4_Rest_Ins,0.5220015436911438,
RN2012_H05,0.5247335463508046,
NJH2024_Sub7_HIIT_Mid,,
GF2025_P2_Adh,0.5049970390467645,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,0.5215235645185454,
EJN2021_1_Rest_Ins,0.522383313281544,
HH2022_Reporter intensity 3,0.5257120304960232,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,0.5333008133169782,
JW2021_After_3,,
GF2025_P8_Sph,0.5125768283700648,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,0.5171572857802167,
AH2018_SILAC_2_N,0.5330536934292135,
CK2022_11 200-1,0.5364414258434596,
CK2022_12 200-1,0.5346297060130624,
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,0.5210480662607959,
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,0.516554784275286,
WZ2023_Su_010_20min,0.5144348061607847,
AH2018_TMTMS2_2_N,0.5258500771867725,
NJH2024_Sub13_MICT_Pre,,
KBE2022_Log2_Ex_41_U,0.5393765287824203,
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),,
AH2018_TMTMS3_Pool,0.5097419111328242,
KS2014_Intensity N4,0.5356832692133873,
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,0.5186105620117902,
RM2024_Intensity D4-2___2,,
NJH2024_Sub13_HIIT_Pre,,
CF2017_OSE 26,0.5267255605272225,
CK2022_14 200-1,0.5355212806979142,
SR2019_Hs578T_Biol_repl_1,0.5227534838615474,
RB2022_7_PostSprint,0.5200862893482138,
TM2022_mock.4h.A,,
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,0.5114979162619261,
AST2020_anti-CD3+PDL2.2,0.5300802229953966,
PG2020_Intensity Mock_10h_A,0.5167267628266697,
JW2021_After_2,,
NJH2024_Sub2_MICT_Post,,
EJN2021_2_Rest_Ins,0.5215012426570375,
SR2019_LM2_Biol_repl_4,0.5247342808825479,
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,,
CK2022_13 16-1,0.5274996816937834,
GF2025_P1_Adh,0.49613547649685663,
GF2025_P1_Sph,0.5046941096234643,
EJN2021_5_Ex_Basal,0.5234653145015108,
HS2024_7_I_T3,0.520394967546148,
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,0.5154561216511633,
CF2017_EOC 1,0.5295696283888074,
CK2022_3 200-1,0.5378185885757977,
AH2018_LFQ_IT_3_C,0.5344403531111043,
SR2019_Hs578T_Biol_repl_2,0.525412003684479,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),0.4979323611962927,
NJH2024_Sub10_MICT_Mid,,
NJH2024_Sub13_MICT_Post,,
BS2014_Log2(Ratio H/L normalized Rep_1),0.5003907991705517,
RB2022_3_RecoverySprint,,
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,0.5144609387342682,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,
HS2024_6_PD_T2,0.5192078772134318,
HS2024_5_B_T1,0.5233826281201664,
CW2012_10 µM Gef/control Experiment 2 Replicate A,,
DL2023_12h-3,0.5180441051766623,
SR2019_MDAMB231_Biol_repl_2,0.5228866440124921,
HS2024_3_B_T2,0.5444351225281946,
RB2022_6_PreStrength,,
CK2022_2 40-1,0.5273060609305081,
RB2022_1_PostSprint,0.5191127503734189,
CK2022_4 200-1,0.537840697550552,
JW2021_Before_2,,
TM2022_S2.12h.A,,
MV2014_Ratio L/M normalized B2___2 (30 min),,
CK2022_5 16-1,0.5294552756509064,
AR2021_ALG 1 μM,0.5162361451212326,
HS2024_4_B_T1,0.5186228706930255,
MV2014_Ratio M/H normalized A3___1 (10 min),0.5144187605120093,
SR2019_BT549_Biol_repl_4,0.525811269323612,
EJN2021_1_Rest_Basal,0.5224871719658665,
NJH2025_Sub8_MICT_Post,,
RCJD2014_5min_3,0.5277048662444349,
CR2017_Ratio Replicate 3.2,0.5225557192496174,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,
GF2025_P7_Adh,0.5191654587459738,
CK2022_9 16-1,0.5330077993447064,
NJH2024_Sub6_HIIT_Post,,
AMK2021_30R_p3,,
AS2011_Ratio H/L Normalized RNAi_2,,
RM2024_Intensity D0-2___2,0.5150173692288705,
KS2014_Intensity pY_N4,0.5239686361812382,
CK2022_13 200-1,0.5358250288304512,
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,0.5343386493852064,
CK2022_16 16-1,0.525557293711047,
FS2019_db/db3,,
CK2022_15 40-1,0.5246873165569691,
NJH2024_Sub9_MICT_Pre,,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,0.5130757613712915,
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,0.5384857834275402,
AMK2021_Ctrl_p1,,
AH2018_LFQ_IT_3_X,0.5323259493858324,
HS2024_5_PD_T3,0.5281408177401551,
AH2018_TMTMS3_3_X,0.5137612774475062,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,
KBE2022_Log2_Ex_40_U,0.5380521897826995,
AH2018_LFQ_M_1_N,0.5061793360265562,
KBE2022_Log2_Ex_27_U,0.548049349346671,
HW2015_Ratio M/L normalized Exp3,0.5215306265559028,
RKK2015_TNF-α/IKKb(K44M),0.5060471494455546,
AH2018_SILAC_M_1_N,0.5346145219324506,
HW2015_Ratio M/L normalized Exp1,0.5236622586789409,
RB2022_5_RecoveryStrength,,
YP2020_Intensity P10_R1_mult_log2,0.5190774839349263,
RB2022_7_PreStrength,0.5228666273742354,
YA2020_Reporter_intensity_Normal_No.4,0.5276252902451818,
NJH2025_Sub13_HIIT_Pre,,
PG2020_Intensity CT_D,0.5298691024389283,
NJH2025_Sub9_MICT_Post,,
VOI2024_Veh1 mono,,
CK2022_12 16-1,0.5288967662679657,
RN2012_L13,0.516110507997263,
LG2023_Control-1_intensity,,
RM2024_Intensity D6-3___2,0.514972049392915,
KBE2022_Log2_Ex_8_U,0.5376943903086778,
SR2019_SKBR3_Biol_repl_3,0.5252748932743952,
NJH2024_Sub1_MICT_Post,,
HS2024_3_I_T2,0.5343092091402614,
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,
RM2024_Intensity D0-3___3,0.5205825540284899,
HS2024_6_I_T2,0.516426985623711,
CW2012_10 µM Erl/control Experiment 2 Replicate B,,
AS2011_Ratio H/L Protein Inhi_1,,
FSO2013_Ratio H/M normalized Rep2___1,0.5085103738374924,
GRW2016_Ratio M/L normalized SILAC 5a___2,,
CK2022_10 40-1,0.5293172135941793,
NJH2024_Sub12_HIIT_Pre,,
NJH2024_Sub8_MICT_Pre,,
RM2024_Intensity D0-1___1,0.5245645155452713,
LY2019_P3+,0.5197481639505214,
HH2022_Reporter intensity 6,0.5215551302029832,
RB2022_2_RecoveryStrength,0.5254333166133093,
KTGR2014_Ratio-AA 15 mins,,
AS2011_Ratio H/L Normalized RNAi_2_2,,
KS2014_Intensity pY_N3,0.5226768487695344,
MV2014_Ratio H/L normalized B1___2 (30 min),0.5093224334771168,
LY2019_P5-,0.520317670018695,
HW2015_Ratio M/L normalized Exp2,,
SR2019_HCC1419_Biol_repl_1,0.5277283378176536,
AH2018_TMTMS2_3_X,0.5242400734913343,
GF2025_P3_Adh,0.4986223186591503,
SR2019_JIMT1_Biol_repl_2,0.5347886477602407,
AH2018_TMTMS2_1_C,0.5263914301188085,
RM2024_Intensity D0-1___2,,
LY2019_P4+,0.514923418738063,
KBE2022_Log2_Ex_19_U,0.5451474144610714,
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,0.5197397438947361,
RB2022_4_PostStrength,,
LG2023_GSK3α-3_intensity,,
YA2020_Reporter_intensity_Cancer_No.1,0.5314214060396285,
AST2020_Control,0.5296302162894518,
JAW2011_Ratio H/L LS1a,,
RCJD2014_5min_mean,0.5247689719723526,
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,
NJH2025_Sub1_MICT_Mid,,
TM2022_S2.12h.C,,
NJH2025_Sub9_MICT_Mid,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,0.5197131145104356,
AS2011_Ratio H/L Normalized Inhi_1_2,,
FSO2013_Ratio M/L normalized Rep2___1,0.5223499650721745,
LG2023_Control-2_intensity,,
NJH2024_Sub8_HIIT_Pre,,
KS2014_Intensity pY_N2,0.524501424599367,
RB2022_5_RecoverySprint,,
RB2022_7_RecoverySprint,0.5219722816700937,
YA2020_Reporter_intensity_Normal_No.3,0.5282026822229915,
HS2024_8_B_T2,0.5121913852919198,
AH2018_LFQ_1_X,0.5252088734489594,
RM2024_Intensity D6-1___1,,
RCJD2014_10min_2,0.5143859699683393,
FR2021_Norm.Intensity.M,0.5175146428346139,
RM2024_Intensity D0-3___1,,
KS2014_Intensity N2,0.5506223908497813,
HH2022_Reporter intensity 1,0.5255365051585744,
HH2022_Reporter intensity 2,0.5259615145864883,
RM2024_Intensity D6-2___2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,
RM2024_Intensity D2-3___2,,
YA2020_Reporter_intensity_Normal_No.5,0.5296417532978924,
SR2019_MCF7_Biol_repl_1,0.5286258624522792,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,
HS2024_8_B_T1,0.5209442049723333,
NJH2025_Sub6_HIIT_Pre,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,0.5195413626838858,
EP2017_Untreated R#2 log2 ratio,0.5016471447402359,
SR2019_LM2_Biol_repl_3,0.5210214356022064,
RB2022_4_RecoveryStrength,,
CR2017_Ratio Replicate 2,0.515422617417909,
CW2012_10 µM Erl/control Experiment 2 Replicate A,,
FSO2013_Ratio H/M normalized Rep3,0.5228496639918554,
AR2021_KD 72h,0.5306295934561046,
MV2014_Ratio H/M normalized B2___3 (5 min),,
KBE2022_Log2_Ex_18_U,0.5510287319308184,
AS2011_Ratio H/L Inhi_1_1,,
NJH2024_Sub8_MICT_Post,,
AH2018_TMTMS3_3_C,0.5107256271609751,
KBE2022_Log2_Ex_9_U,0.5390588769326478,
AH2018_SILAC_M_3_N,0.5313389974997116,
KBE2022_Log2_Ex_13_T,0.5396599490779633,
RM2024_Intensity D0-3,0.5222310357980797,
SR2019_SKBR3_Biol_repl_1,0.524971988251386,
PG2020_Intensity Mock_10h_C,0.5166683844147055,
CF2017_OSE 29,0.5142076160151646,
YB2013_Ratio_H_L_Normalized_in_experiment_1,,
NJH2025_Sub1_HIIT_Post,,
DL2023_24h-2,0.5217331989583981,
HS2024_7_B_N2,0.5131239785723738,
PG2020_Intensity 10h_A,0.530842172011399,
RN2012_L12,0.5216741065815472,
MV2014_Ratio M/L normalized B1___3 (5 min),,
NJH2024_Sub8_MICT_Mid,,
AH2018_LFQ_IT_4_C,0.532053902558502,
SAS2015_PLX/AZD_Exp1,0.5271738913595378,
FR2021_Norm.Intensity.A,0.5187994601732838,
FSO2013_Ratio H/M normalized Rep1___1,0.5036062799170757,
JW2015_Intensity cap2,,
BS2014_Log2(Ratio H/L normalized Rep_2),0.508643662274917,
NJH2024_Sub6_MICT_Post,,
CK2022_8 40-1,0.5257254264475592,
RB2022_7_RecoveryEndurance,0.5269779058753988,
NJH2025_Sub12_HIIT_Post,,
EJN2021_4_Ex_Basal,0.5214794021280967,
TM2022_S2.12h.B,,
RN2012_L15,0.5204167930068252,
KS2014_Intensity pY_PV3,,
TM2022_S2.4h.B,,
PG2020_Intensity 4h_A,0.5302003191279862,
FSO2013_Ratio H/M normalized Rep2___2,0.5119778192824164,
TM2022_mock.4h.B,,
KBE2022_Log2_Ex_24_U,0.5432430498151075,
NJH2025_Sub13_MICT_Mid,,
KS2014_Intensity C3,0.5448249196688548,
RB2022_1_PreSprint,0.5262593640279619,
HS2024_4_I_N1,0.5141025993492035,
CK2022_7 200-1,0.5357333207218068,
CK2022_5 200-1,0.5358853884616671,
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,0.518866282150375,
FSO2013_Ratio H/L normalized Rep2___1,0.5229860836210504,
NJH2024_Sub10_HIIT_Mid,,
RB2022_2_PostEndurance,0.525856488544253,
AH2018_LFQ_2_C,0.5265873157660534,
AH2018_SILAC_MR_1_X,0.5207739132773627,
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,
IMM2018_normalised rep. int. Empty-2,0.5316657518840925,
