DatasetName,MYEF2_S(391) MYEF2_S(431) MYEF2_S(520) MYEF2_S(571) MYEF2_S(6),MYEF2_S(17) MYEF2_T(13)
AS2011_Ratio H/L Normalized RNAi_2_2,,
KS2014_Intensity pY_N3,,
MV2014_Ratio H/L normalized B1___2 (30 min),,
LY2019_P5-,,0.5598873011931265
HW2015_Ratio M/L normalized Exp2,,
SR2019_HCC1419_Biol_repl_1,,
AH2018_TMTMS2_3_X,0.5065196618896632,0.6765298826992061
GF2025_P3_Adh,,0.544036752054372
SR2019_JIMT1_Biol_repl_2,,
AH2018_TMTMS2_1_C,0.5032593530641358,0.6683419404394725
RM2024_Intensity D0-1___2,,
LY2019_P4+,0.48980291695604744,0.5480552439851718
KBE2022_Log2_Ex_19_U,,0.6398255937287585
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,,0.6587015262852682
RB2022_4_PostStrength,,
LG2023_GSK3α-3_intensity,,
YA2020_Reporter_intensity_Cancer_No.1,,0.6440171496462881
AST2020_Control,,0.593265252138311
JAW2011_Ratio H/L LS1a,,
RCJD2014_5min_mean,,
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,
NJH2025_Sub1_MICT_Mid,,
TM2022_S2.12h.C,,
NJH2025_Sub9_MICT_Mid,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,,0.6602833564049679
AS2011_Ratio H/L Normalized Inhi_1_2,,
FSO2013_Ratio M/L normalized Rep2___1,0.5040908404819228,0.5764691053663681
LG2023_Control-2_intensity,,
NJH2024_Sub8_HIIT_Pre,,
KS2014_Intensity pY_N2,,
RB2022_5_RecoverySprint,,
RB2022_7_RecoverySprint,,
YA2020_Reporter_intensity_Normal_No.3,,0.6294928818339417
HS2024_8_B_T2,,
AH2018_LFQ_1_X,,0.6977617766334896
RM2024_Intensity D6-1___1,,
RCJD2014_10min_2,,
FR2021_Norm.Intensity.M,,
RM2024_Intensity D0-3___1,,
KS2014_Intensity N2,,
HH2022_Reporter intensity 1,0.5050741237322909,
HH2022_Reporter intensity 2,0.5041787316557024,
RM2024_Intensity D6-2___2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,
RM2024_Intensity D2-3___2,,
YA2020_Reporter_intensity_Normal_No.5,,0.6164201218970122
SR2019_MCF7_Biol_repl_1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,
HS2024_8_B_T1,,
NJH2025_Sub6_HIIT_Pre,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,
EP2017_Untreated R#2 log2 ratio,,
SR2019_LM2_Biol_repl_3,,
RB2022_4_RecoveryStrength,,
CR2017_Ratio Replicate 2,,0.6542326567168281
CW2012_10 µM Erl/control Experiment 2 Replicate A,,
FSO2013_Ratio H/M normalized Rep3,0.4942116319312544,0.6276072996501885
AR2021_KD 72h,,0.6053081769237657
MV2014_Ratio H/M normalized B2___3 (5 min),,
KBE2022_Log2_Ex_18_U,,0.6373006638391171
AS2011_Ratio H/L Inhi_1_1,,
NJH2024_Sub8_MICT_Post,,
AH2018_TMTMS3_3_C,,0.5796994462315955
KBE2022_Log2_Ex_9_U,,0.6177396164691993
AH2018_SILAC_M_3_N,,0.6625650777472745
KBE2022_Log2_Ex_13_T,,0.6234128913728678
RM2024_Intensity D0-3,,
SR2019_SKBR3_Biol_repl_1,,
PG2020_Intensity Mock_10h_C,,
CF2017_OSE 29,,0.6999146133825367
YB2013_Ratio_H_L_Normalized_in_experiment_1,,
NJH2025_Sub1_HIIT_Post,,
DL2023_24h-2,,
HS2024_7_B_N2,,
PG2020_Intensity 10h_A,,
RN2012_L12,0.5508803368694656,0.6416862050680254
MV2014_Ratio M/L normalized B1___3 (5 min),,
NJH2024_Sub8_MICT_Mid,,
AH2018_LFQ_IT_4_C,,0.6645906186765032
SAS2015_PLX/AZD_Exp1,,
FR2021_Norm.Intensity.A,,
FSO2013_Ratio H/M normalized Rep1___1,0.5164649905360437,0.5449259177458485
JW2015_Intensity cap2,,
BS2014_Log2(Ratio H/L normalized Rep_2),,
NJH2024_Sub6_MICT_Post,,
CK2022_8 40-1,,0.7027295172782844
RB2022_7_RecoveryEndurance,,
NJH2025_Sub12_HIIT_Post,,
EJN2021_4_Ex_Basal,,0.5981958051558067
TM2022_S2.12h.B,,
RN2012_L15,0.5300326119938823,0.5791569768577293
KS2014_Intensity pY_PV3,,
TM2022_S2.4h.B,,
PG2020_Intensity 4h_A,,
FSO2013_Ratio H/M normalized Rep2___2,,
TM2022_mock.4h.B,,
KBE2022_Log2_Ex_24_U,,0.6334000227484899
NJH2025_Sub13_MICT_Mid,,
KS2014_Intensity C3,,
RB2022_1_PreSprint,,
HS2024_4_I_N1,,
CK2022_7 200-1,,0.7167378316732544
CK2022_5 200-1,,0.7198647706917372
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,,0.6600688860633213
FSO2013_Ratio H/L normalized Rep2___1,0.5086608208185839,0.5922285341907343
NJH2024_Sub10_HIIT_Mid,,
RB2022_2_PostEndurance,,
AH2018_LFQ_2_C,,0.683463280072815
AH2018_SILAC_MR_1_X,,0.6999559988646455
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,
IMM2018_normalised rep. int. Empty-2,,
RM2024_Intensity D4-1,,
KBE2022_Log2_Ex_25_U,,0.6659178894462399
AH2018_SILAC_3_C,,0.6647956152572789
EJN2021_5_Rest_Ins,,0.6008355141860726
VOI2024_0.1uM 24 h_3 di,,
RNJ2017_Log2_ratio_Tstim:Trest_D3,,
DB2022_LFQ intensity L2.1,,
FSO2013_Ratio H/M normalized Rep1,0.5148789577636499,0.5377940025809588
CK2022_4 16-1,,0.599281252083216
AS2011_Ratio H/L,,
SR2019_MCF7_Biol_repl_4,,
EJN2021_2_Ex_Ins,,0.5912650201659915
AS2011_Ratio H/L Inhi_2_3,,
JAW2011_Ratio H/L LS1a_1,,
AH2018_LFQ_1_N,,0.7025588836973842
SAS2015_PLX/DMSO_Exp1,,
SFR2015_HL_log2_ratio_avg_c,,
JJ2018_Ratio M/L normalized pP2,,
NJH2024_Sub7_MICT_Mid,,
PG2020_Intensity 6h_B,,
FSO2013_Ratio H/L normalized Rep3,0.5105292335024018,0.6299701572139222
GRW2016_Ratio H/L normalized SILAC 2___2,,
RKK2015_IKKb(K44M)+TNF-α/TNF-α,,
JJ2018_Ratio M/L normalized,,
KTGR2014_Ratio-AA 30 mins,,
JW2021_After_1,,
NJH2025_Sub2_MICT_Mid,,
HS2024_6_B_N2,,
KBE2022_Log2_Ex_9_T,,0.6224492429736386
AH2018_SILAC_IT_2_N,,0.6711585650895662
AH2018_SILAC_IT_1_X,,0.6730167851135932
HW2015_Ratio H/L normalized Exp3,,
HS2024_7_PD_T1,,
UK2020_UA_2,,0.630082989846249
RM2024_Intensity D2-1___1,,
GF2025_P10_Sph,,0.5162118215865412
WZ2023_Pe_025_20min,,0.7527000908487125
JVO2010_Log2 Ratio M/L Normalized aphidicolin,,
AH2018_LFQ_2_N,,0.6862000507478438
HS2024_4_I_N2,,
AH2018_TMTMS2_3_N,0.5096578986698062,0.6732619976267128
RN2012_H06,0.4675911721977002,0.4484147602443687
AS2011_Inhi 1_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
HS2024_4_PD_T3,,
WZ2023_Su_005_30min,,0.7435025772699384
SR2019_HCC1419_Biol_repl_4,,
JJ2018_Ratio H/M normalized___2,,
SR2019_JIMT1_Biol_repl_3,,
AS2011_Ratio H/L Protein,,
UK2020_HCM_3,,0.6271070061883766
NJH2024_Sub10_HIIT_Post,,
CR2017_Ratio Replicate 3.1,,0.5476124437659378
WZ2023_Su_025_10min,,0.7620913815826108
AH2018_LFQ_IT_4_X,,0.6598434278849247
CP2009_Ratio H/L,,
VOI2024_0.1uM 24 h_3 mono,,
RB2022_4_RecoverySprint,,
RM2024_Intensity D6-3,,
WZ2023_Su_005_20min,,0.753662669440337
CW2012_10 µM Gef/control Experiment 1 Replicate B,,
SFR2015_HL_log2_ratio_avg_a,,
CW2012_10 µM Erl/control Experiment 3 Replicate A,,
RB2022_1_PreEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3a,,
LG2023_GSK3α-2_intensity,,
EP2017_Pervanadate R#1 log2 ratio,,
NJH2025_Sub6_HIIT_Post,,
