DatasetName,COPA_S(1193) COPA_S(170) COPA_S(173) COPA_S(402) COPA_S(434) COPA_S(824) COPA_S(895) COPA_T(821),COPA_S(179) COPA_S(68) COPA_T(286) COPA_T(591)
FSO2013_Ratio H/M normalized Rep2___1,,
GRW2016_Ratio M/L normalized SILAC 5a___2,,
CK2022_10 40-1,0.5384987429371135,
NJH2024_Sub12_HIIT_Pre,,
NJH2024_Sub8_MICT_Pre,,
RM2024_Intensity D0-1___1,,
LY2019_P3+,0.5275151272363913,
HH2022_Reporter intensity 6,,
RB2022_2_RecoveryStrength,,
KTGR2014_Ratio-AA 15 mins,,
AS2011_Ratio H/L Normalized RNAi_2_2,,
KS2014_Intensity pY_N3,0.5445191609730223,
MV2014_Ratio H/L normalized B1___2 (30 min),,
LY2019_P5-,0.5336687922455389,
HW2015_Ratio M/L normalized Exp2,,
SR2019_HCC1419_Biol_repl_1,0.4901150313378792,
AH2018_TMTMS2_3_X,0.5451069716516989,
GF2025_P3_Adh,0.5326333526611398,
SR2019_JIMT1_Biol_repl_2,0.5363252520090676,
AH2018_TMTMS2_1_C,0.5424583498511281,
RM2024_Intensity D0-1___2,,
LY2019_P4+,0.5437091414572313,
KBE2022_Log2_Ex_19_U,,0.41133545042089603
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,0.5124889899606574,
RB2022_4_PostStrength,,
LG2023_GSK3α-3_intensity,,
YA2020_Reporter_intensity_Cancer_No.1,0.5542578609564441,
AST2020_Control,,
JAW2011_Ratio H/L LS1a,,
RCJD2014_5min_mean,0.5605967676414069,
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,
NJH2025_Sub1_MICT_Mid,,
TM2022_S2.12h.C,,
NJH2025_Sub9_MICT_Mid,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,0.5162912883659562,
AS2011_Ratio H/L Normalized Inhi_1_2,,
FSO2013_Ratio M/L normalized Rep2___1,,
LG2023_Control-2_intensity,,
NJH2024_Sub8_HIIT_Pre,,
KS2014_Intensity pY_N2,0.5447446626004028,
RB2022_5_RecoverySprint,,
RB2022_7_RecoverySprint,,
YA2020_Reporter_intensity_Normal_No.3,0.5482287808550492,
HS2024_8_B_T2,,
AH2018_LFQ_1_X,0.5441095668936194,
RM2024_Intensity D6-1___1,,
RCJD2014_10min_2,0.5024488052507335,
FR2021_Norm.Intensity.M,,
RM2024_Intensity D0-3___1,,
KS2014_Intensity N2,0.5660948964453063,
HH2022_Reporter intensity 1,0.5379004644364389,
HH2022_Reporter intensity 2,0.5382052638212099,
RM2024_Intensity D6-2___2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,
RM2024_Intensity D2-3___2,,
YA2020_Reporter_intensity_Normal_No.5,0.5476795880289657,
SR2019_MCF7_Biol_repl_1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,
HS2024_8_B_T1,,
NJH2025_Sub6_HIIT_Pre,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,
EP2017_Untreated R#2 log2 ratio,0.5463286599673252,
SR2019_LM2_Biol_repl_3,0.522870707324969,
RB2022_4_RecoveryStrength,,
CR2017_Ratio Replicate 2,0.5038505838198973,
CW2012_10 µM Erl/control Experiment 2 Replicate A,,
FSO2013_Ratio H/M normalized Rep3,,
AR2021_KD 72h,0.5439191369314317,
MV2014_Ratio H/M normalized B2___3 (5 min),,
KBE2022_Log2_Ex_18_U,0.5417375297946461,
AS2011_Ratio H/L Inhi_1_1,,
NJH2024_Sub8_MICT_Post,,
AH2018_TMTMS3_3_C,0.5538872943570339,
KBE2022_Log2_Ex_9_U,0.5329572743535765,
AH2018_SILAC_M_3_N,0.532187069742738,
KBE2022_Log2_Ex_13_T,,0.40968581266128634
RM2024_Intensity D0-3,,
SR2019_SKBR3_Biol_repl_1,0.4952937129617364,
PG2020_Intensity Mock_10h_C,0.5218802303294803,
CF2017_OSE 29,,
YB2013_Ratio_H_L_Normalized_in_experiment_1,,
NJH2025_Sub1_HIIT_Post,,
DL2023_24h-2,,
HS2024_7_B_N2,,
PG2020_Intensity 10h_A,0.5203178445221224,
RN2012_L12,0.526600182876149,
MV2014_Ratio M/L normalized B1___3 (5 min),,
NJH2024_Sub8_MICT_Mid,,
AH2018_LFQ_IT_4_C,0.5313531712769389,
SAS2015_PLX/AZD_Exp1,,
FR2021_Norm.Intensity.A,,
FSO2013_Ratio H/M normalized Rep1___1,,
JW2015_Intensity cap2,,
BS2014_Log2(Ratio H/L normalized Rep_2),0.5394926908235621,
NJH2024_Sub6_MICT_Post,,
CK2022_8 40-1,0.5371827428295095,
RB2022_7_RecoveryEndurance,,
NJH2025_Sub12_HIIT_Post,,
EJN2021_4_Ex_Basal,,
TM2022_S2.12h.B,,
RN2012_L15,0.5427586592857865,
KS2014_Intensity pY_PV3,,
TM2022_S2.4h.B,,
PG2020_Intensity 4h_A,0.52139063662462,
FSO2013_Ratio H/M normalized Rep2___2,,
TM2022_mock.4h.B,,
KBE2022_Log2_Ex_24_U,0.5364003236271916,
NJH2025_Sub13_MICT_Mid,,
KS2014_Intensity C3,0.5559605807200955,
RB2022_1_PreSprint,,
HS2024_4_I_N1,,
CK2022_7 200-1,0.5239576373984738,
CK2022_5 200-1,0.523032004746871,
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,0.5248126314303362,
FSO2013_Ratio H/L normalized Rep2___1,,
NJH2024_Sub10_HIIT_Mid,,
RB2022_2_PostEndurance,,
AH2018_LFQ_2_C,0.546624695803698,
AH2018_SILAC_MR_1_X,0.5470789820335904,
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,
IMM2018_normalised rep. int. Empty-2,,
RM2024_Intensity D4-1,,
KBE2022_Log2_Ex_25_U,0.5366485005295415,
AH2018_SILAC_3_C,0.5313564873844896,
EJN2021_5_Rest_Ins,,
VOI2024_0.1uM 24 h_3 di,,
RNJ2017_Log2_ratio_Tstim:Trest_D3,,
DB2022_LFQ intensity L2.1,,
FSO2013_Ratio H/M normalized Rep1,,
CK2022_4 16-1,0.5333529809055952,
AS2011_Ratio H/L,,
SR2019_MCF7_Biol_repl_4,0.5163150384186296,
EJN2021_2_Ex_Ins,,
AS2011_Ratio H/L Inhi_2_3,,
JAW2011_Ratio H/L LS1a_1,,
AH2018_LFQ_1_N,0.5437360136277802,
SAS2015_PLX/DMSO_Exp1,,
SFR2015_HL_log2_ratio_avg_c,0.5371510557626284,
JJ2018_Ratio M/L normalized pP2,0.5299389335981256,
NJH2024_Sub7_MICT_Mid,,
PG2020_Intensity 6h_B,0.4917639189265991,
FSO2013_Ratio H/L normalized Rep3,,
GRW2016_Ratio H/L normalized SILAC 2___2,,
RKK2015_IKKb(K44M)+TNF-α/TNF-α,,
JJ2018_Ratio M/L normalized,0.5328837726170044,0.3346966599418829
KTGR2014_Ratio-AA 30 mins,,
JW2021_After_1,0.5341028911183472,
NJH2025_Sub2_MICT_Mid,,
HS2024_6_B_N2,,
KBE2022_Log2_Ex_9_T,0.534273994642735,
AH2018_SILAC_IT_2_N,0.5284840220245239,
AH2018_SILAC_IT_1_X,0.5273617326279336,
HW2015_Ratio H/L normalized Exp3,,
HS2024_7_PD_T1,,
UK2020_UA_2,,
RM2024_Intensity D2-1___1,,
GF2025_P10_Sph,0.557698903879305,
WZ2023_Pe_025_20min,0.5511927640657793,0.38864839287874886
JVO2010_Log2 Ratio M/L Normalized aphidicolin,,
AH2018_LFQ_2_N,0.5453771685816616,
HS2024_4_I_N2,,
AH2018_TMTMS2_3_N,0.5450842978815884,
RN2012_H06,0.5215830192365263,
AS2011_Inhi 1_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
HS2024_4_PD_T3,,
WZ2023_Su_005_30min,0.5483294584584413,0.42853321450233145
SR2019_HCC1419_Biol_repl_4,,
JJ2018_Ratio H/M normalized___2,,0.5178474370964683
SR2019_JIMT1_Biol_repl_3,0.5486127551989695,
AS2011_Ratio H/L Protein,,
UK2020_HCM_3,,
NJH2024_Sub10_HIIT_Post,,
CR2017_Ratio Replicate 3.1,0.5499047300577673,
WZ2023_Su_025_10min,0.5516642413738906,0.4141717852573671
AH2018_LFQ_IT_4_X,0.5313488329324101,
CP2009_Ratio H/L,,
