DatasetName,HDAC1_C(409) HDAC1_M(393) HDAC1_S(393) HDAC1_S(403) HDAC1_S(406) HDAC1_S(409) HDAC1_S(410) HDAC1_S(413) HDAC1_S(421) HDAC1_S(423) HDAC1_S(434),HDAC1_C(410) HDAC1_C(421) HDAC1_S(408)
HW2015_Ratio M/L normalized Exp1,,
RB2022_5_RecoveryStrength,0.5632700997093633,
YP2020_Intensity P10_R1_mult_log2,0.57841372907698,
RB2022_7_PreStrength,0.5691780653407863,
YA2020_Reporter_intensity_Normal_No.4,,
NJH2025_Sub13_HIIT_Pre,,
PG2020_Intensity CT_D,0.5305440871005654,
NJH2025_Sub9_MICT_Post,,
VOI2024_Veh1 mono,,
CK2022_12 16-1,0.5593873720989435,
RN2012_L13,0.5862436131683515,
LG2023_Control-1_intensity,,
RM2024_Intensity D6-3___2,,
KBE2022_Log2_Ex_8_U,0.554760928247278,
SR2019_SKBR3_Biol_repl_3,0.5851440829480037,
NJH2024_Sub1_MICT_Post,,
HS2024_3_I_T2,0.5801910757754504,
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,
RM2024_Intensity D0-3___3,,
HS2024_6_I_T2,0.5515245483943817,
CW2012_10 µM Erl/control Experiment 2 Replicate B,,
AS2011_Ratio H/L Protein Inhi_1,,
FSO2013_Ratio H/M normalized Rep2___1,0.5545869355198089,
GRW2016_Ratio M/L normalized SILAC 5a___2,,
CK2022_10 40-1,,
NJH2024_Sub12_HIIT_Pre,,
NJH2024_Sub8_MICT_Pre,,
RM2024_Intensity D0-1___1,,
LY2019_P3+,0.5376457809388726,
HH2022_Reporter intensity 6,0.5731458181538742,
RB2022_2_RecoveryStrength,,
KTGR2014_Ratio-AA 15 mins,,
AS2011_Ratio H/L Normalized RNAi_2_2,,
KS2014_Intensity pY_N3,,
MV2014_Ratio H/L normalized B1___2 (30 min),,
LY2019_P5-,0.5596619787594631,
HW2015_Ratio M/L normalized Exp2,,
SR2019_HCC1419_Biol_repl_1,0.5784311640050995,
AH2018_TMTMS2_3_X,0.5609504289214609,
GF2025_P3_Adh,0.5435278724789346,
SR2019_JIMT1_Biol_repl_2,0.5854883499666518,
AH2018_TMTMS2_1_C,0.5677370087820762,
RM2024_Intensity D0-1___2,,
LY2019_P4+,0.5884223260220385,
KBE2022_Log2_Ex_19_U,0.5506846573875597,
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,,
RB2022_4_PostStrength,,
LG2023_GSK3α-3_intensity,,
YA2020_Reporter_intensity_Cancer_No.1,,
AST2020_Control,0.5769263714964906,
JAW2011_Ratio H/L LS1a,,
RCJD2014_5min_mean,,
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,
NJH2025_Sub1_MICT_Mid,,
TM2022_S2.12h.C,0.5761766434007916,
NJH2025_Sub9_MICT_Mid,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,,
AS2011_Ratio H/L Normalized Inhi_1_2,,
FSO2013_Ratio M/L normalized Rep2___1,0.5152202504193224,
LG2023_Control-2_intensity,,
NJH2024_Sub8_HIIT_Pre,,
KS2014_Intensity pY_N2,,
RB2022_5_RecoverySprint,0.5730424098228086,
RB2022_7_RecoverySprint,0.5803604779504034,
YA2020_Reporter_intensity_Normal_No.3,,
HS2024_8_B_T2,0.5247898319482526,
AH2018_LFQ_1_X,0.5590009892733099,
RM2024_Intensity D6-1___1,,
RCJD2014_10min_2,,
FR2021_Norm.Intensity.M,0.5859632014555348,
RM2024_Intensity D0-3___1,,
KS2014_Intensity N2,0.594301352399197,
HH2022_Reporter intensity 1,0.5616170395968111,
HH2022_Reporter intensity 2,0.5599875485547439,
RM2024_Intensity D6-2___2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,
RM2024_Intensity D2-3___2,,
YA2020_Reporter_intensity_Normal_No.5,,
SR2019_MCF7_Biol_repl_1,0.5774843314606122,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,
HS2024_8_B_T1,0.5766963541698845,
NJH2025_Sub6_HIIT_Pre,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,0.5642239191054851,
EP2017_Untreated R#2 log2 ratio,0.5512411357498661,
SR2019_LM2_Biol_repl_3,0.5673847154622572,
RB2022_4_RecoveryStrength,,
CR2017_Ratio Replicate 2,0.5386384117877586,
CW2012_10 µM Erl/control Experiment 2 Replicate A,,
FSO2013_Ratio H/M normalized Rep3,0.5081836906771137,
AR2021_KD 72h,0.536576533728503,
MV2014_Ratio H/M normalized B2___3 (5 min),,
KBE2022_Log2_Ex_18_U,,
AS2011_Ratio H/L Inhi_1_1,,
NJH2024_Sub8_MICT_Post,,
AH2018_TMTMS3_3_C,0.5811343191377436,
KBE2022_Log2_Ex_9_U,,
AH2018_SILAC_M_3_N,0.5670851393708903,
KBE2022_Log2_Ex_13_T,0.5573769775663152,
RM2024_Intensity D0-3,,
SR2019_SKBR3_Biol_repl_1,0.5739710718648747,
PG2020_Intensity Mock_10h_C,0.5365126050083862,
CF2017_OSE 29,0.5706056347054189,
YB2013_Ratio_H_L_Normalized_in_experiment_1,,
NJH2025_Sub1_HIIT_Post,,
DL2023_24h-2,,
HS2024_7_B_N2,0.5452592185570351,
PG2020_Intensity 10h_A,0.5621260436092134,
RN2012_L12,0.5777574427271447,
MV2014_Ratio M/L normalized B1___3 (5 min),,
NJH2024_Sub8_MICT_Mid,,
AH2018_LFQ_IT_4_C,0.5644502286758485,
SAS2015_PLX/AZD_Exp1,,
FR2021_Norm.Intensity.A,0.5875075591269476,
FSO2013_Ratio H/M normalized Rep1___1,0.5756572970598348,
JW2015_Intensity cap2,,
BS2014_Log2(Ratio H/L normalized Rep_2),,
NJH2024_Sub6_MICT_Post,,
CK2022_8 40-1,,
RB2022_7_RecoveryEndurance,0.5758378718440104,
NJH2025_Sub12_HIIT_Post,,
EJN2021_4_Ex_Basal,0.5642672694252892,
TM2022_S2.12h.B,0.5756861882293781,
RN2012_L15,0.5565665680322135,
KS2014_Intensity pY_PV3,,
TM2022_S2.4h.B,0.5750834570961496,
PG2020_Intensity 4h_A,0.5639320924840644,
FSO2013_Ratio H/M normalized Rep2___2,0.5801902980986222,
TM2022_mock.4h.B,0.5759876753968646,
KBE2022_Log2_Ex_24_U,0.56321515819603,
NJH2025_Sub13_MICT_Mid,,
KS2014_Intensity C3,0.5645946772633125,
RB2022_1_PreSprint,0.5694199146349334,
HS2024_4_I_N1,0.5563400262953703,
CK2022_7 200-1,0.5829665903895959,
CK2022_5 200-1,0.5814799518386972,
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,,
FSO2013_Ratio H/L normalized Rep2___1,0.5269788659404068,
NJH2024_Sub10_HIIT_Mid,,
RB2022_2_PostEndurance,,
AH2018_LFQ_2_C,,
AH2018_SILAC_MR_1_X,,
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,
IMM2018_normalised rep. int. Empty-2,0.5709580847745798,
RM2024_Intensity D4-1,,
KBE2022_Log2_Ex_25_U,0.5641073465823239,
AH2018_SILAC_3_C,0.564460596415799,
EJN2021_5_Rest_Ins,0.5621736502883854,
VOI2024_0.1uM 24 h_3 di,,
RNJ2017_Log2_ratio_Tstim:Trest_D3,0.5545144173339469,
DB2022_LFQ intensity L2.1,,
FSO2013_Ratio H/M normalized Rep1,0.5688257507430993,
CK2022_4 16-1,0.5670575058903627,
AS2011_Ratio H/L,,
SR2019_MCF7_Biol_repl_4,0.5844255593560063,
EJN2021_2_Ex_Ins,0.5605263609678915,
AS2011_Ratio H/L Inhi_2_3,,
JAW2011_Ratio H/L LS1a_1,,
AH2018_LFQ_1_N,0.5569626769805313,
SAS2015_PLX/DMSO_Exp1,,
SFR2015_HL_log2_ratio_avg_c,0.5652916980389104,
JJ2018_Ratio M/L normalized pP2,0.5564938516211838,
NJH2024_Sub7_MICT_Mid,,
PG2020_Intensity 6h_B,0.5532355772993154,
FSO2013_Ratio H/L normalized Rep3,0.5204684242798248,
GRW2016_Ratio H/L normalized SILAC 2___2,,
RKK2015_IKKb(K44M)+TNF-α/TNF-α,,
JJ2018_Ratio M/L normalized,0.5674023949423581,
KTGR2014_Ratio-AA 30 mins,,
JW2021_After_1,,
NJH2025_Sub2_MICT_Mid,0.5542988118267536,
