DatasetName,MMTAG2_S(155) MMTAG2_S(170) MMTAG2_S(178) MMTAG2_S(233),MMTAG2_S(11) MMTAG2_S(123) MMTAG2_S(125) MMTAG2_S(127) MMTAG2_S(164) MMTAG2_S(177) MMTAG2_S(209) MMTAG2_S(216) MMTAG2_S(217) MMTAG2_S(220) MMTAG2_S(225) MMTAG2_S(231) MMTAG2_S(235) MMTAG2_S(246) MMTAG2_S(261) MMTAG2_T(175) MMTAG2_T(215) MMTAG2_T(219)
KBE2022_Log2_Ex_8_U,,0.5483497311302471
SR2019_SKBR3_Biol_repl_3,,
NJH2024_Sub1_MICT_Post,,
HS2024_3_I_T2,,0.5584169147344721
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,
RM2024_Intensity D0-3___3,,
HS2024_6_I_T2,,0.5604771727437519
CW2012_10 µM Erl/control Experiment 2 Replicate B,,
AS2011_Ratio H/L Protein Inhi_1,,
FSO2013_Ratio H/M normalized Rep2___1,,0.5493778273760284
GRW2016_Ratio M/L normalized SILAC 5a___2,,
CK2022_10 40-1,,0.526662498457668
NJH2024_Sub12_HIIT_Pre,,
NJH2024_Sub8_MICT_Pre,,
RM2024_Intensity D0-1___1,,
LY2019_P3+,,
HH2022_Reporter intensity 6,,
RB2022_2_RecoveryStrength,,
KTGR2014_Ratio-AA 15 mins,,
AS2011_Ratio H/L Normalized RNAi_2_2,,
KS2014_Intensity pY_N3,,
MV2014_Ratio H/L normalized B1___2 (30 min),,
LY2019_P5-,,0.5472727936699083
HW2015_Ratio M/L normalized Exp2,,
SR2019_HCC1419_Biol_repl_1,,
AH2018_TMTMS2_3_X,,
GF2025_P3_Adh,,0.5505025622765449
SR2019_JIMT1_Biol_repl_2,,
AH2018_TMTMS2_1_C,,
RM2024_Intensity D0-1___2,,
LY2019_P4+,,0.545608166246597
KBE2022_Log2_Ex_19_U,,0.5501437677274469
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,,
RB2022_4_PostStrength,,
LG2023_GSK3α-3_intensity,,
YA2020_Reporter_intensity_Cancer_No.1,,
AST2020_Control,,0.540655477966828
JAW2011_Ratio H/L LS1a,,
RCJD2014_5min_mean,,0.5493246143863291
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,
NJH2025_Sub1_MICT_Mid,,
TM2022_S2.12h.C,,
NJH2025_Sub9_MICT_Mid,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,,
AS2011_Ratio H/L Normalized Inhi_1_2,,
FSO2013_Ratio M/L normalized Rep2___1,,0.5447302571294943
LG2023_Control-2_intensity,,
NJH2024_Sub8_HIIT_Pre,,
KS2014_Intensity pY_N2,,
RB2022_5_RecoverySprint,,
RB2022_7_RecoverySprint,,
YA2020_Reporter_intensity_Normal_No.3,,
HS2024_8_B_T2,,0.5584048450642223
AH2018_LFQ_1_X,,
RM2024_Intensity D6-1___1,,
RCJD2014_10min_2,,0.5108687587269836
FR2021_Norm.Intensity.M,,0.559774459761517
RM2024_Intensity D0-3___1,,
KS2014_Intensity N2,,0.547628191716157
HH2022_Reporter intensity 1,0.33317198558108463,0.5459511259159797
HH2022_Reporter intensity 2,0.3289652016743145,0.5435927694868447
RM2024_Intensity D6-2___2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,
RM2024_Intensity D2-3___2,,
YA2020_Reporter_intensity_Normal_No.5,,
SR2019_MCF7_Biol_repl_1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,
HS2024_8_B_T1,,0.5408230725633651
NJH2025_Sub6_HIIT_Pre,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,
EP2017_Untreated R#2 log2 ratio,,0.5600487597569008
SR2019_LM2_Biol_repl_3,,
RB2022_4_RecoveryStrength,,
CR2017_Ratio Replicate 2,,0.5551761936764241
CW2012_10 µM Erl/control Experiment 2 Replicate A,,
FSO2013_Ratio H/M normalized Rep3,,0.56231503618234
AR2021_KD 72h,,0.5741671846227671
MV2014_Ratio H/M normalized B2___3 (5 min),,
KBE2022_Log2_Ex_18_U,0.33433551265194805,0.5441984047523838
AS2011_Ratio H/L Inhi_1_1,,
NJH2024_Sub8_MICT_Post,,
AH2018_TMTMS3_3_C,,
KBE2022_Log2_Ex_9_U,0.32332362639744305,0.5454069663449119
AH2018_SILAC_M_3_N,,
KBE2022_Log2_Ex_13_T,,0.5466723735567635
RM2024_Intensity D0-3,,
SR2019_SKBR3_Biol_repl_1,,
PG2020_Intensity Mock_10h_C,,0.5655680586878793
CF2017_OSE 29,,0.5371350042587352
YB2013_Ratio_H_L_Normalized_in_experiment_1,,
NJH2025_Sub1_HIIT_Post,,
DL2023_24h-2,,
HS2024_7_B_N2,,0.5533772615802648
PG2020_Intensity 10h_A,,0.5470499458168375
RN2012_L12,,0.5406926813113706
MV2014_Ratio M/L normalized B1___3 (5 min),,
NJH2024_Sub8_MICT_Mid,,
AH2018_LFQ_IT_4_C,,
SAS2015_PLX/AZD_Exp1,,0.5798419509243433
FR2021_Norm.Intensity.A,,0.5511152135542896
FSO2013_Ratio H/M normalized Rep1___1,,0.5495609878302277
JW2015_Intensity cap2,,
BS2014_Log2(Ratio H/L normalized Rep_2),,0.5464932061011658
NJH2024_Sub6_MICT_Post,,
CK2022_8 40-1,,0.532211817813264
RB2022_7_RecoveryEndurance,,
NJH2025_Sub12_HIIT_Post,,
EJN2021_4_Ex_Basal,,
TM2022_S2.12h.B,,
RN2012_L15,,0.5472127809122167
KS2014_Intensity pY_PV3,,
TM2022_S2.4h.B,,
PG2020_Intensity 4h_A,,0.5616805228229139
FSO2013_Ratio H/M normalized Rep2___2,,0.5369551821955575
TM2022_mock.4h.B,,
KBE2022_Log2_Ex_24_U,,0.5473618489286421
NJH2025_Sub13_MICT_Mid,,
KS2014_Intensity C3,,0.5350138680383155
RB2022_1_PreSprint,,
HS2024_4_I_N1,,0.49794034449408403
CK2022_7 200-1,0.33822682093446255,0.5225999174198289
CK2022_5 200-1,0.33670096341939837,0.5217322036520424
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,,
FSO2013_Ratio H/L normalized Rep2___1,,0.5408196074928963
NJH2024_Sub10_HIIT_Mid,,
RB2022_2_PostEndurance,,
AH2018_LFQ_2_C,,
AH2018_SILAC_MR_1_X,,
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,
IMM2018_normalised rep. int. Empty-2,,0.5481665799447591
RM2024_Intensity D4-1,,
KBE2022_Log2_Ex_25_U,,0.5580348657206926
AH2018_SILAC_3_C,,
EJN2021_5_Rest_Ins,,
VOI2024_0.1uM 24 h_3 di,,
RNJ2017_Log2_ratio_Tstim:Trest_D3,,
DB2022_LFQ intensity L2.1,,
FSO2013_Ratio H/M normalized Rep1,,0.535669308257201
CK2022_4 16-1,,0.5287278093149986
AS2011_Ratio H/L,,
SR2019_MCF7_Biol_repl_4,,
EJN2021_2_Ex_Ins,,
AS2011_Ratio H/L Inhi_2_3,,
JAW2011_Ratio H/L LS1a_1,,
AH2018_LFQ_1_N,,
SAS2015_PLX/DMSO_Exp1,,0.5608738105183683
SFR2015_HL_log2_ratio_avg_c,,
JJ2018_Ratio M/L normalized pP2,,
NJH2024_Sub7_MICT_Mid,,
PG2020_Intensity 6h_B,,0.5609794818329504
FSO2013_Ratio H/L normalized Rep3,,0.5410008214608092
GRW2016_Ratio H/L normalized SILAC 2___2,,
RKK2015_IKKb(K44M)+TNF-α/TNF-α,,0.5391405204908067
JJ2018_Ratio M/L normalized,,
KTGR2014_Ratio-AA 30 mins,,
JW2021_After_1,,
NJH2025_Sub2_MICT_Mid,,
HS2024_6_B_N2,,0.5328181368724745
KBE2022_Log2_Ex_9_T,0.31860732846263407,0.5453719411793229
AH2018_SILAC_IT_2_N,,
AH2018_SILAC_IT_1_X,,
HW2015_Ratio H/L normalized Exp3,,0.5423149112124634
HS2024_7_PD_T1,,0.537510062250409
UK2020_UA_2,,
RM2024_Intensity D2-1___1,,
GF2025_P10_Sph,,0.5381053004247628
WZ2023_Pe_025_20min,,0.5499104970202707
JVO2010_Log2 Ratio M/L Normalized aphidicolin,,
AH2018_LFQ_2_N,,
HS2024_4_I_N2,,0.5429758273384411
AH2018_TMTMS2_3_N,,
RN2012_H06,,0.5422904936379012
