DatasetName,RPL34_S(3) RPL34_S(44) RPL34_S(81) RPL34_S(9),RPL34_S(113) RPL34_S(12) RPL34_S(17) RPL34_S(68) RPL34_T(15) RPL34_T(20)
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,,0.5016808414332253
FSO2013_Ratio M/L normalized Rep3___2,,
SR2019_BT549_Biol_repl_3,,0.47559196240373103
RCJD2014_20min_mean,,
FR2021_Norm.Intensity.H,,
RB2022_2_PreStrength,,
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,,0.4972822921825267
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,,
CK2022_1 200-1,,
PG2020_Intensity Mock_10h_D,,0.4805544391087227
SR2019_MCF10A_Biol_repl_2,,0.5091611944221244
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,,0.4924424493656559
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,0.49518986301183915
RB2022_6_RecoveryEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,,0.5463488815941421
RCJD2014_5min_1,,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,,0.5100623210636165
SAS2015_PLX/AZD_Exp2,,
CR2017_Ratio Replicate 3.3,,0.46777448094715596
PG2020_Intensity 2h_C,,
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,,
KBE2022_Log2_Ex_8_T,0.6720509435686206,0.5105673580040163
NJH2025_Sub10_MICT_Post,,0.476445920859907
HS2024_6_I_T3,,0.4743248900886285
RN2012_L11,,0.48960861333875066
AS2011_Ratio H/L Normalized Inhi_2_2,,0.47337355950130133
IMM2018_normalised rep. int. Empty-1,,0.5002288178459443
HS2024_5_PD_T1,,0.494715963874129
AH2018_LFQ_M_2_C,,
CK2022_3 40-1,,
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,,0.49806860458227115
YA2020_Reporter_intensity_Cancer_No.5,,
HH2022_Reporter intensity 8,0.6245958671704127,
ZQ2022_N2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,,
EJN2021_5_Rest_Basal,,0.48829779966008324
NJH2025_Sub2_HIIT_Post,,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,,0.4914581077020534
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,0.49455016343356534
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,,
YA2020_Reporter_intensity_Normal_No.1,,
HS2024_3_B_T1,,0.48600820253839644
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,,
RB2022_1_PostEndurance,,0.5269969629906254
CR2017_Ratio Replicate 3,,0.533564435581363
SR2019_Hs578T_Biol_repl_3,,0.48514219163336425
MV2014_Ratio L/H normalized B3___1 (5 min),,
RBK2021_1244T Early,,
RB2022_3_PostSprint,,0.501338791419234
NJH2024_Sub13_MICT_Mid,,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,,0.4582370735586346
HS2024_8_I_T3,,0.47613867933837084
CF2017_EOC 3,,0.5213995828562046
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,
HS2024_6_PD_T3,,0.48484552192619595
DL2023_12h-2,,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,,
WZ2023_Pu_010_20min,,0.4563319091825333
AS2011_Ratio H/L_3,,
CK2022_1 40-1,,
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,,
KS2014_Intensity N3,,
RB2022_4_RecoveryEndurance,,0.5053851214702415
RB2022_5_RecoveryEndurance,,0.509251116246755
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,,
FSO2013_Ratio H/M normalized Rep2,,0.42503471131363235
RAM2015_Log2 A,,
HS2024_8_PD_T1,,0.497843223097815
JJ2018_Ratio H/L normalized pP2,,
CF2017_OSE 27,,0.4991719980876659
KS2014_Intensity E15_2,,
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,,
HS2024_7_I_T1,,0.5062958993354465
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,,0.4832255643515561
SR2019_JIMT1_Biol_repl_1,,0.47708790267122625
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,,0.4975509010676755
AH2018_SILAC_M_3_X,,
NJH2024_Sub9_HIIT_Post,,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,,0.5123264927428831
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,0.501037754286305
RB2022_8_PostEndurance,,0.5440427676272311
NJH2025_Sub4_MICT_Mid,,
YP2020_Intensity C30_R1_mult_log2,,0.49012029785724914
AST2020_anti-CD3.1,,
NJH2025_Sub4_HIIT_Post,,
EP2017_Untreated R#4 log2 ratio,,0.4845386982275617
HS2024_6_B_N1,,0.4699381362427391
KBE2022_Log2_Ex_27_T,0.6491603064988059,0.5075919168601642
CW2012_10 µM Gef/control Experiment 1 Replicate A,,
VOI2024_0.1uM 24 h_1 mono,0.6550163734979341,0.4920947591222456
AMK2021_120R_p5,,
AS2011_Ratio H/L Proteins,,0.49706665534395517
NJH2024_Sub7_HIIT_Post,,0.4733604497731286
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),,
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,,
AH2018_SILAC_IT_3_X,,
JAW2011_Ratio H/L,,
PG2020_Intensity 10h_C,,
FSO2013_Ratio M/L normalized Rep2,,
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,0.6479095282465707,
SR2019_HCC1954_Biol_repl_2,,0.5036137485527558
CK2022_14 40-1,,
RB2022_6_PreSprint,,
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,,
NJH2025_Sub2_MICT_Post,,
AH2018_LFQ_4_C,,
DL2023_control-1,,
AR2021_ALG 10 μM,,
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,,
EJN2021_4_Rest_Ins,,0.47975443394125533
RN2012_H05,,0.45726025072694715
NJH2024_Sub7_HIIT_Mid,,0.487772773019196
GF2025_P2_Adh,,0.4824823130919626
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,,0.5096339114956426
EJN2021_1_Rest_Ins,,0.49087784604617535
HH2022_Reporter intensity 3,0.6764039139696714,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,,
JW2021_After_3,,
GF2025_P8_Sph,,0.40746783325348246
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,,
AH2018_SILAC_2_N,,
CK2022_11 200-1,,
CK2022_12 200-1,,
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,0.6424961531459689,
WZ2023_Su_010_20min,,0.43624123237610074
AH2018_TMTMS2_2_N,,
NJH2024_Sub13_MICT_Pre,,
KBE2022_Log2_Ex_41_U,0.641767131377289,0.46530686157115686
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),0.649766150756098,
AH2018_TMTMS3_Pool,,
KS2014_Intensity N4,,
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,,
RM2024_Intensity D4-2___2,,
NJH2024_Sub13_HIIT_Pre,,
CF2017_OSE 26,,0.4761293981235774
CK2022_14 200-1,,
SR2019_Hs578T_Biol_repl_1,,0.45985618846045795
RB2022_7_PostSprint,,
TM2022_mock.4h.A,,0.5017089871767119
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,,
AST2020_anti-CD3+PDL2.2,,
PG2020_Intensity Mock_10h_A,,0.45891367221718676
JW2021_After_2,,
NJH2024_Sub2_MICT_Post,,
EJN2021_2_Rest_Ins,,0.4898884568640376
SR2019_LM2_Biol_repl_4,,0.5249961586265646
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,,
CK2022_13 16-1,,
GF2025_P1_Adh,,0.5135289240902349
GF2025_P1_Sph,,0.4352640040752267
EJN2021_5_Ex_Basal,,0.4936360925595154
HS2024_7_I_T3,,0.4828789167923036
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,,0.4527542574153925
CF2017_EOC 1,,0.5133629509661254
CK2022_3 200-1,,
AH2018_LFQ_IT_3_C,,
SR2019_Hs578T_Biol_repl_2,,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,,0.48251463628814
NJH2024_Sub13_MICT_Post,,
BS2014_Log2(Ratio H/L normalized Rep_1),,
RB2022_3_RecoverySprint,,0.5129890294127526
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,
HS2024_6_PD_T2,,0.4888031780405428
HS2024_5_B_T1,,0.48704976841498926
CW2012_10 µM Gef/control Experiment 2 Replicate A,,
DL2023_12h-3,,
SR2019_MDAMB231_Biol_repl_2,,0.47665479816173045
HS2024_3_B_T2,,0.5094375846622653
RB2022_6_PreStrength,,
CK2022_2 40-1,,
RB2022_1_PostSprint,,0.49811116728368215
CK2022_4 200-1,,
JW2021_Before_2,,
TM2022_S2.12h.A,,0.5119222995220899
MV2014_Ratio L/M normalized B2___2 (30 min),,
CK2022_5 16-1,,
AR2021_ALG 1 μM,,
HS2024_4_B_T1,,0.4934371034770268
MV2014_Ratio M/H normalized A3___1 (10 min),,
SR2019_BT549_Biol_repl_4,,0.5089777068008605
EJN2021_1_Rest_Basal,,0.49146814826728846
NJH2025_Sub8_MICT_Post,,0.4750551412654898
RCJD2014_5min_3,,
CR2017_Ratio Replicate 3.2,,0.4756176340069577
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,
GF2025_P7_Adh,,0.526350336166931
CK2022_9 16-1,,
NJH2024_Sub6_HIIT_Post,,
AMK2021_30R_p3,,
AS2011_Ratio H/L Normalized RNAi_2,,0.4978785871005698
RM2024_Intensity D0-2___2,,
KS2014_Intensity pY_N4,,
CK2022_13 200-1,,
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,,
CK2022_16 16-1,,
FS2019_db/db3,,
CK2022_15 40-1,,
NJH2024_Sub9_MICT_Pre,,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,,0.4609812381685128
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,0.641235035878325,0.46996616982164574
AMK2021_Ctrl_p1,,
AH2018_LFQ_IT_3_X,,
HS2024_5_PD_T3,,0.507957099356867
AH2018_TMTMS3_3_X,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,
KBE2022_Log2_Ex_40_U,0.6351199267408327,0.47860535261295545
AH2018_LFQ_M_1_N,,
KBE2022_Log2_Ex_27_U,0.6473328347004453,0.5038611125337221
HW2015_Ratio M/L normalized Exp3,,
RKK2015_TNF-α/IKKb(K44M),,0.5003793927007274
AH2018_SILAC_M_1_N,,
HW2015_Ratio M/L normalized Exp1,,
RB2022_5_RecoveryStrength,,0.4635009890704554
YP2020_Intensity P10_R1_mult_log2,,
RB2022_7_PreStrength,,
YA2020_Reporter_intensity_Normal_No.4,,
NJH2025_Sub13_HIIT_Pre,,
PG2020_Intensity CT_D,,
NJH2025_Sub9_MICT_Post,,
VOI2024_Veh1 mono,,
CK2022_12 16-1,,
RN2012_L13,,0.4703751456117525
LG2023_Control-1_intensity,,
RM2024_Intensity D6-3___2,,
KBE2022_Log2_Ex_8_U,0.666418938478981,0.5105256705477385
SR2019_SKBR3_Biol_repl_3,,0.48752574291108325
NJH2024_Sub1_MICT_Post,,
HS2024_3_I_T2,,0.49184101010969705
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,
RM2024_Intensity D0-3___3,,
HS2024_6_I_T2,,0.4972267480194943
CW2012_10 µM Erl/control Experiment 2 Replicate B,,
AS2011_Ratio H/L Protein Inhi_1,,0.5198733264171396
FSO2013_Ratio H/M normalized Rep2___1,,0.42748421615256427
GRW2016_Ratio M/L normalized SILAC 5a___2,,
CK2022_10 40-1,,
NJH2024_Sub12_HIIT_Pre,,
NJH2024_Sub8_MICT_Pre,,0.4726419867663634
RM2024_Intensity D0-1___1,,
LY2019_P3+,,
HH2022_Reporter intensity 6,0.6387244524289403,
RB2022_2_RecoveryStrength,,
KTGR2014_Ratio-AA 15 mins,,
AS2011_Ratio H/L Normalized RNAi_2_2,,0.4977003002067122
KS2014_Intensity pY_N3,,
MV2014_Ratio H/L normalized B1___2 (30 min),,
LY2019_P5-,,0.5189940247448801
HW2015_Ratio M/L normalized Exp2,,
SR2019_HCC1419_Biol_repl_1,,0.48859474388291596
AH2018_TMTMS2_3_X,,
GF2025_P3_Adh,,0.49288495883499633
SR2019_JIMT1_Biol_repl_2,,
AH2018_TMTMS2_1_C,,
RM2024_Intensity D0-1___2,,
LY2019_P4+,,0.45508668376255007
KBE2022_Log2_Ex_19_U,0.6543998240943681,0.4900093199666377
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,,
RB2022_4_PostStrength,,0.5127997645565847
LG2023_GSK3α-3_intensity,,
YA2020_Reporter_intensity_Cancer_No.1,,
AST2020_Control,,
JAW2011_Ratio H/L LS1a,,
RCJD2014_5min_mean,,
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,
NJH2025_Sub1_MICT_Mid,,
TM2022_S2.12h.C,,0.5109858066038228
NJH2025_Sub9_MICT_Mid,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,,
AS2011_Ratio H/L Normalized Inhi_1_2,,0.5083612550599445
FSO2013_Ratio M/L normalized Rep2___1,,
LG2023_Control-2_intensity,,
NJH2024_Sub8_HIIT_Pre,,0.4739876434242156
KS2014_Intensity pY_N2,,
RB2022_5_RecoverySprint,,0.5282653975407995
RB2022_7_RecoverySprint,,
YA2020_Reporter_intensity_Normal_No.3,,
HS2024_8_B_T2,,0.4803587624930672
AH2018_LFQ_1_X,,
RM2024_Intensity D6-1___1,,
RCJD2014_10min_2,,
FR2021_Norm.Intensity.M,,
RM2024_Intensity D0-3___1,,
KS2014_Intensity N2,,
HH2022_Reporter intensity 1,0.6742718530993274,
HH2022_Reporter intensity 2,0.6745488560274358,
RM2024_Intensity D6-2___2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,
RM2024_Intensity D2-3___2,,
YA2020_Reporter_intensity_Normal_No.5,,
SR2019_MCF7_Biol_repl_1,,0.5051419497997384
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,
HS2024_8_B_T1,,0.488532142885383
NJH2025_Sub6_HIIT_Pre,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,
EP2017_Untreated R#2 log2 ratio,,0.5133907409834914
SR2019_LM2_Biol_repl_3,,0.5309795210224252
RB2022_4_RecoveryStrength,,0.4682903284904015
CR2017_Ratio Replicate 2,,0.46344929145552616
CW2012_10 µM Erl/control Experiment 2 Replicate A,,
FSO2013_Ratio H/M normalized Rep3,,0.467462655255291
AR2021_KD 72h,,
MV2014_Ratio H/M normalized B2___3 (5 min),,
KBE2022_Log2_Ex_18_U,0.6777763242195708,0.5443502635681354
AS2011_Ratio H/L Inhi_1_1,,
NJH2024_Sub8_MICT_Post,,0.4750551412654898
AH2018_TMTMS3_3_C,,
KBE2022_Log2_Ex_9_U,0.6563650841932327,0.5073584708784993
AH2018_SILAC_M_3_N,,
KBE2022_Log2_Ex_13_T,0.6575922468274032,0.505120760823039
RM2024_Intensity D0-3,,
SR2019_SKBR3_Biol_repl_1,,0.48834136813496154
PG2020_Intensity Mock_10h_C,,0.46685512975105503
CF2017_OSE 29,,0.4641143436440958
YB2013_Ratio_H_L_Normalized_in_experiment_1,,
NJH2025_Sub1_HIIT_Post,,
DL2023_24h-2,,
HS2024_7_B_N2,,0.49262359772969067
PG2020_Intensity 10h_A,,
RN2012_L12,,0.5189689155523659
MV2014_Ratio M/L normalized B1___3 (5 min),,
NJH2024_Sub8_MICT_Mid,,0.4838411422490852
AH2018_LFQ_IT_4_C,,
SAS2015_PLX/AZD_Exp1,,
FR2021_Norm.Intensity.A,,
FSO2013_Ratio H/M normalized Rep1___1,,0.43110625845246725
JW2015_Intensity cap2,,
BS2014_Log2(Ratio H/L normalized Rep_2),,
NJH2024_Sub6_MICT_Post,,
CK2022_8 40-1,,
RB2022_7_RecoveryEndurance,,
NJH2025_Sub12_HIIT_Post,,
EJN2021_4_Ex_Basal,,0.48595297839219703
TM2022_S2.12h.B,,0.5104310010784366
RN2012_L15,,0.49712584413209376
KS2014_Intensity pY_PV3,,
TM2022_S2.4h.B,,0.5110930223252171
PG2020_Intensity 4h_A,,
FSO2013_Ratio H/M normalized Rep2___2,,
TM2022_mock.4h.B,,0.5055279777120516
KBE2022_Log2_Ex_24_U,0.6790583666586563,0.5458711525102565
NJH2025_Sub13_MICT_Mid,,
KS2014_Intensity C3,,
RB2022_1_PreSprint,,
HS2024_4_I_N1,,0.5039359437135716
CK2022_7 200-1,,
CK2022_5 200-1,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,,
FSO2013_Ratio H/L normalized Rep2___1,,0.4419937275994285
NJH2024_Sub10_HIIT_Mid,,0.47223034744939146
RB2022_2_PostEndurance,,
AH2018_LFQ_2_C,,
AH2018_SILAC_MR_1_X,,
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,
IMM2018_normalised rep. int. Empty-2,,0.5035095663457493
RM2024_Intensity D4-1,,
KBE2022_Log2_Ex_25_U,0.6470732481153185,0.4782943524769648
AH2018_SILAC_3_C,,
EJN2021_5_Rest_Ins,,0.4829977922357493
VOI2024_0.1uM 24 h_3 di,,
RNJ2017_Log2_ratio_Tstim:Trest_D3,,
DB2022_LFQ intensity L2.1,,
FSO2013_Ratio H/M normalized Rep1,,0.4286288671226636
CK2022_4 16-1,,
AS2011_Ratio H/L,,0.48673523696019677
SR2019_MCF7_Biol_repl_4,,0.5069587154402256
EJN2021_2_Ex_Ins,,0.4748742180771375
AS2011_Ratio H/L Inhi_2_3,,0.49783809178016125
JAW2011_Ratio H/L LS1a_1,,
AH2018_LFQ_1_N,,
SAS2015_PLX/DMSO_Exp1,,
SFR2015_HL_log2_ratio_avg_c,,
JJ2018_Ratio M/L normalized pP2,,
NJH2024_Sub7_MICT_Mid,,0.4789200336106687
PG2020_Intensity 6h_B,,
FSO2013_Ratio H/L normalized Rep3,,0.4737635201039537
GRW2016_Ratio H/L normalized SILAC 2___2,,
RKK2015_IKKb(K44M)+TNF-α/TNF-α,,0.49798353879764923
JJ2018_Ratio M/L normalized,,
KTGR2014_Ratio-AA 30 mins,,
JW2021_After_1,,
NJH2025_Sub2_MICT_Mid,,
HS2024_6_B_N2,,0.48883118818139465
KBE2022_Log2_Ex_9_T,0.6528596124246011,0.5123821306884649
AH2018_SILAC_IT_2_N,,
AH2018_SILAC_IT_1_X,,
HW2015_Ratio H/L normalized Exp3,,
HS2024_7_PD_T1,,0.4829031188997157
UK2020_UA_2,,
RM2024_Intensity D2-1___1,,
GF2025_P10_Sph,,0.4697247287825266
WZ2023_Pe_025_20min,,0.46007046290669834
JVO2010_Log2 Ratio M/L Normalized aphidicolin,,0.4957960832213051
AH2018_LFQ_2_N,,
HS2024_4_I_N2,,0.5018576808868035
AH2018_TMTMS2_3_N,,
RN2012_H06,,0.5094163232149318
AS2011_Inhi 1_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,0.5038881115113485
HS2024_4_PD_T3,,0.49175896820104265
WZ2023_Su_005_30min,,0.46126592651592907
SR2019_HCC1419_Biol_repl_4,,0.5017550489953029
JJ2018_Ratio H/M normalized___2,,
SR2019_JIMT1_Biol_repl_3,,
AS2011_Ratio H/L Protein,,0.49706665534395517
UK2020_HCM_3,,
NJH2024_Sub10_HIIT_Post,,0.46940653145448374
CR2017_Ratio Replicate 3.1,,0.4901043641694583
