DatasetName,GEMIN5_S(1311) GEMIN5_S(3) GEMIN5_S(624) GEMIN5_S(7) GEMIN5_S(754) GEMIN5_S(756) GEMIN5_S(757) GEMIN5_S(765) GEMIN5_S(770) GEMIN5_S(778) GEMIN5_S(793) GEMIN5_S(810) GEMIN5_S(847) GEMIN5_T(51) GEMIN5_T(807),GEMIN5_S(1267) GEMIN5_S(1322) GEMIN5_S(48) GEMIN5_S(657) GEMIN5_S(767) GEMIN5_S(854) GEMIN5_T(1195) GEMIN5_T(1270) GEMIN5_T(1326) GEMIN5_T(748) GEMIN5_T(751)
AMK2021_Ctrl_p1,,
AH2018_LFQ_IT_3_X,,0.3692705815643329
HS2024_5_PD_T3,0.5536303619803683,
AH2018_TMTMS3_3_X,,0.3835505065294473
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,
KBE2022_Log2_Ex_40_U,,
AH2018_LFQ_M_1_N,,0.3714031054127733
KBE2022_Log2_Ex_27_U,,
HW2015_Ratio M/L normalized Exp3,,
RKK2015_TNF-α/IKKb(K44M),0.5405064138458576,
AH2018_SILAC_M_1_N,,0.3675746403582547
HW2015_Ratio M/L normalized Exp1,,
RB2022_5_RecoveryStrength,,
YP2020_Intensity P10_R1_mult_log2,,
RB2022_7_PreStrength,0.5365126089053759,
YA2020_Reporter_intensity_Normal_No.4,,
NJH2025_Sub13_HIIT_Pre,0.5435458667059876,
PG2020_Intensity CT_D,0.5474956572605144,0.3495569117292745
NJH2025_Sub9_MICT_Post,0.5484945131479646,
VOI2024_Veh1 mono,,
CK2022_12 16-1,0.5310368386069884,
RN2012_L13,,
LG2023_Control-1_intensity,,
RM2024_Intensity D6-3___2,,
KBE2022_Log2_Ex_8_U,,
SR2019_SKBR3_Biol_repl_3,,
NJH2024_Sub1_MICT_Post,0.5444325457451209,
HS2024_3_I_T2,0.5364855112985415,
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,
RM2024_Intensity D0-3___3,,
HS2024_6_I_T2,,
CW2012_10 µM Erl/control Experiment 2 Replicate B,,
AS2011_Ratio H/L Protein Inhi_1,,
FSO2013_Ratio H/M normalized Rep2___1,0.5414133697995581,
GRW2016_Ratio M/L normalized SILAC 5a___2,,
CK2022_10 40-1,0.5462407304811226,
NJH2024_Sub12_HIIT_Pre,0.5497692387943803,
NJH2024_Sub8_MICT_Pre,0.5459103051657936,
RM2024_Intensity D0-1___1,,
LY2019_P3+,,
HH2022_Reporter intensity 6,0.5534854224525366,0.3782974160582477
RB2022_2_RecoveryStrength,0.5412779484737873,
KTGR2014_Ratio-AA 15 mins,,
AS2011_Ratio H/L Normalized RNAi_2_2,,
KS2014_Intensity pY_N3,,
MV2014_Ratio H/L normalized B1___2 (30 min),,
LY2019_P5-,,
HW2015_Ratio M/L normalized Exp2,,
SR2019_HCC1419_Biol_repl_1,,
AH2018_TMTMS2_3_X,,0.350535563587776
GF2025_P3_Adh,0.544673242014398,
SR2019_JIMT1_Biol_repl_2,,
AH2018_TMTMS2_1_C,,0.3427144501426475
RM2024_Intensity D0-1___2,,
LY2019_P4+,,
KBE2022_Log2_Ex_19_U,,
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,,
RB2022_4_PostStrength,,
LG2023_GSK3α-3_intensity,,
YA2020_Reporter_intensity_Cancer_No.1,,
AST2020_Control,,
JAW2011_Ratio H/L LS1a,,
RCJD2014_5min_mean,0.564319714592567,
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,
NJH2025_Sub1_MICT_Mid,0.5436776862399942,
TM2022_S2.12h.C,0.5494558273089375,
NJH2025_Sub9_MICT_Mid,0.5457320101326352,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,,
AS2011_Ratio H/L Normalized Inhi_1_2,,
FSO2013_Ratio M/L normalized Rep2___1,0.5498475136691741,
LG2023_Control-2_intensity,,
NJH2024_Sub8_HIIT_Pre,0.5429384750083514,
KS2014_Intensity pY_N2,,
RB2022_5_RecoverySprint,,
RB2022_7_RecoverySprint,0.5420186557589817,
YA2020_Reporter_intensity_Normal_No.3,,
HS2024_8_B_T2,,
AH2018_LFQ_1_X,,
RM2024_Intensity D6-1___1,,
RCJD2014_10min_2,0.5491640824467778,
FR2021_Norm.Intensity.M,,
RM2024_Intensity D0-3___1,,
KS2014_Intensity N2,0.5465010093850334,0.38192548046250746
HH2022_Reporter intensity 1,0.5370422997281513,0.3600411325483881
HH2022_Reporter intensity 2,0.5354277990459075,0.35927159730701774
RM2024_Intensity D6-2___2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,
RM2024_Intensity D2-3___2,,
YA2020_Reporter_intensity_Normal_No.5,,
SR2019_MCF7_Biol_repl_1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,
HS2024_8_B_T1,0.546939423236249,
NJH2025_Sub6_HIIT_Pre,0.5420452215008545,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,
EP2017_Untreated R#2 log2 ratio,0.5209020362093385,0.38425286865853975
SR2019_LM2_Biol_repl_3,,
RB2022_4_RecoveryStrength,,
CR2017_Ratio Replicate 2,0.5509516132951691,
CW2012_10 µM Erl/control Experiment 2 Replicate A,,
FSO2013_Ratio H/M normalized Rep3,0.5541155878141448,
AR2021_KD 72h,0.5322978898788813,
MV2014_Ratio H/M normalized B2___3 (5 min),,
KBE2022_Log2_Ex_18_U,,
AS2011_Ratio H/L Inhi_1_1,,
NJH2024_Sub8_MICT_Post,0.54705260954316,
AH2018_TMTMS3_3_C,,0.38727666633696156
KBE2022_Log2_Ex_9_U,,
AH2018_SILAC_M_3_N,,
KBE2022_Log2_Ex_13_T,,
RM2024_Intensity D0-3,,
SR2019_SKBR3_Biol_repl_1,,
PG2020_Intensity Mock_10h_C,0.5441278466931951,0.38470015666745855
CF2017_OSE 29,,
YB2013_Ratio_H_L_Normalized_in_experiment_1,,
NJH2025_Sub1_HIIT_Post,0.5468732214629981,
DL2023_24h-2,,
HS2024_7_B_N2,,
PG2020_Intensity 10h_A,,
RN2012_L12,,
MV2014_Ratio M/L normalized B1___3 (5 min),,
NJH2024_Sub8_MICT_Mid,0.5414499604846205,
AH2018_LFQ_IT_4_C,,
SAS2015_PLX/AZD_Exp1,0.5431551653371505,0.40061624504280785
FR2021_Norm.Intensity.A,,
FSO2013_Ratio H/M normalized Rep1___1,0.5349714851669096,
JW2015_Intensity cap2,,
BS2014_Log2(Ratio H/L normalized Rep_2),,
NJH2024_Sub6_MICT_Post,0.5476369447774713,
CK2022_8 40-1,0.5464491477656791,
RB2022_7_RecoveryEndurance,0.5394232279520007,
NJH2025_Sub12_HIIT_Post,0.5514234069695408,
EJN2021_4_Ex_Basal,0.5494615542819575,
TM2022_S2.12h.B,0.5485794848648863,
RN2012_L15,,
KS2014_Intensity pY_PV3,,
TM2022_S2.4h.B,0.5493163249638635,
PG2020_Intensity 4h_A,0.5426152305987955,0.35739281598357664
FSO2013_Ratio H/M normalized Rep2___2,,
TM2022_mock.4h.B,0.5494113289584954,
KBE2022_Log2_Ex_24_U,,
NJH2025_Sub13_MICT_Mid,0.5460105500587377,
KS2014_Intensity C3,0.5445404425730644,0.37383305441222786
RB2022_1_PreSprint,,
HS2024_4_I_N1,,
CK2022_7 200-1,0.5509010066139522,
CK2022_5 200-1,0.5508236843590197,
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,,
FSO2013_Ratio H/L normalized Rep2___1,0.5328154338342306,
NJH2024_Sub10_HIIT_Mid,0.5423486891647494,
RB2022_2_PostEndurance,0.5355834890579236,
AH2018_LFQ_2_C,,
AH2018_SILAC_MR_1_X,,0.3730926407094245
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,
IMM2018_normalised rep. int. Empty-2,0.545364569343353,
RM2024_Intensity D4-1,,
KBE2022_Log2_Ex_25_U,,
AH2018_SILAC_3_C,,
EJN2021_5_Rest_Ins,0.5465877095701458,
VOI2024_0.1uM 24 h_3 di,,
RNJ2017_Log2_ratio_Tstim:Trest_D3,,
DB2022_LFQ intensity L2.1,,
FSO2013_Ratio H/M normalized Rep1,0.5339657647981912,
CK2022_4 16-1,0.535127290403389,
AS2011_Ratio H/L,,
SR2019_MCF7_Biol_repl_4,,
EJN2021_2_Ex_Ins,0.5490894327907142,
