DatasetName,PARP4_C(1507) PARP4_S(1048) PARP4_S(1186) PARP4_S(1236) PARP4_S(1288) PARP4_S(1335) PARP4_S(1338) PARP4_S(1349) PARP4_S(1434) PARP4_S(1710) PARP4_S(1713) PARP4_S(1722) PARP4_S(223) PARP4_T(101) PARP4_T(1443) PARP4_T(1499) PARP4_T(333) PARP4_T(768),PARP4_S(122) PARP4_S(1223) PARP4_S(1306) PARP4_S(1507) PARP4_T(124)
NJH2025_Sub9_MICT_Post,,
VOI2024_Veh1 mono,0.5107361591174242,
CK2022_12 16-1,,
RN2012_L13,0.5129957239072103,
LG2023_Control-1_intensity,,
RM2024_Intensity D6-3___2,0.5136398273983064,
KBE2022_Log2_Ex_8_U,0.5105681522357806,
SR2019_SKBR3_Biol_repl_3,0.5308015157707072,
NJH2024_Sub1_MICT_Post,,
HS2024_3_I_T2,0.47776522535221616,
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,
RM2024_Intensity D0-3___3,,
HS2024_6_I_T2,0.45133256975353436,
CW2012_10 µM Erl/control Experiment 2 Replicate B,,
AS2011_Ratio H/L Protein Inhi_1,,
FSO2013_Ratio H/M normalized Rep2___1,0.512817007639566,
GRW2016_Ratio M/L normalized SILAC 5a___2,,
CK2022_10 40-1,,
NJH2024_Sub12_HIIT_Pre,,
NJH2024_Sub8_MICT_Pre,,
RM2024_Intensity D0-1___1,0.5119544776823304,
LY2019_P3+,0.49322106132552856,
HH2022_Reporter intensity 6,,
RB2022_2_RecoveryStrength,,
KTGR2014_Ratio-AA 15 mins,,
AS2011_Ratio H/L Normalized RNAi_2_2,,
KS2014_Intensity pY_N3,,
MV2014_Ratio H/L normalized B1___2 (30 min),,
LY2019_P5-,0.5290215898050211,
HW2015_Ratio M/L normalized Exp2,,
SR2019_HCC1419_Biol_repl_1,,
AH2018_TMTMS2_3_X,0.506399112495117,
GF2025_P3_Adh,0.5122010525395225,
SR2019_JIMT1_Biol_repl_2,0.5324827674071618,
AH2018_TMTMS2_1_C,0.5073615119825653,
RM2024_Intensity D0-1___2,0.5114387534284691,
LY2019_P4+,0.5199931167535791,
KBE2022_Log2_Ex_19_U,0.5096471314757064,
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,0.5157731259782292,
RB2022_4_PostStrength,,
LG2023_GSK3α-3_intensity,,
YA2020_Reporter_intensity_Cancer_No.1,0.5057682141653278,0.3394241801686225
AST2020_Control,,
JAW2011_Ratio H/L LS1a,,
RCJD2014_5min_mean,0.5110463635802174,
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,
NJH2025_Sub1_MICT_Mid,,
TM2022_S2.12h.C,0.5153772593403699,
NJH2025_Sub9_MICT_Mid,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,0.4975874639727997,
AS2011_Ratio H/L Normalized Inhi_1_2,,
FSO2013_Ratio M/L normalized Rep2___1,0.5168547493316428,
LG2023_Control-2_intensity,,
NJH2024_Sub8_HIIT_Pre,,
KS2014_Intensity pY_N2,,
RB2022_5_RecoverySprint,,
RB2022_7_RecoverySprint,,
YA2020_Reporter_intensity_Normal_No.3,0.5085128808297166,0.3838614848850817
HS2024_8_B_T2,0.5223369314690276,
AH2018_LFQ_1_X,,
RM2024_Intensity D6-1___1,,
RCJD2014_10min_2,0.4952349253054638,
FR2021_Norm.Intensity.M,0.5100521918065613,
RM2024_Intensity D0-3___1,,
KS2014_Intensity N2,0.5192224165446043,
HH2022_Reporter intensity 1,,
HH2022_Reporter intensity 2,,
RM2024_Intensity D6-2___2,0.5149421841260601,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,
RM2024_Intensity D2-3___2,0.5125212747701617,
YA2020_Reporter_intensity_Normal_No.5,0.5090782676198695,0.3710778822297486
SR2019_MCF7_Biol_repl_1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,
HS2024_8_B_T1,0.5406234220142365,
NJH2025_Sub6_HIIT_Pre,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,
EP2017_Untreated R#2 log2 ratio,0.5238311108472311,
SR2019_LM2_Biol_repl_3,0.5081152727348041,
RB2022_4_RecoveryStrength,,
CR2017_Ratio Replicate 2,0.5052176642886186,
CW2012_10 µM Erl/control Experiment 2 Replicate A,,
FSO2013_Ratio H/M normalized Rep3,0.5209512788320202,
AR2021_KD 72h,0.4912424953263975,0.38119727148868265
MV2014_Ratio H/M normalized B2___3 (5 min),,
KBE2022_Log2_Ex_18_U,,
AS2011_Ratio H/L Inhi_1_1,,
NJH2024_Sub8_MICT_Post,,
AH2018_TMTMS3_3_C,0.5119652863661138,
KBE2022_Log2_Ex_9_U,,
AH2018_SILAC_M_3_N,0.5050701933266182,
KBE2022_Log2_Ex_13_T,0.5077233182639398,
RM2024_Intensity D0-3,0.5123319505482171,
SR2019_SKBR3_Biol_repl_1,0.5297556283806499,
PG2020_Intensity Mock_10h_C,0.5020392938409197,
CF2017_OSE 29,0.5124774210437626,
YB2013_Ratio_H_L_Normalized_in_experiment_1,,
NJH2025_Sub1_HIIT_Post,,
DL2023_24h-2,,
HS2024_7_B_N2,0.5127333451595434,
PG2020_Intensity 10h_A,,
RN2012_L12,,
MV2014_Ratio M/L normalized B1___3 (5 min),,
NJH2024_Sub8_MICT_Mid,,
AH2018_LFQ_IT_4_C,0.5081835763095959,
SAS2015_PLX/AZD_Exp1,,
FR2021_Norm.Intensity.A,0.5088818531592436,
FSO2013_Ratio H/M normalized Rep1___1,0.5121452751240124,
JW2015_Intensity cap2,,
BS2014_Log2(Ratio H/L normalized Rep_2),,
NJH2024_Sub6_MICT_Post,,
CK2022_8 40-1,,
RB2022_7_RecoveryEndurance,,
NJH2025_Sub12_HIIT_Post,,
EJN2021_4_Ex_Basal,,
TM2022_S2.12h.B,0.5156946315204265,
RN2012_L15,0.5060568765821505,
KS2014_Intensity pY_PV3,,
TM2022_S2.4h.B,0.515713653716263,
PG2020_Intensity 4h_A,,
FSO2013_Ratio H/M normalized Rep2___2,,
TM2022_mock.4h.B,0.5156073279345246,
KBE2022_Log2_Ex_24_U,0.5090680178100531,
NJH2025_Sub13_MICT_Mid,,
KS2014_Intensity C3,0.5082895273985392,
RB2022_1_PreSprint,,
HS2024_4_I_N1,0.5620804974759864,
CK2022_7 200-1,,
CK2022_5 200-1,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,0.49879453881085095,
FSO2013_Ratio H/L normalized Rep2___1,0.5112897123310547,
NJH2024_Sub10_HIIT_Mid,,
RB2022_2_PostEndurance,,
AH2018_LFQ_2_C,0.5027977690302605,
AH2018_SILAC_MR_1_X,0.49993947133622374,
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,
IMM2018_normalised rep. int. Empty-2,,
RM2024_Intensity D4-1,0.5113512545111703,
KBE2022_Log2_Ex_25_U,0.5101675108205679,
AH2018_SILAC_3_C,0.5081883672158534,
EJN2021_5_Rest_Ins,,
VOI2024_0.1uM 24 h_3 di,,
RNJ2017_Log2_ratio_Tstim:Trest_D3,,
DB2022_LFQ intensity L2.1,,
FSO2013_Ratio H/M normalized Rep1,0.5079799787600466,
CK2022_4 16-1,,
AS2011_Ratio H/L,,
SR2019_MCF7_Biol_repl_4,0.5104939778456493,
EJN2021_2_Ex_Ins,,
AS2011_Ratio H/L Inhi_2_3,,
JAW2011_Ratio H/L LS1a_1,,
AH2018_LFQ_1_N,0.5060223226665266,
SAS2015_PLX/DMSO_Exp1,,
SFR2015_HL_log2_ratio_avg_c,,
JJ2018_Ratio M/L normalized pP2,,
NJH2024_Sub7_MICT_Mid,,
PG2020_Intensity 6h_B,,
FSO2013_Ratio H/L normalized Rep3,0.5159954413559913,
GRW2016_Ratio H/L normalized SILAC 2___2,,
RKK2015_IKKb(K44M)+TNF-α/TNF-α,0.5346657715625676,
JJ2018_Ratio M/L normalized,,
KTGR2014_Ratio-AA 30 mins,,
JW2021_After_1,,
NJH2025_Sub2_MICT_Mid,,
HS2024_6_B_N2,0.5380300260562723,
KBE2022_Log2_Ex_9_T,,
AH2018_SILAC_IT_2_N,0.5069585255845284,
AH2018_SILAC_IT_1_X,0.5101506390184027,
HW2015_Ratio H/L normalized Exp3,,
HS2024_7_PD_T1,0.5027748910909167,
UK2020_UA_2,,
