DatasetName,HS1BP3_S(138) HS1BP3_S(139) HS1BP3_S(194) HS1BP3_S(207) HS1BP3_S(225) HS1BP3_S(246) HS1BP3_S(249) HS1BP3_S(254) HS1BP3_S(280) HS1BP3_S(289) HS1BP3_S(3) HS1BP3_S(302) HS1BP3_S(68),HS1BP3_T(146)
HS2024_3_I_T2,0.5067357198488182,
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,
RM2024_Intensity D0-3___3,,
HS2024_6_I_T2,0.5107416253878175,
CW2012_10 µM Erl/control Experiment 2 Replicate B,0.5119693977578803,
AS2011_Ratio H/L Protein Inhi_1,,
FSO2013_Ratio H/M normalized Rep2___1,0.5089196755145742,
GRW2016_Ratio M/L normalized SILAC 5a___2,,
CK2022_10 40-1,,
NJH2024_Sub12_HIIT_Pre,,
NJH2024_Sub8_MICT_Pre,,
RM2024_Intensity D0-1___1,,
LY2019_P3+,0.5174773356945711,
HH2022_Reporter intensity 6,0.5105525176514225,
RB2022_2_RecoveryStrength,0.5264899230103429,
KTGR2014_Ratio-AA 15 mins,,
AS2011_Ratio H/L Normalized RNAi_2_2,,
KS2014_Intensity pY_N3,,
MV2014_Ratio H/L normalized B1___2 (30 min),,
LY2019_P5-,0.5210315935121425,
HW2015_Ratio M/L normalized Exp2,,
SR2019_HCC1419_Biol_repl_1,,
AH2018_TMTMS2_3_X,0.5219717562808562,
GF2025_P3_Adh,0.5176355990979846,
SR2019_JIMT1_Biol_repl_2,,
AH2018_TMTMS2_1_C,0.5248665671618056,
RM2024_Intensity D0-1___2,,
LY2019_P4+,0.5249377891162138,
KBE2022_Log2_Ex_19_U,,
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,,
RB2022_4_PostStrength,,
LG2023_GSK3α-3_intensity,,
YA2020_Reporter_intensity_Cancer_No.1,0.5135930530390758,
AST2020_Control,,
JAW2011_Ratio H/L LS1a,,
RCJD2014_5min_mean,,
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,
NJH2025_Sub1_MICT_Mid,,
TM2022_S2.12h.C,,
NJH2025_Sub9_MICT_Mid,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,,
AS2011_Ratio H/L Normalized Inhi_1_2,,
FSO2013_Ratio M/L normalized Rep2___1,0.509922066727329,
LG2023_Control-2_intensity,,
NJH2024_Sub8_HIIT_Pre,,
KS2014_Intensity pY_N2,,
RB2022_5_RecoverySprint,,
RB2022_7_RecoverySprint,0.499760305541897,
YA2020_Reporter_intensity_Normal_No.3,0.5181382434637883,
HS2024_8_B_T2,0.5178711032412837,
AH2018_LFQ_1_X,,
RM2024_Intensity D6-1___1,,
RCJD2014_10min_2,,
FR2021_Norm.Intensity.M,0.4880637471259823,
RM2024_Intensity D0-3___1,,
KS2014_Intensity N2,0.4963335824631428,
HH2022_Reporter intensity 1,0.5138177423717036,
HH2022_Reporter intensity 2,0.5130019767112879,
RM2024_Intensity D6-2___2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,
RM2024_Intensity D2-3___2,,
YA2020_Reporter_intensity_Normal_No.5,0.5125204760091914,
SR2019_MCF7_Biol_repl_1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,
HS2024_8_B_T1,0.5263630430160747,
NJH2025_Sub6_HIIT_Pre,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,
EP2017_Untreated R#2 log2 ratio,0.48336473668035107,
SR2019_LM2_Biol_repl_3,,
RB2022_4_RecoveryStrength,,
CR2017_Ratio Replicate 2,0.5159601204646882,
CW2012_10 µM Erl/control Experiment 2 Replicate A,0.5064357646615976,
FSO2013_Ratio H/M normalized Rep3,0.5094472418733295,
AR2021_KD 72h,0.5148536317058704,
MV2014_Ratio H/M normalized B2___3 (5 min),,
KBE2022_Log2_Ex_18_U,,
AS2011_Ratio H/L Inhi_1_1,,
NJH2024_Sub8_MICT_Post,,
AH2018_TMTMS3_3_C,0.49666500591580637,
KBE2022_Log2_Ex_9_U,,
AH2018_SILAC_M_3_N,0.5026806191545004,
KBE2022_Log2_Ex_13_T,,
RM2024_Intensity D0-3,,
SR2019_SKBR3_Biol_repl_1,,
PG2020_Intensity Mock_10h_C,,
CF2017_OSE 29,0.5193002746536656,
YB2013_Ratio_H_L_Normalized_in_experiment_1,,
NJH2025_Sub1_HIIT_Post,,
DL2023_24h-2,,
HS2024_7_B_N2,0.5198716956056729,
PG2020_Intensity 10h_A,,
RN2012_L12,0.5121530697483873,
MV2014_Ratio M/L normalized B1___3 (5 min),,
NJH2024_Sub8_MICT_Mid,,
AH2018_LFQ_IT_4_C,0.5012910632906371,
SAS2015_PLX/AZD_Exp1,,
FR2021_Norm.Intensity.A,0.496900862020009,
FSO2013_Ratio H/M normalized Rep1___1,0.5107002573220903,
JW2015_Intensity cap2,,
BS2014_Log2(Ratio H/L normalized Rep_2),,
NJH2024_Sub6_MICT_Post,,
CK2022_8 40-1,,
RB2022_7_RecoveryEndurance,0.5170932144300339,
NJH2025_Sub12_HIIT_Post,,
EJN2021_4_Ex_Basal,,
TM2022_S2.12h.B,,
RN2012_L15,0.5257438799105393,
KS2014_Intensity pY_PV3,,
TM2022_S2.4h.B,,
PG2020_Intensity 4h_A,,
FSO2013_Ratio H/M normalized Rep2___2,,
TM2022_mock.4h.B,,
KBE2022_Log2_Ex_24_U,,
NJH2025_Sub13_MICT_Mid,,
KS2014_Intensity C3,0.513944986645355,
RB2022_1_PreSprint,0.5156473573607161,
HS2024_4_I_N1,0.5215599655115994,
CK2022_7 200-1,0.5117010158472733,
CK2022_5 200-1,0.5116243467014545,
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,,
FSO2013_Ratio H/L normalized Rep2___1,0.5113562624244289,
NJH2024_Sub10_HIIT_Mid,,
RB2022_2_PostEndurance,0.5124326714174017,
AH2018_LFQ_2_C,0.5151162244020719,
AH2018_SILAC_MR_1_X,0.5191736530740423,
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,
IMM2018_normalised rep. int. Empty-2,0.5189053754335601,
RM2024_Intensity D4-1,,
KBE2022_Log2_Ex_25_U,,
AH2018_SILAC_3_C,0.501303443519981,
EJN2021_5_Rest_Ins,,
VOI2024_0.1uM 24 h_3 di,,
RNJ2017_Log2_ratio_Tstim:Trest_D3,,
DB2022_LFQ intensity L2.1,,
FSO2013_Ratio H/M normalized Rep1,0.5097578670313144,
CK2022_4 16-1,0.5066344374733927,
AS2011_Ratio H/L,,
SR2019_MCF7_Biol_repl_4,,
EJN2021_2_Ex_Ins,,
AS2011_Ratio H/L Inhi_2_3,,
JAW2011_Ratio H/L LS1a_1,,
AH2018_LFQ_1_N,0.5149479939446251,
SAS2015_PLX/DMSO_Exp1,,
SFR2015_HL_log2_ratio_avg_c,,
JJ2018_Ratio M/L normalized pP2,,
NJH2024_Sub7_MICT_Mid,,
PG2020_Intensity 6h_B,,
FSO2013_Ratio H/L normalized Rep3,0.51042146341356,
GRW2016_Ratio H/L normalized SILAC 2___2,,
RKK2015_IKKb(K44M)+TNF-α/TNF-α,,
JJ2018_Ratio M/L normalized,,
KTGR2014_Ratio-AA 30 mins,,
JW2021_After_1,,
NJH2025_Sub2_MICT_Mid,,
HS2024_6_B_N2,0.5028223682230494,
KBE2022_Log2_Ex_9_T,,
AH2018_SILAC_IT_2_N,0.4972601166993384,
AH2018_SILAC_IT_1_X,0.5017953552348839,
HW2015_Ratio H/L normalized Exp3,,
HS2024_7_PD_T1,0.5083756517661592,
UK2020_UA_2,,
RM2024_Intensity D2-1___1,,
GF2025_P10_Sph,0.5130338324957867,
WZ2023_Pe_025_20min,0.5420721528101804,0.3405415170798893
JVO2010_Log2 Ratio M/L Normalized aphidicolin,,
AH2018_LFQ_2_N,0.5155276944304732,
HS2024_4_I_N2,0.5168620309386774,
AH2018_TMTMS2_3_N,0.5203949632250103,
RN2012_H06,0.5232634547090739,
AS2011_Inhi 1_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
HS2024_4_PD_T3,0.5248925650585812,
WZ2023_Su_005_30min,0.5314761363550636,
SR2019_HCC1419_Biol_repl_4,,
JJ2018_Ratio H/M normalized___2,,
SR2019_JIMT1_Biol_repl_3,,
AS2011_Ratio H/L Protein,,
