DatasetName,IRF2BP2_M(404) IRF2BP2_M(406) IRF2BP2_S(131) IRF2BP2_S(175) IRF2BP2_S(240) IRF2BP2_S(244) IRF2BP2_S(318) IRF2BP2_S(343) IRF2BP2_S(344) IRF2BP2_S(360) IRF2BP2_S(396) IRF2BP2_S(406) IRF2BP2_S(423) IRF2BP2_S(439) IRF2BP2_S(455) IRF2BP2_S(457) IRF2BP2_S(460) IRF2BP2_S(70) IRF2BP2_S(71) IRF2BP2_T(376) IRF2BP2_T(404) IRF2BP2_T(412),IRF2BP2_S(11) IRF2BP2_S(236) IRF2BP2_S(242) IRF2BP2_S(290) IRF2BP2_S(293) IRF2BP2_S(3) IRF2BP2_S(383) IRF2BP2_S(390) IRF2BP2_S(399) IRF2BP2_S(4) IRF2BP2_S(407) IRF2BP2_S(421) IRF2BP2_S(441) IRF2BP2_S(444) IRF2BP2_S(453) IRF2BP2_S(462) IRF2BP2_S(464) IRF2BP2_T(147) IRF2BP2_T(197) IRF2BP2_T(388) IRF2BP2_T(392) IRF2BP2_T(397)
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,0.572955472384069,
EP2017_Untreated R#4 normalized log2 ratio,0.5687094092716537,0.45496458890573277
WZ2023_Pu_010_30min,0.6042634075650514,0.4684540040486137
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,0.5646321898903552,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,0.5820064144415587,
RB2022_8_RecoveryEndurance,0.5656693832563288,0.4661877605117017
KBE2022_Log2_Ex_14_U,0.5831514496818819,0.4678436341459942
FSO2013_Ratio M/L normalized Rep3___3,0.5754070125975876,
AH2018_TMTMS3_1_C,0.5757810326075467,
JJ2018_Ratio H/L normalized___1,0.5627942031515943,
ZQ2022_C2,0.566426386455443,
RB2022_5_PreSprint,,
PG2020_Intensity 8h_C,0.5753645806115443,
AH2018_SILAC_MR_2_N,0.5724611742824572,
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,0.552676656046109,
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),0.5594065149285092,0.46910310138995287
UK2020_HCM_2,0.5798926512835206,
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,0.5782672594343666,0.4665620420675333
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,0.5691868603502047,
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,0.5698640803735796,
GF2025_P6_Sph,0.5711505038690009,
RB2022_2_PreSprint,,0.46653215526860065
ZX2022_CB treated Replicate 3,0.5879824260226137,
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,0.6170031149647737,0.4700937214651756
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,0.5786802521603709,
KBE2022_Log2_Ex_34_U,0.5871875861466106,
WZ2023_Pu_005_10min,0.6168768446051087,0.47161429242016106
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,0.5918768918242484,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,0.5671263716514582,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,0.6145531109946136,0.4689363347811554
AH2018_SILAC_MR_2_X,0.589563483024804,
HS2024_4_PD_T2,,
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,0.589570021860908,0.48046464818303763
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,0.5770268220292153,0.4744189665677018
FR2021_Norm.Intensity.B,,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,
RB2022_5_PostSprint,0.5662161009695521,
EJN2021_3_Rest_Basal,0.581012878358324,0.4627679102380714
CR2017_Ratio Replicate 1.3,0.546972331015488,0.4729304956059535
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,0.5716268927471773,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,0.5871457649530561,
JJ2018_Ratio M/L normalized pP3,0.5604616346697838,
AH2018_SILAC_M_2_N,0.5837276742222344,
HS2024_7_PD_T2,,
FSO2013_Ratio H/L normalized Rep1___1,0.5611121312802549,
AH2018_LFQ_1_C,0.5772455236707974,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,0.5833792701363353,0.47134400538242355
HS2024_3_B_N1,,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,0.6159146634157882,0.4709884371514125
CK2022_11 40-1,0.5923538701650264,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,0.5838358123569046,
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,0.5816364822066834,0.4725020688187907
FSO2013_Ratio H/L normalized Rep2,0.5651449807072817,
WZ2023_Pu_005_20min,0.6057808588913569,0.4668678676929919
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,0.5570674051445784,0.473449375762069
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,0.5673426717388801,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,0.5812087532399416,
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,,
HS2024_9_B_T2,,
KTGR2014_Ratio-AA 7 mins,0.5680878575687089,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,,
FSO2013_Ratio M/L normalized Rep3___2,0.5839436690510882,
SR2019_BT549_Biol_repl_3,0.5641059736823741,
RCJD2014_20min_mean,0.5676809810552235,0.4779212726500635
FR2021_Norm.Intensity.H,,
RB2022_2_PreStrength,0.5668731254736715,0.47171713267079435
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,0.5779303717735128,
CK2022_1 16-1,0.557735576231996,
CK2022_1 200-1,0.6033797584484555,
PG2020_Intensity Mock_10h_D,0.5689779609713471,
SR2019_MCF10A_Biol_repl_2,,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,0.5864071349631585,
RB2022_6_RecoveryEndurance,,0.466556131935261
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,0.5535108681979758,0.44610192652541075
RCJD2014_5min_1,0.5769103229278522,0.4669790430934105
RM2024_Intensity D4-1___1,,
DL2023_24h-1,0.5779150409716524,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,,
SAS2015_PLX/AZD_Exp2,,
CR2017_Ratio Replicate 3.3,0.5551160268653,0.4604351101861909
PG2020_Intensity 2h_C,0.5755125017887733,
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,0.5875384668012723,
KBE2022_Log2_Ex_8_T,0.5754707662145128,0.4650770436127943
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,,
RN2012_L11,0.5544096930263703,
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,,
HS2024_5_PD_T1,,
AH2018_LFQ_M_2_C,0.5890878753833124,
CK2022_3 40-1,0.5788291423693325,
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,,
YA2020_Reporter_intensity_Cancer_No.5,0.5712972516328864,
HH2022_Reporter intensity 8,,0.4762213750801063
ZQ2022_N2,0.5772008248059696,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,0.5766760261242659,
EJN2021_5_Rest_Basal,0.5833149138318632,0.46915828509123403
NJH2025_Sub2_HIIT_Post,,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,0.5760609245779971,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,0.5736044690121163,
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,0.5877944758621145,
YA2020_Reporter_intensity_Normal_No.1,0.5714834653576127,
HS2024_3_B_T1,,
JJ2018_Ratio H/L normalized___2,0.5672955670677398,
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,,
RB2022_1_PostEndurance,0.5742510357848131,
CR2017_Ratio Replicate 3,0.5358001316738498,0.47268134525272365
SR2019_Hs578T_Biol_repl_3,0.5721690340798079,
MV2014_Ratio L/H normalized B3___1 (5 min),,
RBK2021_1244T Early,,
RB2022_3_PostSprint,0.5747370821020567,
NJH2024_Sub13_MICT_Mid,,
KTGR2014_Ratio-AA 2 mins,0.5723582872177058,
GF2025_P7_Sph,0.5766974859565133,
HS2024_8_I_T3,,
CF2017_EOC 3,0.5865572777624604,0.4641379398758629
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,0.5610432929536938,
HS2024_6_PD_T3,,
DL2023_12h-2,0.5778670420789431,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,0.5804386354718103,
WZ2023_Pu_010_20min,0.6137191526446986,0.4710475255668016
AS2011_Ratio H/L_3,,
CK2022_1 40-1,0.5791567300245153,
RNJ2017_Log2_ratio_Tsup:Trest_D1,0.5749218828749207,
CK2022_8 16-1,0.5618690915723494,
KS2014_Intensity N3,0.5769377652896801,0.4716038513271069
RB2022_4_RecoveryEndurance,0.5676818154549435,
RB2022_5_RecoveryEndurance,0.5621694502500508,
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,0.5840570533347483,
FSO2013_Ratio H/M normalized Rep2,0.5702180333293065,
RAM2015_Log2 A,0.5832064780501102,0.46896113157889396
HS2024_8_PD_T1,,
JJ2018_Ratio H/L normalized pP2,0.5790106890355143,
CF2017_OSE 27,0.5718588309759878,
KS2014_Intensity E15_2,0.5793789258699408,0.4697795149851864
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,0.5812670043929725,
HS2024_7_I_T1,,
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,,
SR2019_JIMT1_Biol_repl_1,,
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,,
AH2018_SILAC_M_3_X,0.5891539696899325,
NJH2024_Sub9_HIIT_Post,,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,0.5851890576427561,0.47136284495367103
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,0.5734789716217894,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,0.5695425746801005,0.469584920076029
NJH2025_Sub4_MICT_Mid,,
YP2020_Intensity C30_R1_mult_log2,,
AST2020_anti-CD3.1,0.5761397360876911,
NJH2025_Sub4_HIIT_Post,,
EP2017_Untreated R#4 log2 ratio,0.5688407648419873,0.45496054787331813
HS2024_6_B_N1,,
KBE2022_Log2_Ex_27_T,0.5803761501916612,0.4661824612784754
CW2012_10 µM Gef/control Experiment 1 Replicate A,,
VOI2024_0.1uM 24 h_1 mono,,
AMK2021_120R_p5,,
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),,0.4699337333111464
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,,0.4612750932898466
AH2018_SILAC_IT_3_X,0.5865517532448719,
JAW2011_Ratio H/L,0.5758280419394516,
PG2020_Intensity 10h_C,0.5599084826636516,
FSO2013_Ratio M/L normalized Rep2,0.5615688988331443,
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,0.5756011767546825,0.47933852233187596
SR2019_HCC1954_Biol_repl_2,0.567566620852878,
CK2022_14 40-1,0.5796318126238261,
RB2022_6_PreSprint,,0.46868304391647614
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,0.5875793984826762,
NJH2025_Sub2_MICT_Post,,
AH2018_LFQ_4_C,0.5799889004983677,
DL2023_control-1,0.578077906389172,
AR2021_ALG 10 μM,0.5683061961074961,0.47069256688202166
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,0.5908697687779836,
EJN2021_4_Rest_Ins,0.581411375337803,0.46534512324912713
RN2012_H05,0.5759486867117619,
NJH2024_Sub7_HIIT_Mid,,
GF2025_P2_Adh,0.5641052330097809,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,,0.4663669993169553
EJN2021_1_Rest_Ins,0.5798637220688562,0.4656058080071695
HH2022_Reporter intensity 3,0.5777586129426294,0.456284961773796
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,0.5871777541707003,
JW2021_After_3,,
GF2025_P8_Sph,0.5689477861554629,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,0.5856875160043847,
AH2018_SILAC_2_N,0.5835772554097495,
CK2022_11 200-1,0.6249478103881064,
CK2022_12 200-1,0.629277943392964,
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,0.5768689452052713,0.4767552754263928
WZ2023_Su_010_20min,0.6099864266501258,0.4649870125134281
AH2018_TMTMS2_2_N,0.5764614403921039,
NJH2024_Sub13_MICT_Pre,,
KBE2022_Log2_Ex_41_U,0.5900029563719111,
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),,0.47059658486650147
AH2018_TMTMS3_Pool,0.5774682607484571,
KS2014_Intensity N4,0.5751161157354147,0.4714663160889057
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,0.5678763189841363,
RM2024_Intensity D4-2___2,,
NJH2024_Sub13_HIIT_Pre,,
CF2017_OSE 26,0.59178609509988,0.46655209302110534
CK2022_14 200-1,0.6046338883483258,
SR2019_Hs578T_Biol_repl_1,,
RB2022_7_PostSprint,0.5656792007932125,0.4718783166223097
TM2022_mock.4h.A,,
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,0.5816118826831775,
AST2020_anti-CD3+PDL2.2,0.5781708674339199,
PG2020_Intensity Mock_10h_A,0.5899349242009602,
JW2021_After_2,,
NJH2024_Sub2_MICT_Post,,
EJN2021_2_Rest_Ins,0.579199005680639,0.4671634229697762
SR2019_LM2_Biol_repl_4,0.5639217946967515,
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,0.574727825771599,
CK2022_13 16-1,0.559936864560497,
GF2025_P1_Adh,0.5793225905896744,
GF2025_P1_Sph,0.5695974223058508,
EJN2021_5_Ex_Basal,0.5842967590132493,0.46896108635307493
HS2024_7_I_T3,,
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,0.6169823315299279,0.4738522407924869
CF2017_EOC 1,0.578604441081871,0.460375029168334
CK2022_3 200-1,0.6031409700952298,
AH2018_LFQ_IT_3_C,0.5866925812603386,
SR2019_Hs578T_Biol_repl_2,0.5692315728342344,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,,
NJH2024_Sub13_MICT_Post,,
BS2014_Log2(Ratio H/L normalized Rep_1),0.5647303121798495,0.46383634673121626
RB2022_3_RecoverySprint,0.572847101409407,
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,0.5699116529884164,0.4672758312353093
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,
HS2024_6_PD_T2,,
HS2024_5_B_T1,,
CW2012_10 µM Gef/control Experiment 2 Replicate A,,
DL2023_12h-3,0.5791972439453815,
SR2019_MDAMB231_Biol_repl_2,,
HS2024_3_B_T2,,
RB2022_6_PreStrength,0.5701191251343569,0.4700569724567153
CK2022_2 40-1,0.5784487161189089,
RB2022_1_PostSprint,,
CK2022_4 200-1,0.6030231020460086,
JW2021_Before_2,,
TM2022_S2.12h.A,,
MV2014_Ratio L/M normalized B2___2 (30 min),,
CK2022_5 16-1,0.5640182659954202,
AR2021_ALG 1 μM,0.5796833582520214,0.46965882824967375
HS2024_4_B_T1,,
MV2014_Ratio M/H normalized A3___1 (10 min),,
SR2019_BT549_Biol_repl_4,,
EJN2021_1_Rest_Basal,0.5808187193228828,0.4658958814895637
NJH2025_Sub8_MICT_Post,,
RCJD2014_5min_3,0.5960565826027703,0.48984621319715055
CR2017_Ratio Replicate 3.2,0.565307902476076,0.4691376965994888
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,
GF2025_P7_Adh,0.5577149230551287,
CK2022_9 16-1,0.5868582705860661,
NJH2024_Sub6_HIIT_Post,,
AMK2021_30R_p3,,
AS2011_Ratio H/L Normalized RNAi_2,,
RM2024_Intensity D0-2___2,,
KS2014_Intensity pY_N4,0.5728021953959125,
CK2022_13 200-1,0.6023761695124412,
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,0.5714699855174232,
CK2022_16 16-1,0.5615163877227757,
FS2019_db/db3,0.5783893841409512,
CK2022_15 40-1,0.579729332683603,
NJH2024_Sub9_MICT_Pre,,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,0.6054263948999744,0.4664072526537338
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,0.5894286207154313,
AMK2021_Ctrl_p1,,
AH2018_LFQ_IT_3_X,0.5837884334970421,
HS2024_5_PD_T3,,
AH2018_TMTMS3_3_X,0.5775430887980051,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,
KBE2022_Log2_Ex_40_U,0.5801390265393985,0.4671048244400339
AH2018_LFQ_M_1_N,0.5843062407420329,
KBE2022_Log2_Ex_27_U,0.5831795541707375,0.46640894175180736
HW2015_Ratio M/L normalized Exp3,,
RKK2015_TNF-α/IKKb(K44M),,
AH2018_SILAC_M_1_N,0.584360544835697,
HW2015_Ratio M/L normalized Exp1,,
RB2022_5_RecoveryStrength,,
YP2020_Intensity P10_R1_mult_log2,,
RB2022_7_PreStrength,,0.4684352716304747
YA2020_Reporter_intensity_Normal_No.4,0.5709099271343487,
NJH2025_Sub13_HIIT_Pre,,
PG2020_Intensity CT_D,0.5807184246508241,
NJH2025_Sub9_MICT_Post,,
VOI2024_Veh1 mono,,
CK2022_12 16-1,0.5875238998666258,
RN2012_L13,0.554931804086293,
LG2023_Control-1_intensity,,
RM2024_Intensity D6-3___2,,
KBE2022_Log2_Ex_8_U,0.5829290020229899,0.46553574279291554
SR2019_SKBR3_Biol_repl_3,,
NJH2024_Sub1_MICT_Post,,
HS2024_3_I_T2,,
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,0.5709381388972703,
RM2024_Intensity D0-3___3,,
HS2024_6_I_T2,,
CW2012_10 µM Erl/control Experiment 2 Replicate B,,
AS2011_Ratio H/L Protein Inhi_1,,
FSO2013_Ratio H/M normalized Rep2___1,0.5685978538894859,
GRW2016_Ratio M/L normalized SILAC 5a___2,,
CK2022_10 40-1,0.5913910091277811,
NJH2024_Sub12_HIIT_Pre,,
NJH2024_Sub8_MICT_Pre,,
RM2024_Intensity D0-1___1,,
LY2019_P3+,0.5638525529947247,
HH2022_Reporter intensity 6,0.5766327070358304,0.47916008659042236
RB2022_2_RecoveryStrength,0.5793318689901522,
KTGR2014_Ratio-AA 15 mins,0.5675502542862595,
AS2011_Ratio H/L Normalized RNAi_2_2,,
KS2014_Intensity pY_N3,0.5715015489545059,
MV2014_Ratio H/L normalized B1___2 (30 min),,
LY2019_P5-,0.5754460166242924,
HW2015_Ratio M/L normalized Exp2,,
SR2019_HCC1419_Biol_repl_1,0.5781741801945102,
AH2018_TMTMS2_3_X,0.5759710032601423,
GF2025_P3_Adh,0.5366816611088107,
SR2019_JIMT1_Biol_repl_2,,
AH2018_TMTMS2_1_C,0.5773124547248123,
RM2024_Intensity D0-1___2,,
LY2019_P4+,0.5518263462008804,
KBE2022_Log2_Ex_19_U,0.5767337438904702,0.4654810359218899
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,0.5741353072830951,
RB2022_4_PostStrength,,
LG2023_GSK3α-3_intensity,,
YA2020_Reporter_intensity_Cancer_No.1,0.5776439889140653,
AST2020_Control,0.579626558012132,
JAW2011_Ratio H/L LS1a,0.5767508786690966,
RCJD2014_5min_mean,0.5625578548846759,0.4757004048087522
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,0.4662029046278908
NJH2025_Sub1_MICT_Mid,,
TM2022_S2.12h.C,,
NJH2025_Sub9_MICT_Mid,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,0.5765895579984558,
AS2011_Ratio H/L Normalized Inhi_1_2,,
FSO2013_Ratio M/L normalized Rep2___1,0.5630850425444227,
LG2023_Control-2_intensity,,
NJH2024_Sub8_HIIT_Pre,,
KS2014_Intensity pY_N2,0.5713470162964531,
RB2022_5_RecoverySprint,0.5770227945284736,0.46743757828347837
RB2022_7_RecoverySprint,0.5718636069805212,0.48040674306959497
YA2020_Reporter_intensity_Normal_No.3,0.576859119257815,
HS2024_8_B_T2,,
AH2018_LFQ_1_X,0.5782623141890315,
RM2024_Intensity D6-1___1,,
RCJD2014_10min_2,0.5675822211123355,0.4559477752728301
FR2021_Norm.Intensity.M,,
RM2024_Intensity D0-3___1,,
KS2014_Intensity N2,0.5764177176861831,0.47121277441414144
HH2022_Reporter intensity 1,0.578332984678372,0.454637814881405
HH2022_Reporter intensity 2,0.5779415288159159,0.45577383352037537
RM2024_Intensity D6-2___2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,
RM2024_Intensity D2-3___2,,
YA2020_Reporter_intensity_Normal_No.5,0.5686462635734778,
SR2019_MCF7_Biol_repl_1,0.5654644667908735,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,
HS2024_8_B_T1,,
NJH2025_Sub6_HIIT_Pre,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,0.5746621812557954,
EP2017_Untreated R#2 log2 ratio,0.5706518039417383,0.46949233139930313
SR2019_LM2_Biol_repl_3,,
RB2022_4_RecoveryStrength,,
CR2017_Ratio Replicate 2,0.5869541928009717,0.47547824202834243
CW2012_10 µM Erl/control Experiment 2 Replicate A,,
FSO2013_Ratio H/M normalized Rep3,0.5713565740474725,
AR2021_KD 72h,0.5806926166330355,0.46952101238423294
MV2014_Ratio H/M normalized B2___3 (5 min),,
KBE2022_Log2_Ex_18_U,0.5845399081030185,0.4669597790658617
AS2011_Ratio H/L Inhi_1_1,,
NJH2024_Sub8_MICT_Post,,
AH2018_TMTMS3_3_C,0.578920756061845,
KBE2022_Log2_Ex_9_U,0.5932554892412404,0.4706886373666272
AH2018_SILAC_M_3_N,0.5897540596358289,
KBE2022_Log2_Ex_13_T,0.5757250850254626,0.46587579549531993
RM2024_Intensity D0-3,,
SR2019_SKBR3_Biol_repl_1,0.5700060075698388,
PG2020_Intensity Mock_10h_C,0.5462755310237442,
CF2017_OSE 29,0.5717535057965676,0.4603018140581328
YB2013_Ratio_H_L_Normalized_in_experiment_1,,
NJH2025_Sub1_HIIT_Post,,
DL2023_24h-2,0.5777044843047623,
HS2024_7_B_N2,,
PG2020_Intensity 10h_A,0.5630794860624858,
RN2012_L12,0.5811961816118455,
MV2014_Ratio M/L normalized B1___3 (5 min),,
NJH2024_Sub8_MICT_Mid,,
