DatasetName,BCR_S(122) BCR_S(301) BCR_S(352) BCR_S(354) BCR_S(356) BCR_S(459) BCR_S(461) BCR_S(463) BCR_S(473) BCR_T(302) BCR_T(432) BCR_T(438) BCR_Y(58),BCR_S(1039) BCR_S(1264) BCR_S(215) BCR_S(462) BCR_S(599) BCR_S(624) BCR_S(628) BCR_S(698) BCR_T(388) BCR_T(693) BCR_Y(455)
GRW2016_Ratio M/L normalized SILAC 5a___2,,
CK2022_10 40-1,,
NJH2024_Sub12_HIIT_Pre,,
NJH2024_Sub8_MICT_Pre,,
RM2024_Intensity D0-1___1,,
LY2019_P3+,0.5702912777364129,0.47182376342282156
HH2022_Reporter intensity 6,0.5703159467487106,
RB2022_2_RecoveryStrength,,
KTGR2014_Ratio-AA 15 mins,,
AS2011_Ratio H/L Normalized RNAi_2_2,,
KS2014_Intensity pY_N3,,
MV2014_Ratio H/L normalized B1___2 (30 min),,
LY2019_P5-,0.5699164544894393,0.45488417067472503
HW2015_Ratio M/L normalized Exp2,,
SR2019_HCC1419_Biol_repl_1,0.5742527452792106,
AH2018_TMTMS2_3_X,,
GF2025_P3_Adh,0.5789152036119758,0.4501505104846814
SR2019_JIMT1_Biol_repl_2,0.573100605650317,
AH2018_TMTMS2_1_C,,
RM2024_Intensity D0-1___2,,
LY2019_P4+,0.5501340385277124,0.45243570515445364
KBE2022_Log2_Ex_19_U,0.5690810094210422,
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,,
RB2022_4_PostStrength,,
LG2023_GSK3α-3_intensity,,
YA2020_Reporter_intensity_Cancer_No.1,,0.4639842336236377
AST2020_Control,0.5664825234092533,
JAW2011_Ratio H/L LS1a,,
RCJD2014_5min_mean,0.5426215846701411,
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,
NJH2025_Sub1_MICT_Mid,,
TM2022_S2.12h.C,,
NJH2025_Sub9_MICT_Mid,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,,
AS2011_Ratio H/L Normalized Inhi_1_2,,
FSO2013_Ratio M/L normalized Rep2___1,,
LG2023_Control-2_intensity,,
NJH2024_Sub8_HIIT_Pre,,
KS2014_Intensity pY_N2,,
RB2022_5_RecoverySprint,,
RB2022_7_RecoverySprint,,
YA2020_Reporter_intensity_Normal_No.3,,0.4542867478407197
HS2024_8_B_T2,,
AH2018_LFQ_1_X,,
RM2024_Intensity D6-1___1,,
RCJD2014_10min_2,0.5488423843684143,
FR2021_Norm.Intensity.M,,
RM2024_Intensity D0-3___1,,
KS2014_Intensity N2,,0.4518471860996872
HH2022_Reporter intensity 1,0.5694475338193031,
HH2022_Reporter intensity 2,0.5692729158535561,
RM2024_Intensity D6-2___2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,
RM2024_Intensity D2-3___2,,
YA2020_Reporter_intensity_Normal_No.5,,0.45739548877619635
SR2019_MCF7_Biol_repl_1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,
HS2024_8_B_T1,,
NJH2025_Sub6_HIIT_Pre,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,
EP2017_Untreated R#2 log2 ratio,0.5644864541137771,
SR2019_LM2_Biol_repl_3,0.5699587924948293,
RB2022_4_RecoveryStrength,,
CR2017_Ratio Replicate 2,0.551042771104217,0.45275949790376674
CW2012_10 µM Erl/control Experiment 2 Replicate A,,
FSO2013_Ratio H/M normalized Rep3,,
AR2021_KD 72h,0.5622387175880422,
MV2014_Ratio H/M normalized B2___3 (5 min),,
KBE2022_Log2_Ex_18_U,0.5717929358154564,0.4476873341977617
AS2011_Ratio H/L Inhi_1_1,,
NJH2024_Sub8_MICT_Post,,
AH2018_TMTMS3_3_C,,
KBE2022_Log2_Ex_9_U,0.5670538993426333,0.4403046518377543
AH2018_SILAC_M_3_N,,
KBE2022_Log2_Ex_13_T,0.5714823091247615,
RM2024_Intensity D0-3,,
SR2019_SKBR3_Biol_repl_1,0.5768988973509016,0.4528409567636201
PG2020_Intensity Mock_10h_C,0.5463985805552429,
CF2017_OSE 29,,
YB2013_Ratio_H_L_Normalized_in_experiment_1,,
NJH2025_Sub1_HIIT_Post,,
DL2023_24h-2,,
HS2024_7_B_N2,,
PG2020_Intensity 10h_A,,
RN2012_L12,0.5783575233466828,
MV2014_Ratio M/L normalized B1___3 (5 min),,
NJH2024_Sub8_MICT_Mid,,
AH2018_LFQ_IT_4_C,,
SAS2015_PLX/AZD_Exp1,,
FR2021_Norm.Intensity.A,,
FSO2013_Ratio H/M normalized Rep1___1,,
JW2015_Intensity cap2,,
BS2014_Log2(Ratio H/L normalized Rep_2),,
NJH2024_Sub6_MICT_Post,,
CK2022_8 40-1,,
RB2022_7_RecoveryEndurance,,
NJH2025_Sub12_HIIT_Post,,
EJN2021_4_Ex_Basal,,
TM2022_S2.12h.B,,
RN2012_L15,0.5837636679255652,
KS2014_Intensity pY_PV3,,
TM2022_S2.4h.B,,
PG2020_Intensity 4h_A,0.5349768107547402,
FSO2013_Ratio H/M normalized Rep2___2,,
TM2022_mock.4h.B,,
KBE2022_Log2_Ex_24_U,0.5659401279095782,
NJH2025_Sub13_MICT_Mid,,
KS2014_Intensity C3,0.571058511708812,0.46311619322538466
RB2022_1_PreSprint,,
HS2024_4_I_N1,,
CK2022_7 200-1,0.5588712360342885,0.43567327735853817
CK2022_5 200-1,0.5598943455341145,0.4400861055115017
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,,
FSO2013_Ratio H/L normalized Rep2___1,,
NJH2024_Sub10_HIIT_Mid,,
RB2022_2_PostEndurance,,
AH2018_LFQ_2_C,,
AH2018_SILAC_MR_1_X,,
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,
IMM2018_normalised rep. int. Empty-2,,
RM2024_Intensity D4-1,,
KBE2022_Log2_Ex_25_U,0.5665274793322838,
AH2018_SILAC_3_C,,
EJN2021_5_Rest_Ins,,
VOI2024_0.1uM 24 h_3 di,,
RNJ2017_Log2_ratio_Tstim:Trest_D3,,
DB2022_LFQ intensity L2.1,,
FSO2013_Ratio H/M normalized Rep1,,
CK2022_4 16-1,0.5612099230189541,
AS2011_Ratio H/L,,
SR2019_MCF7_Biol_repl_4,,
EJN2021_2_Ex_Ins,,
AS2011_Ratio H/L Inhi_2_3,,
JAW2011_Ratio H/L LS1a_1,,
AH2018_LFQ_1_N,,
SAS2015_PLX/DMSO_Exp1,,
SFR2015_HL_log2_ratio_avg_c,0.5770179699370287,
JJ2018_Ratio M/L normalized pP2,,
NJH2024_Sub7_MICT_Mid,,
PG2020_Intensity 6h_B,,
FSO2013_Ratio H/L normalized Rep3,,
GRW2016_Ratio H/L normalized SILAC 2___2,,
RKK2015_IKKb(K44M)+TNF-α/TNF-α,,
JJ2018_Ratio M/L normalized,,
KTGR2014_Ratio-AA 30 mins,,
JW2021_After_1,,
NJH2025_Sub2_MICT_Mid,,
HS2024_6_B_N2,,
KBE2022_Log2_Ex_9_T,0.5693324108933566,0.44178825297919366
AH2018_SILAC_IT_2_N,,
AH2018_SILAC_IT_1_X,,
HW2015_Ratio H/L normalized Exp3,,
HS2024_7_PD_T1,,
UK2020_UA_2,0.5694410519026254,
RM2024_Intensity D2-1___1,,
GF2025_P10_Sph,0.5569515238424656,0.46136188467281475
WZ2023_Pe_025_20min,0.6002837306623842,0.44122245835726354
JVO2010_Log2 Ratio M/L Normalized aphidicolin,,
AH2018_LFQ_2_N,,
HS2024_4_I_N2,,
AH2018_TMTMS2_3_N,,
RN2012_H06,0.583343561473044,
AS2011_Inhi 1_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
HS2024_4_PD_T3,,
WZ2023_Su_005_30min,0.6066408795286086,0.45232314378906957
SR2019_HCC1419_Biol_repl_4,0.5747384348537453,0.4474589412439469
JJ2018_Ratio H/M normalized___2,,
SR2019_JIMT1_Biol_repl_3,0.5705738952293031,
AS2011_Ratio H/L Protein,,
UK2020_HCM_3,0.569097974048811,
NJH2024_Sub10_HIIT_Post,,
CR2017_Ratio Replicate 3.1,0.5713908614362184,0.4795717059213844
WZ2023_Su_025_10min,0.5981209248856088,0.44692946927901506
AH2018_LFQ_IT_4_X,,
CP2009_Ratio H/L,,
VOI2024_0.1uM 24 h_3 mono,,
