DatasetName,NRDC_S(106) NRDC_S(381) NRDC_S(58) NRDC_S(61) NRDC_S(86) NRDC_S(92) NRDC_S(96),NRDC_S(14) NRDC_S(3) NRDC_S(91) NRDC_S(94)
AH2018_SILAC_2_X,,
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,0.5390806726042783,
FSO2013_Ratio H/L normalized Rep2,0.5045003032739644,0.6272151626612135
WZ2023_Pu_005_20min,0.4959159507813694,0.6712280968954896
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,0.5052930840179198,0.6380452503322311
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,0.4970149945107016,
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,,
HS2024_9_B_T2,,
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,,
FSO2013_Ratio M/L normalized Rep3___2,0.496625841851532,0.6252540387967277
SR2019_BT549_Biol_repl_3,,
RCJD2014_20min_mean,,
FR2021_Norm.Intensity.H,,
RB2022_2_PreStrength,,0.6359854452969094
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,,0.6297890174633473
CK2022_1 200-1,0.48903954671197597,0.6368918773315719
PG2020_Intensity Mock_10h_D,0.49518361930892196,0.6393808237254757
SR2019_MCF10A_Biol_repl_2,,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,
RB2022_6_RecoveryEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,0.4637354911621,0.6358149318914428
RCJD2014_5min_1,,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,,
SAS2015_PLX/AZD_Exp2,,
CR2017_Ratio Replicate 3.3,0.4272461745580948,0.6200665636915934
PG2020_Intensity 2h_C,0.5008442062697401,0.6272159035299276
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,0.4908648778152141,0.6243732050328397
KBE2022_Log2_Ex_8_T,,0.642590476947456
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,,
RN2012_L11,,0.5818829022926619
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,,
HS2024_5_PD_T1,,
AH2018_LFQ_M_2_C,0.4956577686955219,
CK2022_3 40-1,,0.6548578740860765
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,,
YA2020_Reporter_intensity_Cancer_No.5,,
HH2022_Reporter intensity 8,,
ZQ2022_N2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,0.4881120017794917,
EJN2021_5_Rest_Basal,0.4732304754438631,0.6742048345584049
NJH2025_Sub2_HIIT_Post,,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,0.4968312256604634,
YA2020_Reporter_intensity_Normal_No.1,,
HS2024_3_B_T1,,
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,,0.6503689125207033
RB2022_1_PostEndurance,,0.6709525200801311
CR2017_Ratio Replicate 3,0.5434082323223192,0.6387565404688704
SR2019_Hs578T_Biol_repl_3,,
MV2014_Ratio L/H normalized B3___1 (5 min),,
RBK2021_1244T Early,,
RB2022_3_PostSprint,,0.6604597086074746
NJH2024_Sub13_MICT_Mid,,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,,0.5868477299993953
HS2024_8_I_T3,,
CF2017_EOC 3,,0.6257178904701182
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,0.49470167110904145,0.6555122102002686
HS2024_6_PD_T3,,
DL2023_12h-2,0.4929494937566813,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,,
WZ2023_Pu_010_20min,0.4958327984775095,0.6755073291314551
AS2011_Ratio H/L_3,,
CK2022_1 40-1,,0.6522655326210131
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,,0.6335752921563271
KS2014_Intensity N3,0.5105706118675232,
RB2022_4_RecoveryEndurance,,0.6839326555285202
RB2022_5_RecoveryEndurance,,0.6703728477738153
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,0.49959498297355137,
FSO2013_Ratio H/M normalized Rep2,0.5026491292085368,0.628021213179666
RAM2015_Log2 A,0.4999691422775156,0.6248673264314648
HS2024_8_PD_T1,,
JJ2018_Ratio H/L normalized pP2,,
CF2017_OSE 27,,0.6346779656252612
KS2014_Intensity E15_2,0.5314230206980594,
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,0.4985689235046507,0.6475843017340879
HS2024_7_I_T1,,
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,,
SR2019_JIMT1_Biol_repl_1,,
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,,
AH2018_SILAC_M_3_X,0.496789652748581,
NJH2024_Sub9_HIIT_Post,,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,0.4880324985370585,0.6413987374257814
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,0.48942047908991054,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,,0.680080219970657
NJH2025_Sub4_MICT_Mid,,
YP2020_Intensity C30_R1_mult_log2,,
AST2020_anti-CD3.1,,0.6319459837376715
NJH2025_Sub4_HIIT_Post,,
EP2017_Untreated R#4 log2 ratio,0.5521657792750906,0.6288379522702768
HS2024_6_B_N1,,
KBE2022_Log2_Ex_27_T,,0.65160727625633
CW2012_10 µM Gef/control Experiment 1 Replicate A,,
VOI2024_0.1uM 24 h_1 mono,,
AMK2021_120R_p5,,
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),,0.640956225727359
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,,0.6313724009618222
AH2018_SILAC_IT_3_X,,
JAW2011_Ratio H/L,,
PG2020_Intensity 10h_C,,0.5931321171919219
FSO2013_Ratio M/L normalized Rep2,0.5066440792368847,0.6244222063795054
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,,
SR2019_HCC1954_Biol_repl_2,,
CK2022_14 40-1,,0.6591937228759596
RB2022_6_PreSprint,,
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,0.4941160753938168,0.6253151978047978
NJH2025_Sub2_MICT_Post,,
AH2018_LFQ_4_C,0.5000771575791988,
DL2023_control-1,0.49554228911185033,
AR2021_ALG 10 μM,0.49106070207497776,0.6174771330629993
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,,
EJN2021_4_Rest_Ins,0.48106118124175523,0.6765841652955689
RN2012_H05,0.4900768691651169,0.6226902975723881
NJH2024_Sub7_HIIT_Mid,,
GF2025_P2_Adh,,0.6638735427683876
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,,0.6854877431376071
EJN2021_1_Rest_Ins,0.4704210088891454,0.6751404637383951
HH2022_Reporter intensity 3,0.49561044759759515,0.6449425132637037
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,,
JW2021_After_3,,0.6583151192807286
GF2025_P8_Sph,,0.64359645552477
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,,
AH2018_SILAC_2_N,,
CK2022_11 200-1,0.4917383641809175,0.6460849474355368
CK2022_12 200-1,0.48774381838863207,0.649807015547323
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,,0.6518796485487655
WZ2023_Su_010_20min,0.4964282899351785,0.6708778122420332
AH2018_TMTMS2_2_N,0.5190910184793321,
NJH2024_Sub13_MICT_Pre,,
KBE2022_Log2_Ex_41_U,,0.6458778283969123
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),,0.6359695045670699
AH2018_TMTMS3_Pool,0.4963805360769876,
KS2014_Intensity N4,0.520118783689394,
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,,0.6058893736109037
RM2024_Intensity D4-2___2,,
NJH2024_Sub13_HIIT_Pre,,
CF2017_OSE 26,,0.6384816479959411
CK2022_14 200-1,0.4899617231641812,0.6490756268827402
SR2019_Hs578T_Biol_repl_1,,
RB2022_7_PostSprint,,0.675210432053687
TM2022_mock.4h.A,,
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,0.48346348509087955,
AST2020_anti-CD3+PDL2.2,,0.6304645087506152
PG2020_Intensity Mock_10h_A,0.49208847768750447,0.6445403639694111
JW2021_After_2,,0.6479723473639416
NJH2024_Sub2_MICT_Post,,
EJN2021_2_Rest_Ins,0.47157166213108176,0.6627028017568942
SR2019_LM2_Biol_repl_4,,
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,,
CK2022_13 16-1,,0.639325648230308
GF2025_P1_Adh,,0.6782451450491765
GF2025_P1_Sph,,0.6125659792008388
EJN2021_5_Ex_Basal,0.4832483312003674,0.6764016523972837
HS2024_7_I_T3,,
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,0.49560545462947964,0.67549027379156
CF2017_EOC 1,,0.6299672645031142
CK2022_3 200-1,0.48910477461204854,0.6400436715822199
AH2018_LFQ_IT_3_C,,
SR2019_Hs578T_Biol_repl_2,,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,,
NJH2024_Sub13_MICT_Post,,
BS2014_Log2(Ratio H/L normalized Rep_1),,
RB2022_3_RecoverySprint,,0.69367369539389
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,
HS2024_6_PD_T2,,
HS2024_5_B_T1,,
CW2012_10 µM Gef/control Experiment 2 Replicate A,,
DL2023_12h-3,0.49442383001258505,
SR2019_MDAMB231_Biol_repl_2,,
HS2024_3_B_T2,,
RB2022_6_PreStrength,,
CK2022_2 40-1,,0.6532037919333538
RB2022_1_PostSprint,,0.7013410717185958
CK2022_4 200-1,0.48814869377416387,0.6396435898747027
JW2021_Before_2,,0.6061646129229749
TM2022_S2.12h.A,,
MV2014_Ratio L/M normalized B2___2 (30 min),,
CK2022_5 16-1,,0.6350075263392116
AR2021_ALG 1 μM,0.4809341634193899,0.5801654763105689
HS2024_4_B_T1,,
MV2014_Ratio M/H normalized A3___1 (10 min),,
SR2019_BT549_Biol_repl_4,,
EJN2021_1_Rest_Basal,0.4748528866417753,0.6697076110384252
NJH2025_Sub8_MICT_Post,,
RCJD2014_5min_3,,
CR2017_Ratio Replicate 3.2,0.45681227209259995,0.6369766581798324
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,
GF2025_P7_Adh,,0.6378881634069089
CK2022_9 16-1,,0.6488990239973822
NJH2024_Sub6_HIIT_Post,,
AMK2021_30R_p3,,
AS2011_Ratio H/L Normalized RNAi_2,,
RM2024_Intensity D0-2___2,,
KS2014_Intensity pY_N4,,
CK2022_13 200-1,0.490492708983834,0.6481000261475426
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,,0.6375170321977743
CK2022_16 16-1,,0.6400959193531366
FS2019_db/db3,,
CK2022_15 40-1,,0.6590143739927209
NJH2024_Sub9_MICT_Pre,,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,0.4980465278834379,0.6678408287503995
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,,0.648193897822174
AMK2021_Ctrl_p1,,
AH2018_LFQ_IT_3_X,,
HS2024_5_PD_T3,,
AH2018_TMTMS3_3_X,0.4904350389541464,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,
KBE2022_Log2_Ex_40_U,,0.6464738343380978
AH2018_LFQ_M_1_N,0.4933798764482535,
KBE2022_Log2_Ex_27_U,,0.6514435317200687
HW2015_Ratio M/L normalized Exp3,,
RKK2015_TNF-α/IKKb(K44M),,
AH2018_SILAC_M_1_N,0.49998568687161715,
HW2015_Ratio M/L normalized Exp1,,
RB2022_5_RecoveryStrength,,0.6238015509303017
YP2020_Intensity P10_R1_mult_log2,,
RB2022_7_PreStrength,,0.6573581981836351
YA2020_Reporter_intensity_Normal_No.4,,
NJH2025_Sub13_HIIT_Pre,,
PG2020_Intensity CT_D,0.5055152923442922,0.6323073525928886
NJH2025_Sub9_MICT_Post,,
VOI2024_Veh1 mono,,
CK2022_12 16-1,,0.6473866718240343
RN2012_L13,0.5182847689945129,0.5799129286776369
LG2023_Control-1_intensity,,
RM2024_Intensity D6-3___2,,
KBE2022_Log2_Ex_8_U,,0.6397790575966736
SR2019_SKBR3_Biol_repl_3,,
NJH2024_Sub1_MICT_Post,,
HS2024_3_I_T2,,
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,
RM2024_Intensity D0-3___3,,
HS2024_6_I_T2,,
CW2012_10 µM Erl/control Experiment 2 Replicate B,,
AS2011_Ratio H/L Protein Inhi_1,,
FSO2013_Ratio H/M normalized Rep2___1,0.5043981885264298,0.6313774911485869
GRW2016_Ratio M/L normalized SILAC 5a___2,,
CK2022_10 40-1,,0.6635235696252678
NJH2024_Sub12_HIIT_Pre,,
NJH2024_Sub8_MICT_Pre,,
RM2024_Intensity D0-1___1,,
LY2019_P3+,,0.623261986496786
HH2022_Reporter intensity 6,,0.6326550097623127
RB2022_2_RecoveryStrength,,0.6417020007671257
KTGR2014_Ratio-AA 15 mins,,
AS2011_Ratio H/L Normalized RNAi_2_2,,
KS2014_Intensity pY_N3,,
MV2014_Ratio H/L normalized B1___2 (30 min),,
LY2019_P5-,,0.6173603308470319
HW2015_Ratio M/L normalized Exp2,,
SR2019_HCC1419_Biol_repl_1,,
AH2018_TMTMS2_3_X,0.514932292984475,
GF2025_P3_Adh,,0.6573692346833482
SR2019_JIMT1_Biol_repl_2,,
AH2018_TMTMS2_1_C,0.5200434136376207,
RM2024_Intensity D0-1___2,,
LY2019_P4+,,0.6310326331868821
KBE2022_Log2_Ex_19_U,,0.6437516239613574
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,,
RB2022_4_PostStrength,,0.6606517818532893
LG2023_GSK3α-3_intensity,,
YA2020_Reporter_intensity_Cancer_No.1,,
AST2020_Control,,0.629453094463777
JAW2011_Ratio H/L LS1a,,
RCJD2014_5min_mean,,
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,
NJH2025_Sub1_MICT_Mid,,
TM2022_S2.12h.C,,
NJH2025_Sub9_MICT_Mid,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,,
AS2011_Ratio H/L Normalized Inhi_1_2,,
FSO2013_Ratio M/L normalized Rep2___1,0.5062282690435957,0.6242112598123191
LG2023_Control-2_intensity,,
NJH2024_Sub8_HIIT_Pre,,
KS2014_Intensity pY_N2,,
RB2022_5_RecoverySprint,,0.6843274781967925
RB2022_7_RecoverySprint,,0.6971719548927787
YA2020_Reporter_intensity_Normal_No.3,,
HS2024_8_B_T2,,
AH2018_LFQ_1_X,0.49012806692033617,
RM2024_Intensity D6-1___1,,
RCJD2014_10min_2,,
FR2021_Norm.Intensity.M,,
RM2024_Intensity D0-3___1,,
KS2014_Intensity N2,0.5086789074443565,
HH2022_Reporter intensity 1,0.49598914885024026,0.644744073254881
HH2022_Reporter intensity 2,0.4960137620108183,0.6453887551987603
RM2024_Intensity D6-2___2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,
RM2024_Intensity D2-3___2,,
YA2020_Reporter_intensity_Normal_No.5,,
SR2019_MCF7_Biol_repl_1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,
HS2024_8_B_T1,,
NJH2025_Sub6_HIIT_Pre,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,
EP2017_Untreated R#2 log2 ratio,0.4987220835657822,0.6219604167284201
SR2019_LM2_Biol_repl_3,,
RB2022_4_RecoveryStrength,,0.6339312638368169
CR2017_Ratio Replicate 2,0.4691984739406773,0.6228060234701176
CW2012_10 µM Erl/control Experiment 2 Replicate A,,
FSO2013_Ratio H/M normalized Rep3,0.48920615362165687,0.6159097339372991
AR2021_KD 72h,0.5109192957274912,0.6383270630627808
MV2014_Ratio H/M normalized B2___3 (5 min),,
KBE2022_Log2_Ex_18_U,,0.6450070712003739
AS2011_Ratio H/L Inhi_1_1,,
NJH2024_Sub8_MICT_Post,,
AH2018_TMTMS3_3_C,0.4871563283138281,
KBE2022_Log2_Ex_9_U,,0.6427085154875177
AH2018_SILAC_M_3_N,0.4972513801557463,
KBE2022_Log2_Ex_13_T,,0.6515932321558602
RM2024_Intensity D0-3,,
SR2019_SKBR3_Biol_repl_1,,
PG2020_Intensity Mock_10h_C,,0.6367180031568191
CF2017_OSE 29,,0.6504211917783335
YB2013_Ratio_H_L_Normalized_in_experiment_1,,
NJH2025_Sub1_HIIT_Post,,
DL2023_24h-2,,
HS2024_7_B_N2,,
PG2020_Intensity 10h_A,0.48255461156853985,0.5788011808632566
RN2012_L12,,0.6057673089222757
MV2014_Ratio M/L normalized B1___3 (5 min),,
NJH2024_Sub8_MICT_Mid,,
AH2018_LFQ_IT_4_C,0.4953861783027197,
SAS2015_PLX/AZD_Exp1,,
FR2021_Norm.Intensity.A,,
FSO2013_Ratio H/M normalized Rep1___1,0.5040124129926342,0.6287341977107874
JW2015_Intensity cap2,0.49432094703872675,
BS2014_Log2(Ratio H/L normalized Rep_2),,
NJH2024_Sub6_MICT_Post,,
CK2022_8 40-1,,0.6650044670982946
RB2022_7_RecoveryEndurance,,0.6674534272020698
NJH2025_Sub12_HIIT_Post,,
EJN2021_4_Ex_Basal,0.4827638645544721,0.6748207740281789
TM2022_S2.12h.B,,
RN2012_L15,0.4847133797477707,0.6042960826803421
KS2014_Intensity pY_PV3,,
TM2022_S2.4h.B,,
PG2020_Intensity 4h_A,0.501694305902112,0.6189077250558107
FSO2013_Ratio H/M normalized Rep2___2,0.502207581087051,0.6350220824588858
TM2022_mock.4h.B,,
KBE2022_Log2_Ex_24_U,,0.6463436345991989
NJH2025_Sub13_MICT_Mid,,
KS2014_Intensity C3,0.5283386724872007,
RB2022_1_PreSprint,,0.6337884539352351
HS2024_4_I_N1,,
CK2022_7 200-1,0.486179356006076,0.669756096864327
CK2022_5 200-1,0.48739025748709625,0.6718537702662095
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,,
FSO2013_Ratio H/L normalized Rep2___1,0.5046798178719742,0.6275177462346323
NJH2024_Sub10_HIIT_Mid,,
RB2022_2_PostEndurance,,0.68941118633844
AH2018_LFQ_2_C,,
AH2018_SILAC_MR_1_X,0.48937426729329053,
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,
IMM2018_normalised rep. int. Empty-2,,
RM2024_Intensity D4-1,,
KBE2022_Log2_Ex_25_U,,0.645824662432006
AH2018_SILAC_3_C,0.49539112700235977,
EJN2021_5_Rest_Ins,0.4856522782369111,0.6753747978640088
VOI2024_0.1uM 24 h_3 di,,
RNJ2017_Log2_ratio_Tstim:Trest_D3,,
DB2022_LFQ intensity L2.1,,
FSO2013_Ratio H/M normalized Rep1,0.5028649568510921,0.6261096478860118
CK2022_4 16-1,,0.6292678590055949
AS2011_Ratio H/L,,
SR2019_MCF7_Biol_repl_4,,
EJN2021_2_Ex_Ins,0.474023734692418,0.6661372780672816
AS2011_Ratio H/L Inhi_2_3,,
JAW2011_Ratio H/L LS1a_1,,
AH2018_LFQ_1_N,0.489168208904007,
SAS2015_PLX/DMSO_Exp1,,
SFR2015_HL_log2_ratio_avg_c,0.4822007666185199,
JJ2018_Ratio M/L normalized pP2,,
NJH2024_Sub7_MICT_Mid,,
PG2020_Intensity 6h_B,0.5029775154725232,0.6281979544491123
FSO2013_Ratio H/L normalized Rep3,0.4971231827811235,0.6325184183002008
GRW2016_Ratio H/L normalized SILAC 2___2,,
