DatasetName,NOP16_S(102) NOP16_S(16) NOP16_S(169),NOP16_T(138) NOP16_T(144)
YA2020_Reporter_intensity_Normal_No.3,,
HS2024_8_B_T2,,
AH2018_LFQ_1_X,,
RM2024_Intensity D6-1___1,,
RCJD2014_10min_2,,0.6098003381674512
FR2021_Norm.Intensity.M,,
RM2024_Intensity D0-3___1,,
KS2014_Intensity N2,0.4738594285551547,
HH2022_Reporter intensity 1,,0.5236193325873262
HH2022_Reporter intensity 2,,0.5276648740083403
RM2024_Intensity D6-2___2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,
RM2024_Intensity D2-3___2,,
YA2020_Reporter_intensity_Normal_No.5,,
SR2019_MCF7_Biol_repl_1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,
HS2024_8_B_T1,,
NJH2025_Sub6_HIIT_Pre,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,
EP2017_Untreated R#2 log2 ratio,,0.5034004058413007
SR2019_LM2_Biol_repl_3,,
RB2022_4_RecoveryStrength,,
CR2017_Ratio Replicate 2,,
CW2012_10 µM Erl/control Experiment 2 Replicate A,,
FSO2013_Ratio H/M normalized Rep3,0.4924278575237497,
AR2021_KD 72h,,
MV2014_Ratio H/M normalized B2___3 (5 min),,
KBE2022_Log2_Ex_18_U,,
AS2011_Ratio H/L Inhi_1_1,,
NJH2024_Sub8_MICT_Post,,
AH2018_TMTMS3_3_C,,
KBE2022_Log2_Ex_9_U,,
AH2018_SILAC_M_3_N,,
KBE2022_Log2_Ex_13_T,,
RM2024_Intensity D0-3,,
SR2019_SKBR3_Biol_repl_1,,
PG2020_Intensity Mock_10h_C,,
CF2017_OSE 29,,
YB2013_Ratio_H_L_Normalized_in_experiment_1,,
NJH2025_Sub1_HIIT_Post,,
DL2023_24h-2,,
HS2024_7_B_N2,,0.5581946888872169
PG2020_Intensity 10h_A,,
RN2012_L12,,
MV2014_Ratio M/L normalized B1___3 (5 min),,
NJH2024_Sub8_MICT_Mid,,
AH2018_LFQ_IT_4_C,,
SAS2015_PLX/AZD_Exp1,,
FR2021_Norm.Intensity.A,,
FSO2013_Ratio H/M normalized Rep1___1,0.4955390279668232,
JW2015_Intensity cap2,,
BS2014_Log2(Ratio H/L normalized Rep_2),,
NJH2024_Sub6_MICT_Post,,
CK2022_8 40-1,,
RB2022_7_RecoveryEndurance,,
NJH2025_Sub12_HIIT_Post,,
EJN2021_4_Ex_Basal,,
TM2022_S2.12h.B,,
RN2012_L15,,
KS2014_Intensity pY_PV3,,
TM2022_S2.4h.B,,
PG2020_Intensity 4h_A,,
FSO2013_Ratio H/M normalized Rep2___2,,
TM2022_mock.4h.B,,
KBE2022_Log2_Ex_24_U,,
NJH2025_Sub13_MICT_Mid,,
KS2014_Intensity C3,0.5464473053496709,
RB2022_1_PreSprint,,
HS2024_4_I_N1,,
CK2022_7 200-1,,
CK2022_5 200-1,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,,
FSO2013_Ratio H/L normalized Rep2___1,0.4771442865133532,
NJH2024_Sub10_HIIT_Mid,,
RB2022_2_PostEndurance,,
AH2018_LFQ_2_C,,
AH2018_SILAC_MR_1_X,0.5155998988068005,
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,
IMM2018_normalised rep. int. Empty-2,,
RM2024_Intensity D4-1,,
KBE2022_Log2_Ex_25_U,,
AH2018_SILAC_3_C,,
EJN2021_5_Rest_Ins,,
VOI2024_0.1uM 24 h_3 di,,
RNJ2017_Log2_ratio_Tstim:Trest_D3,,
DB2022_LFQ intensity L2.1,,
FSO2013_Ratio H/M normalized Rep1,0.49133657431425415,
CK2022_4 16-1,,
AS2011_Ratio H/L,,
SR2019_MCF7_Biol_repl_4,,
EJN2021_2_Ex_Ins,,
AS2011_Ratio H/L Inhi_2_3,,
JAW2011_Ratio H/L LS1a_1,,
AH2018_LFQ_1_N,,
SAS2015_PLX/DMSO_Exp1,,
SFR2015_HL_log2_ratio_avg_c,,0.5624348721237883
JJ2018_Ratio M/L normalized pP2,,
NJH2024_Sub7_MICT_Mid,,
PG2020_Intensity 6h_B,,
FSO2013_Ratio H/L normalized Rep3,0.4870128792406883,
GRW2016_Ratio H/L normalized SILAC 2___2,,
RKK2015_IKKb(K44M)+TNF-α/TNF-α,,
JJ2018_Ratio M/L normalized,,
KTGR2014_Ratio-AA 30 mins,,
JW2021_After_1,,
NJH2025_Sub2_MICT_Mid,,
HS2024_6_B_N2,,
KBE2022_Log2_Ex_9_T,,
AH2018_SILAC_IT_2_N,0.5326777358056042,
AH2018_SILAC_IT_1_X,0.48548841934977843,
HW2015_Ratio H/L normalized Exp3,,
HS2024_7_PD_T1,,0.5989701216664414
UK2020_UA_2,,
RM2024_Intensity D2-1___1,,
GF2025_P10_Sph,0.5339291385537299,
WZ2023_Pe_025_20min,,
JVO2010_Log2 Ratio M/L Normalized aphidicolin,,
AH2018_LFQ_2_N,,
HS2024_4_I_N2,,
AH2018_TMTMS2_3_N,0.5089392908111582,
RN2012_H06,,
AS2011_Inhi 1_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
HS2024_4_PD_T3,,0.593958489275721
WZ2023_Su_005_30min,,
SR2019_HCC1419_Biol_repl_4,,
JJ2018_Ratio H/M normalized___2,,
SR2019_JIMT1_Biol_repl_3,,
AS2011_Ratio H/L Protein,,
UK2020_HCM_3,,
NJH2024_Sub10_HIIT_Post,,
CR2017_Ratio Replicate 3.1,,
WZ2023_Su_025_10min,,
AH2018_LFQ_IT_4_X,,
CP2009_Ratio H/L,,
VOI2024_0.1uM 24 h_3 mono,,
RB2022_4_RecoverySprint,,
RM2024_Intensity D6-3,,
WZ2023_Su_005_20min,,
CW2012_10 µM Gef/control Experiment 1 Replicate B,,
SFR2015_HL_log2_ratio_avg_a,,0.5836560592405008
CW2012_10 µM Erl/control Experiment 3 Replicate A,,
RB2022_1_PreEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3a,,
LG2023_GSK3α-2_intensity,,
EP2017_Pervanadate R#1 log2 ratio,,0.4215510773607153
NJH2025_Sub6_HIIT_Post,,
RB2022_6_RecoverySprint,,
KS2014_Intensity,0.5452320393937563,
MV2014_Ratio H/M normalized A2___1 (2 min),,
PG2020_Intensity 8h_D,,
LY2019_P7+,,
EP2017_Untreated R#1 normalized log2 ratio,,0.6369230695510326
RN2012_L10,,
PG2020_Intensity 4h_C,,
EP2017_Mitotic R#3 normalized log2 ratio,,0.5774342905585161
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4,,
DB2022_LFQ intensity L1,,
KBE2022_Log2_Ex_24_T,,
RB2022_8_PostStrength,,
AH2018_SILAC_IT_2_X,0.48485509609435345,
HS2024_4_B_T3,,
NJH2024_Sub2_HIIT_Post,,
HS2024_8_B_N2,,
NJH2025_Sub8_HIIT_Pre,,
JJ2018_Ratio H/L normalized pP2___1,,
HS2024_8_I_T2,,
KBE2022_Log2_Ex_6_U,,
LATM2013_Normalized Log2 Ratio (Light/Medium) Reverse,,
CR2017_Ratio Replicate 1.1,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#1,,
MV2014_Ratio M/H normalized B3___2 (30 min),,
CK2022_16 200-1,,
VOI2024_0.1uM 2 h_3 di,,
EP2017_Mitotic R#1 normalized log2 ratio,,0.7361327884750405
GF2025_P9_Sph,0.4650312967867887,
CK2022_6 200-1,,
NJH2024_Sub7_MICT_Post,,
AH2018_TMTMS3_2_X,,
NJH2024_Sub8_HIIT_Post,,
DB2022_LFQ intensity R1,,
JW2015_Intensity cap3,,
SR2019_HCC1954_Biol_repl_1,,
HS2024_4_I_T2,,0.5686445391270327
NJH2024_Sub2_MICT_Mid,,
VOI2024_0.1uM 2 h_2 mono,,
CP2009_Ratio M/L Normalized (5 nM dasatinib vs Ctrl),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3b,,
HS2024_4_PD_T1,,0.6382261322545932
SAS2015_AZD/DMSO_Exp1,,
NJH2024_Sub1_MICT_Mid,,
IMM2018_normalised rep. int. CDK5L-3,,
HS2024_3_B_T3,,
MV2014_Ratio L/H normalized A3___2 (2 min),,
NJH2025_Sub13_MICT_Pre,,
SR2019_MDAMB231_Biol_repl_3,,
