DatasetName,CLDN12_S(231),CLDN12_S(228) CLDN12_T(244)
GF2025_P3_Adh,,
SR2019_JIMT1_Biol_repl_2,,
AH2018_TMTMS2_1_C,0.5011901654649519,
RM2024_Intensity D0-1___2,,
LY2019_P4+,0.7057582892210508,
KBE2022_Log2_Ex_19_U,,
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,,
RB2022_4_PostStrength,,
LG2023_GSK3α-3_intensity,,
YA2020_Reporter_intensity_Cancer_No.1,,
AST2020_Control,,
JAW2011_Ratio H/L LS1a,,
RCJD2014_5min_mean,0.2327443635102906,
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,
NJH2025_Sub1_MICT_Mid,,
TM2022_S2.12h.C,,
NJH2025_Sub9_MICT_Mid,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,,
AS2011_Ratio H/L Normalized Inhi_1_2,,
FSO2013_Ratio M/L normalized Rep2___1,0.5181497204095107,
LG2023_Control-2_intensity,,
NJH2024_Sub8_HIIT_Pre,,
KS2014_Intensity pY_N2,,
RB2022_5_RecoverySprint,,
RB2022_7_RecoverySprint,,
YA2020_Reporter_intensity_Normal_No.3,,
HS2024_8_B_T2,0.5628228944704764,0.6367268602074123
AH2018_LFQ_1_X,,
RM2024_Intensity D6-1___1,,
RCJD2014_10min_2,0.4339110312804627,
FR2021_Norm.Intensity.M,,
RM2024_Intensity D0-3___1,,
KS2014_Intensity N2,,
HH2022_Reporter intensity 1,,
HH2022_Reporter intensity 2,,
RM2024_Intensity D6-2___2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,
RM2024_Intensity D2-3___2,,
YA2020_Reporter_intensity_Normal_No.5,,
SR2019_MCF7_Biol_repl_1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,
HS2024_8_B_T1,0.5510100564247121,0.5521342979730954
NJH2025_Sub6_HIIT_Pre,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,
EP2017_Untreated R#2 log2 ratio,,
SR2019_LM2_Biol_repl_3,,
RB2022_4_RecoveryStrength,,
CR2017_Ratio Replicate 2,,0.5581119406696997
CW2012_10 µM Erl/control Experiment 2 Replicate A,,
FSO2013_Ratio H/M normalized Rep3,0.5015174232369235,
AR2021_KD 72h,,
MV2014_Ratio H/M normalized B2___3 (5 min),,
KBE2022_Log2_Ex_18_U,,
AS2011_Ratio H/L Inhi_1_1,,
NJH2024_Sub8_MICT_Post,,
AH2018_TMTMS3_3_C,0.6438935881464704,
KBE2022_Log2_Ex_9_U,,
AH2018_SILAC_M_3_N,0.6503961059603166,
KBE2022_Log2_Ex_13_T,,
RM2024_Intensity D0-3,,
SR2019_SKBR3_Biol_repl_1,,
PG2020_Intensity Mock_10h_C,0.20785785772165,
CF2017_OSE 29,,
YB2013_Ratio_H_L_Normalized_in_experiment_1,,
NJH2025_Sub1_HIIT_Post,,
DL2023_24h-2,,
HS2024_7_B_N2,0.5540559428564714,0.5927245919972919
PG2020_Intensity 10h_A,,
RN2012_L12,,
MV2014_Ratio M/L normalized B1___3 (5 min),,
NJH2024_Sub8_MICT_Mid,,
AH2018_LFQ_IT_4_C,0.6340504264593626,
SAS2015_PLX/AZD_Exp1,0.4616129869494579,0.559623010520486
FR2021_Norm.Intensity.A,,
FSO2013_Ratio H/M normalized Rep1___1,0.5613684903162637,
JW2015_Intensity cap2,,
BS2014_Log2(Ratio H/L normalized Rep_2),,
NJH2024_Sub6_MICT_Post,,
CK2022_8 40-1,,
RB2022_7_RecoveryEndurance,,
NJH2025_Sub12_HIIT_Post,,
EJN2021_4_Ex_Basal,,
TM2022_S2.12h.B,,
RN2012_L15,,
KS2014_Intensity pY_PV3,,
TM2022_S2.4h.B,,
PG2020_Intensity 4h_A,,
FSO2013_Ratio H/M normalized Rep2___2,,
TM2022_mock.4h.B,,
KBE2022_Log2_Ex_24_U,,
NJH2025_Sub13_MICT_Mid,,
KS2014_Intensity C3,,
RB2022_1_PreSprint,,
HS2024_4_I_N1,0.4953745676160632,0.4885951088571109
CK2022_7 200-1,,
CK2022_5 200-1,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,,
FSO2013_Ratio H/L normalized Rep2___1,0.5166405479771754,
NJH2024_Sub10_HIIT_Mid,,
RB2022_2_PostEndurance,,
AH2018_LFQ_2_C,,
AH2018_SILAC_MR_1_X,,
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,
IMM2018_normalised rep. int. Empty-2,,
RM2024_Intensity D4-1,,
KBE2022_Log2_Ex_25_U,,
AH2018_SILAC_3_C,0.6342348789193198,
EJN2021_5_Rest_Ins,,
VOI2024_0.1uM 24 h_3 di,,
RNJ2017_Log2_ratio_Tstim:Trest_D3,,
DB2022_LFQ intensity L2.1,,
FSO2013_Ratio H/M normalized Rep1,0.5522465656720718,
CK2022_4 16-1,,
AS2011_Ratio H/L,,
SR2019_MCF7_Biol_repl_4,,
EJN2021_2_Ex_Ins,,
AS2011_Ratio H/L Inhi_2_3,,
JAW2011_Ratio H/L LS1a_1,,
AH2018_LFQ_1_N,,
SAS2015_PLX/DMSO_Exp1,0.5801478784395946,0.5265605235833473
SFR2015_HL_log2_ratio_avg_c,,
JJ2018_Ratio M/L normalized pP2,,
NJH2024_Sub7_MICT_Mid,,
PG2020_Intensity 6h_B,,
FSO2013_Ratio H/L normalized Rep3,0.5551633051864949,
GRW2016_Ratio H/L normalized SILAC 2___2,,
RKK2015_IKKb(K44M)+TNF-α/TNF-α,0.595098849457558,
JJ2018_Ratio M/L normalized,,
KTGR2014_Ratio-AA 30 mins,,
JW2021_After_1,,
NJH2025_Sub2_MICT_Mid,,
HS2024_6_B_N2,0.5555154268063092,0.5209839388549459
KBE2022_Log2_Ex_9_T,,
AH2018_SILAC_IT_2_N,0.6705987946413279,
AH2018_SILAC_IT_1_X,0.6007106108271436,
HW2015_Ratio H/L normalized Exp3,,
HS2024_7_PD_T1,0.5333205103383046,0.5574642689056815
UK2020_UA_2,,
RM2024_Intensity D2-1___1,,
GF2025_P10_Sph,,
WZ2023_Pe_025_20min,,0.5195108118826015
JVO2010_Log2 Ratio M/L Normalized aphidicolin,,
AH2018_LFQ_2_N,,
HS2024_4_I_N2,0.4450464560733642,0.4464203338199395
AH2018_TMTMS2_3_N,0.51431176771601,
RN2012_H06,,
AS2011_Inhi 1_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
HS2024_4_PD_T3,0.474405248257022,0.5091934626425023
WZ2023_Su_005_30min,,0.5377463535395477
SR2019_HCC1419_Biol_repl_4,,
JJ2018_Ratio H/M normalized___2,,
SR2019_JIMT1_Biol_repl_3,,
AS2011_Ratio H/L Protein,,
UK2020_HCM_3,,
NJH2024_Sub10_HIIT_Post,,
CR2017_Ratio Replicate 3.1,,0.5144526347488042
WZ2023_Su_025_10min,,0.5045132039267919
AH2018_LFQ_IT_4_X,0.64715237492192,
CP2009_Ratio H/L,,
VOI2024_0.1uM 24 h_3 mono,0.6871610630105957,
RB2022_4_RecoverySprint,,
RM2024_Intensity D6-3,,
WZ2023_Su_005_20min,,0.5135212594924261
CW2012_10 µM Gef/control Experiment 1 Replicate B,,
SFR2015_HL_log2_ratio_avg_a,,
CW2012_10 µM Erl/control Experiment 3 Replicate A,,
RB2022_1_PreEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3a,,
LG2023_GSK3α-2_intensity,,
EP2017_Pervanadate R#1 log2 ratio,,
NJH2025_Sub6_HIIT_Post,,
RB2022_6_RecoverySprint,,
KS2014_Intensity,,
MV2014_Ratio H/M normalized A2___1 (2 min),,
PG2020_Intensity 8h_D,,
LY2019_P7+,0.2694601255079697,
EP2017_Untreated R#1 normalized log2 ratio,,
RN2012_L10,,
PG2020_Intensity 4h_C,,
EP2017_Mitotic R#3 normalized log2 ratio,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4,,
DB2022_LFQ intensity L1,,
KBE2022_Log2_Ex_24_T,,
RB2022_8_PostStrength,,
AH2018_SILAC_IT_2_X,0.6082620823295652,
HS2024_4_B_T3,0.5126699487580577,0.5008487227041962
NJH2024_Sub2_HIIT_Post,,
HS2024_8_B_N2,0.4548229254465672,0.5113498020816157
NJH2025_Sub8_HIIT_Pre,,
