DatasetName,PBXIP1_S(117) PBXIP1_S(118) PBXIP1_S(119) PBXIP1_S(146) PBXIP1_S(3) PBXIP1_S(326) PBXIP1_S(330) PBXIP1_S(355) PBXIP1_S(378) PBXIP1_S(4) PBXIP1_S(43) PBXIP1_S(469) PBXIP1_S(518) PBXIP1_S(547) PBXIP1_S(550) PBXIP1_S(7) PBXIP1_S(705) PBXIP1_S(8) PBXIP1_T(123) PBXIP1_T(47),PBXIP1_S(14) PBXIP1_S(36) PBXIP1_S(407) PBXIP1_S(440) PBXIP1_S(45) PBXIP1_S(521) PBXIP1_S(522) PBXIP1_S(6) PBXIP1_S(67) PBXIP1_S(9)
RB2022_5_PreEndurance,0.47377678706978443,0.6385038860763508
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,0.48265267839989123,0.6197160780064115
WZ2023_Pu_010_30min,0.48218664200226186,0.6283231330085173
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,0.4674500899669938,0.64263575583818
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,,
RB2022_8_RecoveryEndurance,,0.6263075342265192
KBE2022_Log2_Ex_14_U,0.4782842185311731,
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,,
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,0.49005785602602303,
RB2022_5_PreSprint,,0.6367310997927162
PG2020_Intensity 8h_C,0.45893453804961926,
AH2018_SILAC_MR_2_N,,
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,0.4886066317424612,
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),,
UK2020_HCM_2,,
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,0.4803234045510566,0.6180310032948888
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,0.47577002693352755,0.6155141382415621
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,,0.6295782196920474
GF2025_P6_Sph,0.4706535283968156,
RB2022_2_PreSprint,,0.6182816931582799
ZX2022_CB treated Replicate 3,0.4765673920304622,
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,0.48619065935433736,0.629495926426527
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,,
KBE2022_Log2_Ex_34_U,0.4819103933909723,
WZ2023_Pu_005_10min,0.48181629845519,0.6280885071262429
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,0.47531405494949663,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,0.47900692909031245,0.6284691505078465
AH2018_SILAC_MR_2_X,,
HS2024_4_PD_T2,,
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,0.4650017411508964,0.6009774372651441
FR2021_Norm.Intensity.B,,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,
RB2022_5_PostSprint,,0.6215304353563796
EJN2021_3_Rest_Basal,0.49453248652426957,0.6240285933414043
CR2017_Ratio Replicate 1.3,0.47356085586327695,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,0.47587926601117464,
AH2018_SILAC_3_X,,
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,,
HS2024_7_PD_T2,,
FSO2013_Ratio H/L normalized Rep1___1,0.47627932981997106,
AH2018_LFQ_1_C,,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,,
HS2024_3_B_N1,,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,0.48522292606271006,0.6294796883294677
CK2022_11 40-1,0.47549281786446274,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,,
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,,
FSO2013_Ratio H/L normalized Rep2,0.4738493434688905,
WZ2023_Pu_005_20min,0.483414410164481,0.6293871405672381
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,0.46914782243148095,0.603918603803194
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,,
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,,
HS2024_9_B_T2,,
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,,
FSO2013_Ratio M/L normalized Rep3___2,,
SR2019_BT549_Biol_repl_3,0.4768480900433375,
RCJD2014_20min_mean,,
FR2021_Norm.Intensity.H,,
RB2022_2_PreStrength,,0.6337275517011409
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,,
CK2022_1 200-1,0.4784874846114059,
PG2020_Intensity Mock_10h_D,0.47300144817457807,
SR2019_MCF10A_Biol_repl_2,,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,
RB2022_6_RecoveryEndurance,0.48109673062044667,0.6304261727740401
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,0.4777709712056833,0.617154465668296
RCJD2014_5min_1,,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,,
SAS2015_PLX/AZD_Exp2,,
CR2017_Ratio Replicate 3.3,0.47143591904242016,0.6058604573472878
PG2020_Intensity 2h_C,0.4759970483301383,
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,0.47522680004911655,
KBE2022_Log2_Ex_8_T,0.4750641637493648,
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,,
RN2012_L11,0.47591657205905336,
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,,
HS2024_5_PD_T1,,
AH2018_LFQ_M_2_C,,
CK2022_3 40-1,0.47427717027295335,
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,,
YA2020_Reporter_intensity_Cancer_No.5,,
HH2022_Reporter intensity 8,0.47624853412329926,0.6151546845133402
ZQ2022_N2,0.4818592469211703,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,,
EJN2021_5_Rest_Basal,0.48143188368322176,0.6240244716780129
NJH2025_Sub2_HIIT_Post,,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,,
YA2020_Reporter_intensity_Normal_No.1,,
HS2024_3_B_T1,,
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,0.4796616876374202,0.5905145190792137
RB2022_1_PostEndurance,0.48048597390019515,0.6261842885273123
CR2017_Ratio Replicate 3,,
SR2019_Hs578T_Biol_repl_3,0.47444151252911776,
MV2014_Ratio L/H normalized B3___1 (5 min),,
RBK2021_1244T Early,,
RB2022_3_PostSprint,,0.6063581219884812
NJH2024_Sub13_MICT_Mid,,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,0.4864037427652962,
HS2024_8_I_T3,,
CF2017_EOC 3,,0.6407386132836778
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,
HS2024_6_PD_T3,,
DL2023_12h-2,,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,,
WZ2023_Pu_010_20min,0.4828566246916612,0.6279100214891333
AS2011_Ratio H/L_3,,
CK2022_1 40-1,0.47463785258339336,
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,,
KS2014_Intensity N3,,0.6203254109860021
RB2022_4_RecoveryEndurance,,0.6377669829517646
RB2022_5_RecoveryEndurance,,0.6198670039879453
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,,
FSO2013_Ratio H/M normalized Rep2,0.4784467956890464,
RAM2015_Log2 A,0.4822606039797964,
HS2024_8_PD_T1,,
JJ2018_Ratio H/L normalized pP2,,
CF2017_OSE 27,,0.6166331909192264
KS2014_Intensity E15_2,,
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,0.4680201899268203,
HS2024_7_I_T1,,
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,,
SR2019_JIMT1_Biol_repl_1,,
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,,
AH2018_SILAC_M_3_X,,
NJH2024_Sub9_HIIT_Post,,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,,
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,0.48900603953583915,0.6153337830155559
NJH2025_Sub4_MICT_Mid,,
YP2020_Intensity C30_R1_mult_log2,,
AST2020_anti-CD3.1,,
NJH2025_Sub4_HIIT_Post,,
EP2017_Untreated R#4 log2 ratio,0.48278379924359455,0.6199892313193437
HS2024_6_B_N1,,
KBE2022_Log2_Ex_27_T,0.49396312589994595,
CW2012_10 µM Gef/control Experiment 1 Replicate A,,
VOI2024_0.1uM 24 h_1 mono,,
AMK2021_120R_p5,0.46371205833376505,
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),0.48180970793876216,0.6200155899905371
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,0.4807053756703398,0.6118643010741243
AH2018_SILAC_IT_3_X,,
JAW2011_Ratio H/L,,
PG2020_Intensity 10h_C,,
FSO2013_Ratio M/L normalized Rep2,0.4761973889923282,
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,0.4809315084709757,0.6249151630488405
SR2019_HCC1954_Biol_repl_2,,
CK2022_14 40-1,0.4750367290471691,
RB2022_6_PreSprint,0.47476276435272835,0.6243029519073582
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,0.47653821788565953,
NJH2025_Sub2_MICT_Post,,
AH2018_LFQ_4_C,,
DL2023_control-1,,
AR2021_ALG 10 μM,,0.5428401072225739
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,,
EJN2021_4_Rest_Ins,0.49303768101732387,0.6271693369187159
RN2012_H05,0.47013612791598247,
NJH2024_Sub7_HIIT_Mid,,
GF2025_P2_Adh,0.4706587642344308,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,0.4803215788637683,0.6135349150284487
EJN2021_1_Rest_Ins,0.49452581048513844,0.6222025236920465
HH2022_Reporter intensity 3,0.47990995004396303,0.6265393671992329
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,,
JW2021_After_3,,
GF2025_P8_Sph,0.48647762393545835,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,,
AH2018_SILAC_2_N,,
CK2022_11 200-1,0.4792780015025594,
CK2022_12 200-1,0.4791440267885134,
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,0.4743838842289108,0.6218964752763565
WZ2023_Su_010_20min,0.4839099378849022,0.6299934006573997
AH2018_TMTMS2_2_N,,
NJH2024_Sub13_MICT_Pre,,
KBE2022_Log2_Ex_41_U,0.46923391380692614,
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),0.47948938691785326,0.635254167743882
AH2018_TMTMS3_Pool,,
KS2014_Intensity N4,,0.6239380771015217
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,,
RM2024_Intensity D4-2___2,,
NJH2024_Sub13_HIIT_Pre,,
CF2017_OSE 26,,0.623680525373154
CK2022_14 200-1,0.47864256237045566,
SR2019_Hs578T_Biol_repl_1,0.4685040920213696,
RB2022_7_PostSprint,0.477313439434201,0.6485786242700554
TM2022_mock.4h.A,,
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,,
AST2020_anti-CD3+PDL2.2,,
PG2020_Intensity Mock_10h_A,0.4765846069894035,
JW2021_After_2,,
NJH2024_Sub2_MICT_Post,,
EJN2021_2_Rest_Ins,0.4713612600820496,0.6180909005014963
SR2019_LM2_Biol_repl_4,0.4798942380448599,
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,,
CK2022_13 16-1,,
GF2025_P1_Adh,0.47684929271577287,
GF2025_P1_Sph,0.46945004519106465,
EJN2021_5_Ex_Basal,0.48956731843001666,0.6203107957974595
HS2024_7_I_T3,,
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,0.48292981347702363,0.6286279629264893
CF2017_EOC 1,,0.6312949239007046
CK2022_3 200-1,0.47850943119081163,
AH2018_LFQ_IT_3_C,,
SR2019_Hs578T_Biol_repl_2,0.47700530061563795,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,,
NJH2024_Sub13_MICT_Post,,
BS2014_Log2(Ratio H/L normalized Rep_1),,
RB2022_3_RecoverySprint,0.48317473573933867,0.6526506910695311
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,
HS2024_6_PD_T2,,
HS2024_5_B_T1,,
CW2012_10 µM Gef/control Experiment 2 Replicate A,,
DL2023_12h-3,,
SR2019_MDAMB231_Biol_repl_2,,
HS2024_3_B_T2,,
RB2022_6_PreStrength,0.4851180507322706,0.6417461452427389
CK2022_2 40-1,0.475048573610937,
RB2022_1_PostSprint,,0.6212312482317763
CK2022_4 200-1,0.4776195175864533,
JW2021_Before_2,,
TM2022_S2.12h.A,,
MV2014_Ratio L/M normalized B2___2 (30 min),,
CK2022_5 16-1,,
AR2021_ALG 1 μM,0.46525056668490167,0.5983032721398964
HS2024_4_B_T1,,
MV2014_Ratio M/H normalized A3___1 (10 min),,
SR2019_BT549_Biol_repl_4,0.4798381884954563,
EJN2021_1_Rest_Basal,0.46906047817712687,0.6199742615602173
NJH2025_Sub8_MICT_Post,,
RCJD2014_5min_3,,
CR2017_Ratio Replicate 3.2,0.479621521215521,0.6228047887852649
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,
GF2025_P7_Adh,0.48251784826658195,
CK2022_9 16-1,,
NJH2024_Sub6_HIIT_Post,,
AMK2021_30R_p3,0.48087479795607396,
AS2011_Ratio H/L Normalized RNAi_2,,
RM2024_Intensity D0-2___2,,
KS2014_Intensity pY_N4,,
CK2022_13 200-1,0.4791596454330815,
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,0.47540197037931653,
CK2022_16 16-1,,
FS2019_db/db3,,
CK2022_15 40-1,0.4750106482817678,
NJH2024_Sub9_MICT_Pre,,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,0.48320369356194365,0.6274389935115179
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,0.4718410889099645,
AMK2021_Ctrl_p1,0.47631547971106303,
AH2018_LFQ_IT_3_X,,
HS2024_5_PD_T3,,
AH2018_TMTMS3_3_X,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,
KBE2022_Log2_Ex_40_U,0.4752156835288391,
AH2018_LFQ_M_1_N,,
KBE2022_Log2_Ex_27_U,0.4913454191805136,
HW2015_Ratio M/L normalized Exp3,,
RKK2015_TNF-α/IKKb(K44M),,
AH2018_SILAC_M_1_N,,
HW2015_Ratio M/L normalized Exp1,,
RB2022_5_RecoveryStrength,,0.6358758768170508
YP2020_Intensity P10_R1_mult_log2,,
RB2022_7_PreStrength,0.4767682581864986,0.6101400519297744
YA2020_Reporter_intensity_Normal_No.4,,
NJH2025_Sub13_HIIT_Pre,,
PG2020_Intensity CT_D,0.4743476358262666,
NJH2025_Sub9_MICT_Post,,
VOI2024_Veh1 mono,,
CK2022_12 16-1,,
RN2012_L13,0.47515218518650554,
LG2023_Control-1_intensity,,
RM2024_Intensity D6-3___2,,
KBE2022_Log2_Ex_8_U,0.4847763107303078,
SR2019_SKBR3_Biol_repl_3,,
NJH2024_Sub1_MICT_Post,,
HS2024_3_I_T2,,
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,
RM2024_Intensity D0-3___3,,
HS2024_6_I_T2,,
CW2012_10 µM Erl/control Experiment 2 Replicate B,,
AS2011_Ratio H/L Protein Inhi_1,,
FSO2013_Ratio H/M normalized Rep2___1,0.4790835759405693,
GRW2016_Ratio M/L normalized SILAC 5a___2,,
CK2022_10 40-1,0.4753557207678675,
NJH2024_Sub12_HIIT_Pre,,
NJH2024_Sub8_MICT_Pre,,
RM2024_Intensity D0-1___1,,
LY2019_P3+,0.4973257864103659,
HH2022_Reporter intensity 6,0.4726462381575144,0.6184408770506482
RB2022_2_RecoveryStrength,,0.6261447909245285
KTGR2014_Ratio-AA 15 mins,,
AS2011_Ratio H/L Normalized RNAi_2_2,,
KS2014_Intensity pY_N3,,
MV2014_Ratio H/L normalized B1___2 (30 min),,
LY2019_P5-,0.46361760743716296,
HW2015_Ratio M/L normalized Exp2,,
SR2019_HCC1419_Biol_repl_1,0.48202079990474705,
AH2018_TMTMS2_3_X,,
GF2025_P3_Adh,0.47700409046852255,
SR2019_JIMT1_Biol_repl_2,,
AH2018_TMTMS2_1_C,,
RM2024_Intensity D0-1___2,,
LY2019_P4+,0.48564216674824073,
KBE2022_Log2_Ex_19_U,0.47543737808293185,
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,,
RB2022_4_PostStrength,,0.6323253096087388
LG2023_GSK3α-3_intensity,,
YA2020_Reporter_intensity_Cancer_No.1,,
AST2020_Control,,
JAW2011_Ratio H/L LS1a,,
RCJD2014_5min_mean,,
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),0.47343478111926807,
NJH2025_Sub1_MICT_Mid,,
TM2022_S2.12h.C,,
NJH2025_Sub9_MICT_Mid,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,,
AS2011_Ratio H/L Normalized Inhi_1_2,,
FSO2013_Ratio M/L normalized Rep2___1,0.4761829516789975,
LG2023_Control-2_intensity,,
NJH2024_Sub8_HIIT_Pre,,
KS2014_Intensity pY_N2,,
RB2022_5_RecoverySprint,0.4831418197217493,0.6642438594074997
RB2022_7_RecoverySprint,0.4632643145071709,0.6726811970852581
YA2020_Reporter_intensity_Normal_No.3,,
HS2024_8_B_T2,,
AH2018_LFQ_1_X,,
RM2024_Intensity D6-1___1,,
RCJD2014_10min_2,,
FR2021_Norm.Intensity.M,,
RM2024_Intensity D0-3___1,,
KS2014_Intensity N2,,0.6228473708233796
HH2022_Reporter intensity 1,0.47912168643761116,0.6262149356407274
HH2022_Reporter intensity 2,0.4787878105649237,0.6266824133020343
RM2024_Intensity D6-2___2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,
RM2024_Intensity D2-3___2,,
YA2020_Reporter_intensity_Normal_No.5,,
SR2019_MCF7_Biol_repl_1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,
HS2024_8_B_T1,,
NJH2025_Sub6_HIIT_Pre,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,
EP2017_Untreated R#2 log2 ratio,0.48386185040425705,0.6364685469127387
SR2019_LM2_Biol_repl_3,,
RB2022_4_RecoveryStrength,,0.6497060188606003
CR2017_Ratio Replicate 2,0.46847569352057505,
CW2012_10 µM Erl/control Experiment 2 Replicate A,,
FSO2013_Ratio H/M normalized Rep3,0.481740678965354,
AR2021_KD 72h,0.4625974415519013,0.5628350605602652
MV2014_Ratio H/M normalized B2___3 (5 min),,
KBE2022_Log2_Ex_18_U,0.4860792064775765,
AS2011_Ratio H/L Inhi_1_1,,
NJH2024_Sub8_MICT_Post,,
AH2018_TMTMS3_3_C,,
KBE2022_Log2_Ex_9_U,0.4713687645573,
AH2018_SILAC_M_3_N,,
KBE2022_Log2_Ex_13_T,0.4752773089300872,
RM2024_Intensity D0-3,,
SR2019_SKBR3_Biol_repl_1,,
PG2020_Intensity Mock_10h_C,0.47307347623679047,
CF2017_OSE 29,,0.6066161384112723
YB2013_Ratio_H_L_Normalized_in_experiment_1,,
NJH2025_Sub1_HIIT_Post,,
DL2023_24h-2,,
HS2024_7_B_N2,,
PG2020_Intensity 10h_A,,
RN2012_L12,0.48151009394499217,
MV2014_Ratio M/L normalized B1___3 (5 min),,
NJH2024_Sub8_MICT_Mid,,
AH2018_LFQ_IT_4_C,,
SAS2015_PLX/AZD_Exp1,,
FR2021_Norm.Intensity.A,,
FSO2013_Ratio H/M normalized Rep1___1,0.47597043606610523,
JW2015_Intensity cap2,,
BS2014_Log2(Ratio H/L normalized Rep_2),,
NJH2024_Sub6_MICT_Post,,
CK2022_8 40-1,0.4745444265907633,
RB2022_7_RecoveryEndurance,,0.6399315800893428
NJH2025_Sub12_HIIT_Post,,
EJN2021_4_Ex_Basal,0.4886547843160652,0.627560481062153
TM2022_S2.12h.B,,
RN2012_L15,0.47502576347411407,
KS2014_Intensity pY_PV3,,
TM2022_S2.4h.B,,
PG2020_Intensity 4h_A,0.47297580219557683,
FSO2013_Ratio H/M normalized Rep2___2,,
TM2022_mock.4h.B,,
KBE2022_Log2_Ex_24_U,0.4793771317434771,
NJH2025_Sub13_MICT_Mid,,
KS2014_Intensity C3,,
RB2022_1_PreSprint,,0.6122431782906632
HS2024_4_I_N1,,
CK2022_7 200-1,0.47766093934687504,
CK2022_5 200-1,0.4780079840319522,
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,,
FSO2013_Ratio H/L normalized Rep2___1,0.47391000255031857,
NJH2024_Sub10_HIIT_Mid,,
RB2022_2_PostEndurance,,0.6246305876643468
AH2018_LFQ_2_C,,
AH2018_SILAC_MR_1_X,,
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,
IMM2018_normalised rep. int. Empty-2,,
RM2024_Intensity D4-1,,
KBE2022_Log2_Ex_25_U,0.4883120144187788,
AH2018_SILAC_3_C,,
EJN2021_5_Rest_Ins,0.4678167304141117,0.6230899996639219
VOI2024_0.1uM 24 h_3 di,,
RNJ2017_Log2_ratio_Tstim:Trest_D3,,
DB2022_LFQ intensity L2.1,,
FSO2013_Ratio H/M normalized Rep1,0.47534607892391606,
CK2022_4 16-1,,
AS2011_Ratio H/L,,
SR2019_MCF7_Biol_repl_4,,
EJN2021_2_Ex_Ins,0.4925651366736036,0.6164206590873742
AS2011_Ratio H/L Inhi_2_3,,
JAW2011_Ratio H/L LS1a_1,,
AH2018_LFQ_1_N,,
SAS2015_PLX/DMSO_Exp1,,
SFR2015_HL_log2_ratio_avg_c,,0.5992607895163508
JJ2018_Ratio M/L normalized pP2,,
NJH2024_Sub7_MICT_Mid,,
PG2020_Intensity 6h_B,0.4759138891043019,
FSO2013_Ratio H/L normalized Rep3,0.4738088973547985,
GRW2016_Ratio H/L normalized SILAC 2___2,,
RKK2015_IKKb(K44M)+TNF-α/TNF-α,,
JJ2018_Ratio M/L normalized,,
KTGR2014_Ratio-AA 30 mins,,
JW2021_After_1,,
NJH2025_Sub2_MICT_Mid,,
HS2024_6_B_N2,,
