DatasetName,MIGA2_S(266) MIGA2_T(206) MIGA2_T(218),MIGA2_S(124) MIGA2_S(125) MIGA2_S(203) MIGA2_S(228) MIGA2_T(119),MIGA2_M(273) MIGA2_M(276) MIGA2_S(107) MIGA2_S(111) MIGA2_S(116) MIGA2_S(214) MIGA2_S(220) MIGA2_S(224) MIGA2_S(276)
GF2025_P7_Sph,,,0.546402827467002
HS2024_8_I_T3,,,
CF2017_EOC 3,,,0.5028018151578533
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,,
HS2024_6_PD_T3,,,
DL2023_12h-2,,,0.5152441491077204
RM2024_Intensity D6-3___1,,,
FS2019_Ctr1,,,
WZ2023_Pu_010_20min,0.19349355312814265,0.409400914867933,0.5643303939586395
AS2011_Ratio H/L_3,,,
CK2022_1 40-1,,,
RNJ2017_Log2_ratio_Tsup:Trest_D1,,,
CK2022_8 16-1,,,
KS2014_Intensity N3,,,
RB2022_4_RecoveryEndurance,,,0.5415783471277239
RB2022_5_RecoveryEndurance,,,0.5413995720434619
JAW2011_Ratio H/L LS1a_2,,,
NJH2024_Sub12_HIIT_Mid,,,
AH2018_LFQ_IT_1_N,,,0.541159173610409
FSO2013_Ratio H/M normalized Rep2,,,
RAM2015_Log2 A,,,
HS2024_8_PD_T1,,,
JJ2018_Ratio H/L normalized pP2,,,
CF2017_OSE 27,,,0.5431114091202971
KS2014_Intensity E15_2,,0.3887391723658934,0.5437172955968841
BS2014_Log2(Ratio H/L protein),,,
PG2020_Intensity 8h_A,,,
HS2024_7_I_T1,,,
VOI2024_Veh3 di,,,
RKK2015_TNF-α+SC-514/basal,,,
SR2019_JIMT1_Biol_repl_1,,,
HW2015_Ratio H/L normalized Exp2,,,
HS2024_3_I_N1,,,
AH2018_SILAC_M_3_X,,,0.5214266158266094
NJH2024_Sub9_HIIT_Post,,,
AS2011_Ratio H/L RNAi_1_3,,,
GRW2016_Ratio H/L normalized SILAC 1___2,,,
NJH2025_Sub1_HIIT_Pre,,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,,
NJH2024_Sub4_HIIT_Mid,,,
VOI2024_0.1uM 2 h_1 di,,,
KBE2022_Log2_Ex_6_T,,,
RM2024_Intensity D4-3___1,,,
AH2018_LFQ_4_X,,,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,,
RB2022_8_PostEndurance,,,0.5569886612079025
NJH2025_Sub4_MICT_Mid,,,
YP2020_Intensity C30_R1_mult_log2,,,
AST2020_anti-CD3.1,,,
NJH2025_Sub4_HIIT_Post,,,
EP2017_Untreated R#4 log2 ratio,,,0.5305518286551099
HS2024_6_B_N1,,,
KBE2022_Log2_Ex_27_T,,,0.5416616553860573
CW2012_10 µM Gef/control Experiment 1 Replicate A,,,
VOI2024_0.1uM 24 h_1 mono,,,
AMK2021_120R_p5,,,
AS2011_Ratio H/L Proteins,,,
NJH2024_Sub7_HIIT_Post,,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),,,
AS2011_Ratio H/L RNAi_2_2,,,
RB2022_7_RecoveryStrength,,,0.5349474952012895
AH2018_SILAC_IT_3_X,,,0.5297387577946222
JAW2011_Ratio H/L,,,
PG2020_Intensity 10h_C,,,0.5110262561054773
FSO2013_Ratio M/L normalized Rep2,,,
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,,
HH2022_Reporter intensity 5,,,0.5488755131059665
SR2019_HCC1954_Biol_repl_2,,,
CK2022_14 40-1,,,
RB2022_6_PreSprint,,,
NJH2025_Sub12_MICT_Mid,,,
PG2020_Intensity 4h_D,,,
NJH2025_Sub2_MICT_Post,,,
AH2018_LFQ_4_C,,,0.5264817955909579
DL2023_control-1,,,
AR2021_ALG 10 μM,,0.43245195746388737,0.549619022716555
JAW2011_Ratio H/L LS2_2,,,
AH2018_SILAC_IT_3_N,,,0.5157976608860277
EJN2021_4_Rest_Ins,,,
RN2012_H05,,,
NJH2024_Sub7_HIIT_Mid,,,
GF2025_P2_Adh,,,0.5507293206218816
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,,
RB2022_8_PostSprint,,,0.5538450110519094
EJN2021_1_Rest_Ins,,,
HH2022_Reporter intensity 3,0.19163635498455367,,0.5390916708767325
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,,
AH2018_SILAC_IT_1_C,,,0.5447103143023457
JW2021_After_3,,,
GF2025_P8_Sph,,,0.5576190707660507
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,,
JJ2018_Ratio M/L normalized pP2___1,,,
AH2018_SILAC_2_N,,,0.5311166197131848
CK2022_11 200-1,,,
CK2022_12 200-1,,,
AS2011_Ratio H/L Normalized by Protein RNAi_1,,,
RM2024_Intensity D2-1___3,,,
NJH2024_Sub1_MICT_Pre,,,
HH2022_Reporter intensity 9,,,0.5452321467743934
WZ2023_Su_010_20min,0.18177780559207016,0.40306342135150475,0.5592356827879859
AH2018_TMTMS2_2_N,,,0.5564595683254052
NJH2024_Sub13_MICT_Pre,,,
KBE2022_Log2_Ex_41_U,,,
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),,,
AH2018_TMTMS3_Pool,,,0.5581718388558694
KS2014_Intensity N4,,,
NJH2024_Sub1_HIIT_Post,,,
MM2018_Ratio H/L replicate2,,,0.5549783364180413
RM2024_Intensity D4-2___2,,,
NJH2024_Sub13_HIIT_Pre,,,
CF2017_OSE 26,,,0.5256667368035266
CK2022_14 200-1,,,
SR2019_Hs578T_Biol_repl_1,,,
RB2022_7_PostSprint,,,0.5604260214331611
TM2022_mock.4h.A,,,
NJH2025_Sub12_HIIT_Pre,,,
AH2018_TMTMS3_1_N,,,0.5562426193901915
AST2020_anti-CD3+PDL2.2,,,
PG2020_Intensity Mock_10h_A,,,0.5129474004025091
JW2021_After_2,,,
NJH2024_Sub2_MICT_Post,,,
EJN2021_2_Rest_Ins,,,
SR2019_LM2_Biol_repl_4,,,
CP2009_Ratio H/M,,,
JAW2011_Ratio H/L HS,,,
CK2022_13 16-1,,,
GF2025_P1_Adh,,,0.5242222448181447
GF2025_P1_Sph,,,0.5418762098884994
EJN2021_5_Ex_Basal,,,
HS2024_7_I_T3,,,
JJ2018_Ratio H/L normalized pP2___2,,,
WZ2023_Pe_010_10min,,0.4077599351083676,0.5615673217564433
CF2017_EOC 1,,,0.5393445803592658
CK2022_3 200-1,,,
AH2018_LFQ_IT_3_C,,,0.5308361361521761
SR2019_Hs578T_Biol_repl_2,,,
NJH2024_Sub12_HIIT_Post,,,
JJ2018_Ratio H/L normalized pP1___2,,,
MV2014_Ratio H/L normalized A1___2 (10 min),,,
NJH2024_Sub10_MICT_Mid,,,
NJH2024_Sub13_MICT_Post,,,
BS2014_Log2(Ratio H/L normalized Rep_1),,,0.5424259719663233
RB2022_3_RecoverySprint,,,
NJH2025_Sub1_HIIT_Mid,,,
RCJD2014_20min_2,,0.40233459242221914,0.5243650241946836
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,,
HS2024_6_PD_T2,,,
HS2024_5_B_T1,,,
CW2012_10 µM Gef/control Experiment 2 Replicate A,,,
DL2023_12h-3,,,0.5038399278763648
SR2019_MDAMB231_Biol_repl_2,,,
HS2024_3_B_T2,,,
RB2022_6_PreStrength,,,
CK2022_2 40-1,,,
RB2022_1_PostSprint,,,
CK2022_4 200-1,,,
JW2021_Before_2,,,
TM2022_S2.12h.A,,,
MV2014_Ratio L/M normalized B2___2 (30 min),,,
CK2022_5 16-1,,,
AR2021_ALG 1 μM,,0.4431766634471413,0.5520238004862326
HS2024_4_B_T1,,,
MV2014_Ratio M/H normalized A3___1 (10 min),,,
SR2019_BT549_Biol_repl_4,,,
EJN2021_1_Rest_Basal,,,
NJH2025_Sub8_MICT_Post,,,
RCJD2014_5min_3,,0.45002178900641976,0.5611613425167088
CR2017_Ratio Replicate 3.2,,,0.5470491548969448
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,,
GF2025_P7_Adh,,,0.5432761462950209
CK2022_9 16-1,,,
NJH2024_Sub6_HIIT_Post,,,
AMK2021_30R_p3,,,
AS2011_Ratio H/L Normalized RNAi_2,,,
RM2024_Intensity D0-2___2,,,
KS2014_Intensity pY_N4,,,
CK2022_13 200-1,,,
AS2011_Ratio H/L Normalized_2,,,
PG2020_Intensity 6h_D,,,0.535389850961196
CK2022_16 16-1,,,
FS2019_db/db3,,,
CK2022_15 40-1,,,
NJH2024_Sub9_MICT_Pre,,,
BS2014_Log2(Ratio H/L unmodified peptide),,,
WZ2023_Su_005_10min,0.17291052324351472,0.40781106322596283,0.5558486173108343
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,,
KBE2022_Log2_Ex_41_T,,,
AMK2021_Ctrl_p1,,,
AH2018_LFQ_IT_3_X,,,0.532068508833534
HS2024_5_PD_T3,,,
AH2018_TMTMS3_3_X,,,0.5559392991036286
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,,
KBE2022_Log2_Ex_40_U,,,
AH2018_LFQ_M_1_N,,,0.5449022959278335
KBE2022_Log2_Ex_27_U,,,0.5421412602469594
HW2015_Ratio M/L normalized Exp3,,,
RKK2015_TNF-α/IKKb(K44M),,,
AH2018_SILAC_M_1_N,,,0.5584781821402007
HW2015_Ratio M/L normalized Exp1,,,
RB2022_5_RecoveryStrength,,,0.5352020322288459
YP2020_Intensity P10_R1_mult_log2,,,
RB2022_7_PreStrength,,,0.5412505471326263
YA2020_Reporter_intensity_Normal_No.4,,,0.5523281162348919
NJH2025_Sub13_HIIT_Pre,,,
PG2020_Intensity CT_D,,,
NJH2025_Sub9_MICT_Post,,,
VOI2024_Veh1 mono,,,
CK2022_12 16-1,,,
RN2012_L13,,,
LG2023_Control-1_intensity,,,
RM2024_Intensity D6-3___2,,,
KBE2022_Log2_Ex_8_U,,,
SR2019_SKBR3_Biol_repl_3,,,
NJH2024_Sub1_MICT_Post,,,
HS2024_3_I_T2,,,
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,,
RM2024_Intensity D0-3___3,,,
HS2024_6_I_T2,,,
CW2012_10 µM Erl/control Experiment 2 Replicate B,,,
AS2011_Ratio H/L Protein Inhi_1,,,
FSO2013_Ratio H/M normalized Rep2___1,,,
GRW2016_Ratio M/L normalized SILAC 5a___2,,,
CK2022_10 40-1,,,
NJH2024_Sub12_HIIT_Pre,,,
NJH2024_Sub8_MICT_Pre,,,
RM2024_Intensity D0-1___1,,,
LY2019_P3+,,,0.5388909794243565
HH2022_Reporter intensity 6,,,0.536096486809922
RB2022_2_RecoveryStrength,,,
KTGR2014_Ratio-AA 15 mins,,,
AS2011_Ratio H/L Normalized RNAi_2_2,,,
KS2014_Intensity pY_N3,,,
MV2014_Ratio H/L normalized B1___2 (30 min),,,
LY2019_P5-,,,0.543552630780406
HW2015_Ratio M/L normalized Exp2,,,
SR2019_HCC1419_Biol_repl_1,,,
AH2018_TMTMS2_3_X,,,0.5532507240621624
GF2025_P3_Adh,,,0.5379943565582554
SR2019_JIMT1_Biol_repl_2,,,
AH2018_TMTMS2_1_C,,,0.5599578244202339
RM2024_Intensity D0-1___2,,,
LY2019_P4+,,,0.541003791826423
KBE2022_Log2_Ex_19_U,,,
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,,,
RB2022_4_PostStrength,,,0.5440916693259492
LG2023_GSK3α-3_intensity,,,
YA2020_Reporter_intensity_Cancer_No.1,,,0.5286472624311029
AST2020_Control,,,
JAW2011_Ratio H/L LS1a,,,
RCJD2014_5min_mean,,0.425496919409019,0.5268591883409154
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,,
NJH2025_Sub1_MICT_Mid,,,
TM2022_S2.12h.C,,,
NJH2025_Sub9_MICT_Mid,,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,,,
AS2011_Ratio H/L Normalized Inhi_1_2,,,
FSO2013_Ratio M/L normalized Rep2___1,,,
LG2023_Control-2_intensity,,,
NJH2024_Sub8_HIIT_Pre,,,
KS2014_Intensity pY_N2,,,
RB2022_5_RecoverySprint,,,0.5324705828057754
RB2022_7_RecoverySprint,,,0.5577303734417056
YA2020_Reporter_intensity_Normal_No.3,,,0.5501802817288688
HS2024_8_B_T2,,,
AH2018_LFQ_1_X,,,0.5457802804242496
RM2024_Intensity D6-1___1,,,
RCJD2014_10min_2,,0.40301989004038746,0.5325389906553445
FR2021_Norm.Intensity.M,,,
RM2024_Intensity D0-3___1,,,
KS2014_Intensity N2,,,
HH2022_Reporter intensity 1,0.19181185428026823,,0.5391062953016778
HH2022_Reporter intensity 2,0.1966865692626709,,0.5386883439008348
RM2024_Intensity D6-2___2,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,,
RM2024_Intensity D2-3___2,,,
YA2020_Reporter_intensity_Normal_No.5,,,0.5478995682484307
SR2019_MCF7_Biol_repl_1,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,,
HS2024_8_B_T1,,,
NJH2025_Sub6_HIIT_Pre,,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,,
EP2017_Untreated R#2 log2 ratio,,,0.5069823573397831
SR2019_LM2_Biol_repl_3,,,
RB2022_4_RecoveryStrength,,,0.540411398357956
CR2017_Ratio Replicate 2,,,0.5475314971124211
CW2012_10 µM Erl/control Experiment 2 Replicate A,,,
FSO2013_Ratio H/M normalized Rep3,,,
AR2021_KD 72h,,0.4137782219570868,0.5214446567889454
MV2014_Ratio H/M normalized B2___3 (5 min),,,
KBE2022_Log2_Ex_18_U,,,0.5392970959745864
AS2011_Ratio H/L Inhi_1_1,,,
NJH2024_Sub8_MICT_Post,,,
AH2018_TMTMS3_3_C,,,0.5613052430579125
KBE2022_Log2_Ex_9_U,,,0.5342251023525169
AH2018_SILAC_M_3_N,,,0.5180107057733214
KBE2022_Log2_Ex_13_T,,,
RM2024_Intensity D0-3,,,
SR2019_SKBR3_Biol_repl_1,,,
PG2020_Intensity Mock_10h_C,,,
CF2017_OSE 29,,,0.5408548314237803
YB2013_Ratio_H_L_Normalized_in_experiment_1,,,
NJH2025_Sub1_HIIT_Post,,,
DL2023_24h-2,,,0.5373931066381792
HS2024_7_B_N2,,,
PG2020_Intensity 10h_A,,,
RN2012_L12,,,
MV2014_Ratio M/L normalized B1___3 (5 min),,,
NJH2024_Sub8_MICT_Mid,,,
AH2018_LFQ_IT_4_C,,,0.5344154276543667
SAS2015_PLX/AZD_Exp1,,,
FR2021_Norm.Intensity.A,,,
FSO2013_Ratio H/M normalized Rep1___1,,,
JW2015_Intensity cap2,,,
BS2014_Log2(Ratio H/L normalized Rep_2),,,0.5372008725237905
NJH2024_Sub6_MICT_Post,,,
CK2022_8 40-1,,,
RB2022_7_RecoveryEndurance,,,0.5394730109103688
NJH2025_Sub12_HIIT_Post,,,
EJN2021_4_Ex_Basal,,,
TM2022_S2.12h.B,,,
RN2012_L15,,,
KS2014_Intensity pY_PV3,,,
TM2022_S2.4h.B,,,
PG2020_Intensity 4h_A,,,
FSO2013_Ratio H/M normalized Rep2___2,,,
TM2022_mock.4h.B,,,
KBE2022_Log2_Ex_24_U,,,
NJH2025_Sub13_MICT_Mid,,,
KS2014_Intensity C3,,,0.5515864786408469
RB2022_1_PreSprint,,,
HS2024_4_I_N1,,,
CK2022_7 200-1,,,
CK2022_5 200-1,,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,,,
FSO2013_Ratio H/L normalized Rep2___1,,,
NJH2024_Sub10_HIIT_Mid,,,
RB2022_2_PostEndurance,,,
AH2018_LFQ_2_C,,,0.5196751718638717
AH2018_SILAC_MR_1_X,,,0.5361641022320178
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,,
IMM2018_normalised rep. int. Empty-2,,,
RM2024_Intensity D4-1,,,
KBE2022_Log2_Ex_25_U,,,
AH2018_SILAC_3_C,,,0.5344474748366809
EJN2021_5_Rest_Ins,,,
VOI2024_0.1uM 24 h_3 di,,,
RNJ2017_Log2_ratio_Tstim:Trest_D3,,,
DB2022_LFQ intensity L2.1,,,
FSO2013_Ratio H/M normalized Rep1,,,
CK2022_4 16-1,,,
AS2011_Ratio H/L,,,
SR2019_MCF7_Biol_repl_4,,,
EJN2021_2_Ex_Ins,,,
AS2011_Ratio H/L Inhi_2_3,,,
JAW2011_Ratio H/L LS1a_1,,,
AH2018_LFQ_1_N,,,0.5367487171987576
SAS2015_PLX/DMSO_Exp1,,,
SFR2015_HL_log2_ratio_avg_c,,,
JJ2018_Ratio M/L normalized pP2,,,
NJH2024_Sub7_MICT_Mid,,,
PG2020_Intensity 6h_B,,,0.5199067736676353
FSO2013_Ratio H/L normalized Rep3,,,
GRW2016_Ratio H/L normalized SILAC 2___2,,,
RKK2015_IKKb(K44M)+TNF-α/TNF-α,,,
JJ2018_Ratio M/L normalized,,,
KTGR2014_Ratio-AA 30 mins,,,
JW2021_After_1,,,
NJH2025_Sub2_MICT_Mid,,,
HS2024_6_B_N2,,,
KBE2022_Log2_Ex_9_T,,,0.5328669912037317
AH2018_SILAC_IT_2_N,,,0.5166432077934138
AH2018_SILAC_IT_1_X,,,0.5292141505389923
HW2015_Ratio H/L normalized Exp3,,,
HS2024_7_PD_T1,,,
UK2020_UA_2,,,
RM2024_Intensity D2-1___1,,,
GF2025_P10_Sph,,,0.5425872030354422
