DatasetName,CCNK_S(11) CCNK_S(3) CCNK_S(321) CCNK_S(324) CCNK_S(328) CCNK_S(329) CCNK_S(340) CCNK_S(8) CCNK_S(9),CCNK_S(22) CCNK_S(23) CCNK_S(5) CCNK_S(6)
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,0.5218060853522889,0.40141009218866935
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,0.569336958156337,
KBE2022_Log2_Ex_34_U,0.5788077555113365,
WZ2023_Pu_005_10min,0.5274117825372019,0.3989326399822448
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,0.574649084231979,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,0.5425862107658959,
AH2018_SILAC_MR_2_X,0.5645369290945658,
HS2024_4_PD_T2,,
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,0.5361382481817015,
FR2021_Norm.Intensity.B,,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,
RB2022_5_PostSprint,0.5419030006669419,
EJN2021_3_Rest_Basal,,
CR2017_Ratio Replicate 1.3,0.5600142516348601,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,0.5477123345437824,
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,0.5522589427542203,
HS2024_7_PD_T2,,
FSO2013_Ratio H/L normalized Rep1___1,,
AH2018_LFQ_1_C,0.5555989554794976,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,0.5790967332264038,
HS2024_3_B_N1,,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,0.5332612743612981,0.3976013144590293
CK2022_11 40-1,0.576638255276405,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,0.5527283533323882,
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,0.5576849185940814,
FSO2013_Ratio H/L normalized Rep2,,
WZ2023_Pu_005_20min,0.5557108121503455,0.39210487165076807
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,0.5469516770091478,
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,0.5638410257913732,
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,,
HS2024_9_B_T2,,
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,,
FSO2013_Ratio M/L normalized Rep3___2,,
SR2019_BT549_Biol_repl_3,0.5391243883516108,
RCJD2014_20min_mean,,
FR2021_Norm.Intensity.H,,
RB2022_2_PreStrength,,
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,0.5649813363537514,
CK2022_1 200-1,0.6001299057644774,
PG2020_Intensity Mock_10h_D,0.5541211910978635,
SR2019_MCF10A_Biol_repl_2,0.5430612793597374,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,
RB2022_6_RecoveryEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,0.5011532640366355,
RCJD2014_5min_1,,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,,
SAS2015_PLX/AZD_Exp2,,
CR2017_Ratio Replicate 3.3,0.5457293423731201,
PG2020_Intensity 2h_C,0.5427382906908853,
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,0.666375789829699,
KBE2022_Log2_Ex_8_T,0.5781725991124232,
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,,
RN2012_L11,0.495446599776056,
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,,
HS2024_5_PD_T1,,
AH2018_LFQ_M_2_C,0.5582555938353183,
CK2022_3 40-1,0.5654770395006886,
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,,
YA2020_Reporter_intensity_Cancer_No.5,0.5688443664777116,
HH2022_Reporter intensity 8,,
ZQ2022_N2,0.5113131836414418,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,0.6243730391546269,
EJN2021_5_Rest_Basal,,
NJH2025_Sub2_HIIT_Post,,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,0.5468444512906576,
YA2020_Reporter_intensity_Normal_No.1,0.5527461266221647,
HS2024_3_B_T1,,
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,0.5325182016026406,
RB2022_1_PostEndurance,,
CR2017_Ratio Replicate 3,0.5579944042531908,
SR2019_Hs578T_Biol_repl_3,0.5383879196837296,
MV2014_Ratio L/H normalized B3___1 (5 min),,
RBK2021_1244T Early,,
RB2022_3_PostSprint,0.5500457983949629,
NJH2024_Sub13_MICT_Mid,,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,0.5401486995370155,
HS2024_8_I_T3,,
CF2017_EOC 3,0.5628209181452735,
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,
HS2024_6_PD_T3,,
DL2023_12h-2,,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,,
WZ2023_Pu_010_20min,0.5364609183049773,0.39880674420796514
AS2011_Ratio H/L_3,,
CK2022_1 40-1,0.5665472929438763,
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,0.5640461298057357,
KS2014_Intensity N3,0.5080307105291458,
RB2022_4_RecoveryEndurance,0.5381683779319713,
RB2022_5_RecoveryEndurance,0.542973408981517,
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,0.5480396516190413,
FSO2013_Ratio H/M normalized Rep2,,
RAM2015_Log2 A,0.5583714359487171,
HS2024_8_PD_T1,,
JJ2018_Ratio H/L normalized pP2,,
CF2017_OSE 27,0.5232632571338471,
KS2014_Intensity E15_2,0.5416274278963181,
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,0.5354585048922069,
HS2024_7_I_T1,,
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,,
SR2019_JIMT1_Biol_repl_1,,
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,,
AH2018_SILAC_M_3_X,0.5483551726175212,
NJH2024_Sub9_HIIT_Post,,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,0.5800258209751277,
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,0.5602111927435406,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,0.5450409319894965,
NJH2025_Sub4_MICT_Mid,,
YP2020_Intensity C30_R1_mult_log2,,
AST2020_anti-CD3.1,0.567624511764061,
NJH2025_Sub4_HIIT_Post,,
EP2017_Untreated R#4 log2 ratio,0.5872874985609672,
HS2024_6_B_N1,,
KBE2022_Log2_Ex_27_T,0.5706678018321036,
CW2012_10 µM Gef/control Experiment 1 Replicate A,,
VOI2024_0.1uM 24 h_1 mono,,
AMK2021_120R_p5,,
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),0.5608481684620796,0.4065098733983864
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,0.5377451677471048,
AH2018_SILAC_IT_3_X,0.5496628599922865,
JAW2011_Ratio H/L,,
PG2020_Intensity 10h_C,0.5380015130600582,
FSO2013_Ratio M/L normalized Rep2,,
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,,
SR2019_HCC1954_Biol_repl_2,0.5301721321954111,
CK2022_14 40-1,0.572770530077784,
RB2022_6_PreSprint,,
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,0.5304734187806512,
NJH2025_Sub2_MICT_Post,,
AH2018_LFQ_4_C,0.5535128603907504,
DL2023_control-1,,
AR2021_ALG 10 μM,0.5048492366223281,
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,0.5471449935196456,
EJN2021_4_Rest_Ins,,
RN2012_H05,0.5428977841321027,
NJH2024_Sub7_HIIT_Mid,,
GF2025_P2_Adh,0.5368737239751976,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,0.5035412982382659,
EJN2021_1_Rest_Ins,,
HH2022_Reporter intensity 3,0.5607501961145143,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,0.5479309415665798,
JW2021_After_3,,
GF2025_P8_Sph,0.5351931266567163,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,,
AH2018_SILAC_2_N,0.5517629311880135,
CK2022_11 200-1,0.610579241280852,
CK2022_12 200-1,0.6148976070078532,
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,0.5459706468789746,
WZ2023_Su_010_20min,0.5499212543677396,0.3900845073034994
AH2018_TMTMS2_2_N,0.521569666135782,
NJH2024_Sub13_MICT_Pre,,
KBE2022_Log2_Ex_41_U,0.5834215457402594,
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),0.5554184200346703,0.3668203604173092
AH2018_TMTMS3_Pool,0.6228211099506065,
KS2014_Intensity N4,0.5138543605911271,
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,,
RM2024_Intensity D4-2___2,,
NJH2024_Sub13_HIIT_Pre,,
CF2017_OSE 26,0.5395346392594957,
CK2022_14 200-1,0.6126106136528705,
SR2019_Hs578T_Biol_repl_1,0.5371070424491534,
RB2022_7_PostSprint,0.540304140938518,
TM2022_mock.4h.A,,
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,0.6132785403236858,
AST2020_anti-CD3+PDL2.2,0.5693805320863963,
PG2020_Intensity Mock_10h_A,0.5519221213373259,
JW2021_After_2,,
NJH2024_Sub2_MICT_Post,,
EJN2021_2_Rest_Ins,,
SR2019_LM2_Biol_repl_4,,
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,,
CK2022_13 16-1,0.5726487842249207,
GF2025_P1_Adh,0.5483494392307912,
GF2025_P1_Sph,0.5176229295905564,
EJN2021_5_Ex_Basal,,
HS2024_7_I_T3,,
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,0.5260130195560795,0.39561727784512857
CF2017_EOC 1,0.5362880244645801,
CK2022_3 200-1,0.6002380614992904,
AH2018_LFQ_IT_3_C,0.5532309598823499,
SR2019_Hs578T_Biol_repl_2,0.5300380737391034,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,,
NJH2024_Sub13_MICT_Post,,
BS2014_Log2(Ratio H/L normalized Rep_1),,
RB2022_3_RecoverySprint,0.554876615018735,
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,
HS2024_6_PD_T2,,
HS2024_5_B_T1,,
CW2012_10 µM Gef/control Experiment 2 Replicate A,,
DL2023_12h-3,,
SR2019_MDAMB231_Biol_repl_2,,
HS2024_3_B_T2,,
RB2022_6_PreStrength,,
CK2022_2 40-1,0.5651721575667722,
RB2022_1_PostSprint,,
CK2022_4 200-1,0.5989478429554618,
JW2021_Before_2,,
TM2022_S2.12h.A,,
MV2014_Ratio L/M normalized B2___2 (30 min),,
CK2022_5 16-1,0.5616059955267536,
AR2021_ALG 1 μM,0.5228107676622356,
HS2024_4_B_T1,,
MV2014_Ratio M/H normalized A3___1 (10 min),,
SR2019_BT549_Biol_repl_4,0.5332650371339563,
EJN2021_1_Rest_Basal,,
NJH2025_Sub8_MICT_Post,,
RCJD2014_5min_3,,
CR2017_Ratio Replicate 3.2,0.5478990120594168,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,
GF2025_P7_Adh,0.5467305138005684,
CK2022_9 16-1,0.575452904682555,
NJH2024_Sub6_HIIT_Post,,
AMK2021_30R_p3,,
AS2011_Ratio H/L Normalized RNAi_2,,
RM2024_Intensity D0-2___2,,
KS2014_Intensity pY_N4,,
CK2022_13 200-1,0.6112239519934402,
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,0.5471267762322678,
CK2022_16 16-1,0.5760398810203111,
FS2019_db/db3,,
CK2022_15 40-1,0.5726672752501405,
NJH2024_Sub9_MICT_Pre,,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,0.5467683674308397,0.38393004735384856
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,0.5850856364915451,
AMK2021_Ctrl_p1,,
AH2018_LFQ_IT_3_X,0.5527212884281977,
HS2024_5_PD_T3,,
AH2018_TMTMS3_3_X,0.6247563280147062,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,
KBE2022_Log2_Ex_40_U,0.5809333222943818,
AH2018_LFQ_M_1_N,0.5507506828322587,
KBE2022_Log2_Ex_27_U,0.5717108373636897,
HW2015_Ratio M/L normalized Exp3,,
RKK2015_TNF-α/IKKb(K44M),,
AH2018_SILAC_M_1_N,0.5486375135713484,
HW2015_Ratio M/L normalized Exp1,,
RB2022_5_RecoveryStrength,0.5376446722496152,
YP2020_Intensity P10_R1_mult_log2,,
RB2022_7_PreStrength,0.5242812192312135,
YA2020_Reporter_intensity_Normal_No.4,0.5462304190273438,
NJH2025_Sub13_HIIT_Pre,,
PG2020_Intensity CT_D,0.5554949666065162,
NJH2025_Sub9_MICT_Post,,
VOI2024_Veh1 mono,,
CK2022_12 16-1,0.5794972810719248,
RN2012_L13,0.5428868522018714,
LG2023_Control-1_intensity,,
RM2024_Intensity D6-3___2,,
KBE2022_Log2_Ex_8_U,0.584853177985091,
SR2019_SKBR3_Biol_repl_3,,
NJH2024_Sub1_MICT_Post,,
HS2024_3_I_T2,,
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,
RM2024_Intensity D0-3___3,,
HS2024_6_I_T2,,
CW2012_10 µM Erl/control Experiment 2 Replicate B,,
AS2011_Ratio H/L Protein Inhi_1,,
FSO2013_Ratio H/M normalized Rep2___1,,
GRW2016_Ratio M/L normalized SILAC 5a___2,,
CK2022_10 40-1,0.573380039931449,
NJH2024_Sub12_HIIT_Pre,,
NJH2024_Sub8_MICT_Pre,,
RM2024_Intensity D0-1___1,,
LY2019_P3+,0.5419335089800517,
HH2022_Reporter intensity 6,0.5467365342426951,
RB2022_2_RecoveryStrength,,
KTGR2014_Ratio-AA 15 mins,,
AS2011_Ratio H/L Normalized RNAi_2_2,,
KS2014_Intensity pY_N3,,
MV2014_Ratio H/L normalized B1___2 (30 min),,
LY2019_P5-,0.5550167326853179,
HW2015_Ratio M/L normalized Exp2,,
SR2019_HCC1419_Biol_repl_1,0.5450021719956912,
AH2018_TMTMS2_3_X,0.5223391902831667,
GF2025_P3_Adh,0.5106690572221866,
SR2019_JIMT1_Biol_repl_2,0.5393011817635087,
AH2018_TMTMS2_1_C,0.527243867884247,
RM2024_Intensity D0-1___2,,
LY2019_P4+,0.5210752119426414,
KBE2022_Log2_Ex_19_U,0.5850585733837871,
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,,
RB2022_4_PostStrength,0.543626228184889,
LG2023_GSK3α-3_intensity,,
YA2020_Reporter_intensity_Cancer_No.1,0.5707490723904243,
AST2020_Control,0.5698174155890897,
JAW2011_Ratio H/L LS1a,,
RCJD2014_5min_mean,,
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,
NJH2025_Sub1_MICT_Mid,,
TM2022_S2.12h.C,,
NJH2025_Sub9_MICT_Mid,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,,
AS2011_Ratio H/L Normalized Inhi_1_2,,
FSO2013_Ratio M/L normalized Rep2___1,,
LG2023_Control-2_intensity,,
NJH2024_Sub8_HIIT_Pre,,
KS2014_Intensity pY_N2,,
RB2022_5_RecoverySprint,0.5556761744890019,
RB2022_7_RecoverySprint,0.5496611057648817,
YA2020_Reporter_intensity_Normal_No.3,0.5581101353241629,
HS2024_8_B_T2,,
AH2018_LFQ_1_X,0.5511278694174835,
RM2024_Intensity D6-1___1,,
RCJD2014_10min_2,,
FR2021_Norm.Intensity.M,,
RM2024_Intensity D0-3___1,,
KS2014_Intensity N2,0.48805344476481527,
HH2022_Reporter intensity 1,0.5603441103064454,
HH2022_Reporter intensity 2,0.5603272056182433,
RM2024_Intensity D6-2___2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,
RM2024_Intensity D2-3___2,,
YA2020_Reporter_intensity_Normal_No.5,0.550030061379675,
SR2019_MCF7_Biol_repl_1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,
HS2024_8_B_T1,,
NJH2025_Sub6_HIIT_Pre,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,
EP2017_Untreated R#2 log2 ratio,0.6089269371070374,
SR2019_LM2_Biol_repl_3,,
RB2022_4_RecoveryStrength,0.5252937077197231,
CR2017_Ratio Replicate 2,0.5510910343824482,
CW2012_10 µM Erl/control Experiment 2 Replicate A,,
FSO2013_Ratio H/M normalized Rep3,,
AR2021_KD 72h,0.5907041341195374,
MV2014_Ratio H/M normalized B2___3 (5 min),,
KBE2022_Log2_Ex_18_U,0.5597092030724294,
AS2011_Ratio H/L Inhi_1_1,,
NJH2024_Sub8_MICT_Post,,
AH2018_TMTMS3_3_C,0.6190365511591384,
KBE2022_Log2_Ex_9_U,0.5604865935308913,
AH2018_SILAC_M_3_N,0.5475368380469653,
KBE2022_Log2_Ex_13_T,0.5718469883764622,
RM2024_Intensity D0-3,,
SR2019_SKBR3_Biol_repl_1,,
PG2020_Intensity Mock_10h_C,0.555243679652937,
CF2017_OSE 29,0.5423240658200816,
YB2013_Ratio_H_L_Normalized_in_experiment_1,,
NJH2025_Sub1_HIIT_Post,,
DL2023_24h-2,,
HS2024_7_B_N2,,
PG2020_Intensity 10h_A,0.5284726273741617,
RN2012_L12,0.5305439380343384,
MV2014_Ratio M/L normalized B1___3 (5 min),,
NJH2024_Sub8_MICT_Mid,,
AH2018_LFQ_IT_4_C,0.5477814724584517,
SAS2015_PLX/AZD_Exp1,,
FR2021_Norm.Intensity.A,,
FSO2013_Ratio H/M normalized Rep1___1,,
JW2015_Intensity cap2,,
BS2014_Log2(Ratio H/L normalized Rep_2),,
NJH2024_Sub6_MICT_Post,,
CK2022_8 40-1,0.5661459617591658,
RB2022_7_RecoveryEndurance,0.5443222010159512,
NJH2025_Sub12_HIIT_Post,,
EJN2021_4_Ex_Basal,,
TM2022_S2.12h.B,,
RN2012_L15,0.5400556188599934,
KS2014_Intensity pY_PV3,,
TM2022_S2.4h.B,,
PG2020_Intensity 4h_A,0.5498117930656026,
FSO2013_Ratio H/M normalized Rep2___2,,
TM2022_mock.4h.B,,
KBE2022_Log2_Ex_24_U,0.5821795097783146,
NJH2025_Sub13_MICT_Mid,,
KS2014_Intensity C3,0.5400226675202379,
RB2022_1_PreSprint,,
HS2024_4_I_N1,,
CK2022_7 200-1,0.5958891154810989,
CK2022_5 200-1,0.5988455436963509,
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,,
FSO2013_Ratio H/L normalized Rep2___1,,
NJH2024_Sub10_HIIT_Mid,,
RB2022_2_PostEndurance,,
AH2018_LFQ_2_C,0.5580273419401199,
AH2018_SILAC_MR_1_X,0.5663476300943509,
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,
IMM2018_normalised rep. int. Empty-2,,
RM2024_Intensity D4-1,,
KBE2022_Log2_Ex_25_U,0.5908780835676885,
AH2018_SILAC_3_C,0.5477987460930085,
EJN2021_5_Rest_Ins,,
VOI2024_0.1uM 24 h_3 di,,
RNJ2017_Log2_ratio_Tstim:Trest_D3,,
DB2022_LFQ intensity L2.1,,
FSO2013_Ratio H/M normalized Rep1,,
CK2022_4 16-1,0.5630764513828062,
AS2011_Ratio H/L,,
SR2019_MCF7_Biol_repl_4,,
EJN2021_2_Ex_Ins,,
AS2011_Ratio H/L Inhi_2_3,,
JAW2011_Ratio H/L LS1a_1,,
AH2018_LFQ_1_N,0.5506005444697233,
SAS2015_PLX/DMSO_Exp1,,
SFR2015_HL_log2_ratio_avg_c,,
JJ2018_Ratio M/L normalized pP2,,
NJH2024_Sub7_MICT_Mid,,
PG2020_Intensity 6h_B,0.5328226194231334,
FSO2013_Ratio H/L normalized Rep3,,
GRW2016_Ratio H/L normalized SILAC 2___2,,
RKK2015_IKKb(K44M)+TNF-α/TNF-α,,
JJ2018_Ratio M/L normalized,,
KTGR2014_Ratio-AA 30 mins,,
JW2021_After_1,,
NJH2025_Sub2_MICT_Mid,,
HS2024_6_B_N2,,
KBE2022_Log2_Ex_9_T,0.5610576211491431,
AH2018_SILAC_IT_2_N,0.5479655225484006,
AH2018_SILAC_IT_1_X,0.5509536318712058,
HW2015_Ratio H/L normalized Exp3,,
HS2024_7_PD_T1,,
UK2020_UA_2,,
RM2024_Intensity D2-1___1,,
GF2025_P10_Sph,0.5139893112443511,
WZ2023_Pe_025_20min,0.5401084827589125,0.40549917537205343
JVO2010_Log2 Ratio M/L Normalized aphidicolin,,
AH2018_LFQ_2_N,0.5512500095028902,
HS2024_4_I_N2,,
AH2018_TMTMS2_3_N,0.5203415323776449,
RN2012_H06,0.540039468047763,
AS2011_Inhi 1_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
HS2024_4_PD_T3,,
WZ2023_Su_005_30min,0.5369854797267629,0.4126510103385139
SR2019_HCC1419_Biol_repl_4,0.5401767649119001,
JJ2018_Ratio H/M normalized___2,,
SR2019_JIMT1_Biol_repl_3,0.5412968061567095,
AS2011_Ratio H/L Protein,,
UK2020_HCM_3,,
NJH2024_Sub10_HIIT_Post,,
CR2017_Ratio Replicate 3.1,0.5607930052371457,
WZ2023_Su_025_10min,0.5420383819175993,0.38293557294442265
