DatasetName,PI4K2A_M(5) PI4K2A_S(10) PI4K2A_S(460) PI4K2A_S(464) PI4K2A_S(468) PI4K2A_S(5) PI4K2A_S(7) PI4K2A_S(9) PI4K2A_T(4) PI4K2A_T(466),PI4K2A_S(1099) PI4K2A_S(37) PI4K2A_S(44) PI4K2A_S(459) PI4K2A_S(461) PI4K2A_S(462) PI4K2A_S(47) PI4K2A_S(51)
RCJD2014_5min_3,,
CR2017_Ratio Replicate 3.2,0.46811606300165043,0.5975841840636931
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,0.47996898845326746,
GF2025_P7_Adh,0.46839323431650115,0.5950428895609632
CK2022_9 16-1,,0.5932431787904676
NJH2024_Sub6_HIIT_Post,,
AMK2021_30R_p3,,
AS2011_Ratio H/L Normalized RNAi_2,,
RM2024_Intensity D0-2___2,,
KS2014_Intensity pY_N4,,
CK2022_13 200-1,,0.62585797317463
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,0.4295711320208763,0.5721831247229738
CK2022_16 16-1,,0.5875481974228638
FS2019_db/db3,,
CK2022_15 40-1,,0.5889853059895549
NJH2024_Sub9_MICT_Pre,,0.5817996225063393
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,0.439891846890454,0.6050627195937076
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,,0.6077457201009321
AMK2021_Ctrl_p1,,
AH2018_LFQ_IT_3_X,0.45954975411166304,0.6101222407638583
HS2024_5_PD_T3,,0.5738479653800515
AH2018_TMTMS3_3_X,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,0.4714794102174375,
KBE2022_Log2_Ex_40_U,,0.6487763845456551
AH2018_LFQ_M_1_N,0.4802672774578086,
KBE2022_Log2_Ex_27_U,,0.6403229817742094
HW2015_Ratio M/L normalized Exp3,,0.5844016815682027
RKK2015_TNF-α/IKKb(K44M),,0.5948297026591528
AH2018_SILAC_M_1_N,0.4487755293580589,0.6085777565490833
HW2015_Ratio M/L normalized Exp1,,0.6132854082077925
RB2022_5_RecoveryStrength,,0.5776264055999816
YP2020_Intensity P10_R1_mult_log2,,0.591984718171364
RB2022_7_PreStrength,,
YA2020_Reporter_intensity_Normal_No.4,,0.5811601129372738
NJH2025_Sub13_HIIT_Pre,,0.5875902629356387
PG2020_Intensity CT_D,,0.5466556806979719
NJH2025_Sub9_MICT_Post,,0.5823421852611954
VOI2024_Veh1 mono,,
CK2022_12 16-1,,0.5942877748809396
RN2012_L13,,0.5766162140079836
LG2023_Control-1_intensity,,
RM2024_Intensity D6-3___2,,
KBE2022_Log2_Ex_8_U,,0.6261516097968459
SR2019_SKBR3_Biol_repl_3,,
NJH2024_Sub1_MICT_Post,,
HS2024_3_I_T2,,0.6113134480277732
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,
RM2024_Intensity D0-3___3,,0.5908125746366151
HS2024_6_I_T2,,0.594166672869498
CW2012_10 µM Erl/control Experiment 2 Replicate B,,
AS2011_Ratio H/L Protein Inhi_1,,
FSO2013_Ratio H/M normalized Rep2___1,,0.568449376994794
GRW2016_Ratio M/L normalized SILAC 5a___2,,
CK2022_10 40-1,,0.5925130353834577
NJH2024_Sub12_HIIT_Pre,,0.5839299457495223
NJH2024_Sub8_MICT_Pre,,0.5614102795884953
RM2024_Intensity D0-1___1,,0.5977056274403624
LY2019_P3+,,0.6358240704473027
HH2022_Reporter intensity 6,,0.5790066020020885
RB2022_2_RecoveryStrength,,
KTGR2014_Ratio-AA 15 mins,,0.5875932945072522
AS2011_Ratio H/L Normalized RNAi_2_2,,
KS2014_Intensity pY_N3,,
MV2014_Ratio H/L normalized B1___2 (30 min),,
LY2019_P5-,,0.4710538722208136
HW2015_Ratio M/L normalized Exp2,,0.5946425627261986
SR2019_HCC1419_Biol_repl_1,,0.5851827604145586
AH2018_TMTMS2_3_X,,
GF2025_P3_Adh,0.46438270738452836,0.5576599754724128
SR2019_JIMT1_Biol_repl_2,,0.6092353720035488
AH2018_TMTMS2_1_C,,
RM2024_Intensity D0-1___2,,
LY2019_P4+,,0.5848139342868011
KBE2022_Log2_Ex_19_U,,0.6597742438199456
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,,0.610012017274159
RB2022_4_PostStrength,,0.588712204680438
LG2023_GSK3α-3_intensity,,
YA2020_Reporter_intensity_Cancer_No.1,,0.5813203848525101
AST2020_Control,,0.6471641430896091
JAW2011_Ratio H/L LS1a,,
RCJD2014_5min_mean,,
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,
NJH2025_Sub1_MICT_Mid,,
TM2022_S2.12h.C,,
NJH2025_Sub9_MICT_Mid,,0.5822887789325226
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,,0.6080455170204718
AS2011_Ratio H/L Normalized Inhi_1_2,,
FSO2013_Ratio M/L normalized Rep2___1,,0.5901903781001332
LG2023_Control-2_intensity,,
NJH2024_Sub8_HIIT_Pre,,0.5622371530446194
KS2014_Intensity pY_N2,,
RB2022_5_RecoverySprint,,0.5617712162925814
RB2022_7_RecoverySprint,,0.5898024970325526
YA2020_Reporter_intensity_Normal_No.3,,0.5835324556925867
HS2024_8_B_T2,0.47156133040423187,0.5780183016222556
AH2018_LFQ_1_X,0.4722121018712754,0.6175677516100622
RM2024_Intensity D6-1___1,,
RCJD2014_10min_2,,
FR2021_Norm.Intensity.M,,0.596106193308993
RM2024_Intensity D0-3___1,,
KS2014_Intensity N2,0.4808212526263752,
HH2022_Reporter intensity 1,,0.6009201866429793
HH2022_Reporter intensity 2,,0.6020879851549328
RM2024_Intensity D6-2___2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,0.4846555616858549,0.5787075284206848
RM2024_Intensity D2-3___2,,
YA2020_Reporter_intensity_Normal_No.5,,0.5753007054941395
SR2019_MCF7_Biol_repl_1,,0.5746667068013909
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,0.4845909424553028,
HS2024_8_B_T1,,0.55984566870631
NJH2025_Sub6_HIIT_Pre,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,
EP2017_Untreated R#2 log2 ratio,,0.5691869557246401
SR2019_LM2_Biol_repl_3,,0.5858025462089982
RB2022_4_RecoveryStrength,,0.5637216823618901
CR2017_Ratio Replicate 2,0.473790730486075,0.6128443157355825
CW2012_10 µM Erl/control Experiment 2 Replicate A,,
FSO2013_Ratio H/M normalized Rep3,,0.5940703740655036
AR2021_KD 72h,0.46450390958438925,0.5825335373472188
MV2014_Ratio H/M normalized B2___3 (5 min),,
KBE2022_Log2_Ex_18_U,,0.6380462944058463
AS2011_Ratio H/L Inhi_1_1,,
NJH2024_Sub8_MICT_Post,,0.5664400883685492
AH2018_TMTMS3_3_C,,
KBE2022_Log2_Ex_9_U,,0.6354711285569694
AH2018_SILAC_M_3_N,,
KBE2022_Log2_Ex_13_T,,0.6393297563448301
RM2024_Intensity D0-3,,0.591245035202608
SR2019_SKBR3_Biol_repl_1,,
PG2020_Intensity Mock_10h_C,,0.5460135682019963
CF2017_OSE 29,0.4751791646149922,0.5547106594773495
YB2013_Ratio_H_L_Normalized_in_experiment_1,,
NJH2025_Sub1_HIIT_Post,,
DL2023_24h-2,0.4625511679202168,0.6179877269391316
HS2024_7_B_N2,,0.553604327536861
PG2020_Intensity 10h_A,,0.5853599104799259
RN2012_L12,,0.568330678155544
MV2014_Ratio M/L normalized B1___3 (5 min),,
NJH2024_Sub8_MICT_Mid,,0.5660174862172304
AH2018_LFQ_IT_4_C,,
SAS2015_PLX/AZD_Exp1,,0.5957081248548446
FR2021_Norm.Intensity.A,,0.6012173056638274
FSO2013_Ratio H/M normalized Rep1___1,,0.5681367871761248
JW2015_Intensity cap2,,
BS2014_Log2(Ratio H/L normalized Rep_2),,0.5718860083268693
NJH2024_Sub6_MICT_Post,,
CK2022_8 40-1,,0.5893689804924795
RB2022_7_RecoveryEndurance,,
NJH2025_Sub12_HIIT_Post,,0.5851242092989736
EJN2021_4_Ex_Basal,,0.5608219524427601
TM2022_S2.12h.B,,
RN2012_L15,,0.5637007562292278
KS2014_Intensity pY_PV3,,
TM2022_S2.4h.B,,
