DatasetName,NSRP1_S(146) NSRP1_S(214) NSRP1_S(248) NSRP1_S(253) NSRP1_S(254) NSRP1_S(255) NSRP1_S(275) NSRP1_S(291) NSRP1_S(33) NSRP1_S(446) NSRP1_S(457) NSRP1_S(846) NSRP1_T(223) NSRP1_T(275) NSRP1_T(503) NSRP1_Y(103),NSRP1_S(1104) NSRP1_S(27) NSRP1_S(289) NSRP1_S(293) NSRP1_T(1088) NSRP1_T(39) NSRP1_Y(8)
AH2018_LFQ_M_1_N,,0.6441551222110077
KBE2022_Log2_Ex_27_U,,
HW2015_Ratio M/L normalized Exp3,,
RKK2015_TNF-α/IKKb(K44M),0.49743856724231295,
AH2018_SILAC_M_1_N,,
HW2015_Ratio M/L normalized Exp1,,
RB2022_5_RecoveryStrength,,
YP2020_Intensity P10_R1_mult_log2,,0.6407479630455798
RB2022_7_PreStrength,,
YA2020_Reporter_intensity_Normal_No.4,,
NJH2025_Sub13_HIIT_Pre,0.48533401460337594,
PG2020_Intensity CT_D,0.47728634445647317,
NJH2025_Sub9_MICT_Post,0.4842378651841627,
VOI2024_Veh1 mono,,
CK2022_12 16-1,0.4845465936006406,
RN2012_L13,0.48712667363969675,
LG2023_Control-1_intensity,,
RM2024_Intensity D6-3___2,,
KBE2022_Log2_Ex_8_U,,
SR2019_SKBR3_Biol_repl_3,0.48021401218670373,
NJH2024_Sub1_MICT_Post,,
HS2024_3_I_T2,0.490615673146227,
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,
RM2024_Intensity D0-3___3,,
HS2024_6_I_T2,0.48817908376389507,
CW2012_10 µM Erl/control Experiment 2 Replicate B,0.489835849854561,0.6296210733284539
AS2011_Ratio H/L Protein Inhi_1,,
FSO2013_Ratio H/M normalized Rep2___1,0.49181599739932036,
GRW2016_Ratio M/L normalized SILAC 5a___2,,
CK2022_10 40-1,0.4936069261501096,
NJH2024_Sub12_HIIT_Pre,,
NJH2024_Sub8_MICT_Pre,0.48505475006064885,
RM2024_Intensity D0-1___1,,
LY2019_P3+,0.5005171946538549,
HH2022_Reporter intensity 6,,
RB2022_2_RecoveryStrength,,
KTGR2014_Ratio-AA 15 mins,0.47947335394454144,
AS2011_Ratio H/L Normalized RNAi_2_2,,
KS2014_Intensity pY_N3,,
MV2014_Ratio H/L normalized B1___2 (30 min),,
LY2019_P5-,0.4888748338943213,
HW2015_Ratio M/L normalized Exp2,,
SR2019_HCC1419_Biol_repl_1,,
AH2018_TMTMS2_3_X,,
GF2025_P3_Adh,0.49266622392984255,
SR2019_JIMT1_Biol_repl_2,0.4878884706539896,
AH2018_TMTMS2_1_C,,
RM2024_Intensity D0-1___2,,
LY2019_P4+,0.48473428865004214,
KBE2022_Log2_Ex_19_U,,
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,,
RB2022_4_PostStrength,,
LG2023_GSK3α-3_intensity,,
YA2020_Reporter_intensity_Cancer_No.1,,
AST2020_Control,0.48342252937437896,
JAW2011_Ratio H/L LS1a,,
RCJD2014_5min_mean,0.4806102041521686,
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,
NJH2025_Sub1_MICT_Mid,,
TM2022_S2.12h.C,,
NJH2025_Sub9_MICT_Mid,0.4841348822559658,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,,
AS2011_Ratio H/L Normalized Inhi_1_2,,
FSO2013_Ratio M/L normalized Rep2___1,0.4907787684865805,
LG2023_Control-2_intensity,,
NJH2024_Sub8_HIIT_Pre,0.4847617716950469,
KS2014_Intensity pY_N2,,
RB2022_5_RecoverySprint,,
RB2022_7_RecoverySprint,,
YA2020_Reporter_intensity_Normal_No.3,,
HS2024_8_B_T2,0.47807882801068047,
AH2018_LFQ_1_X,,
RM2024_Intensity D6-1___1,,
RCJD2014_10min_2,0.4761470920503392,
FR2021_Norm.Intensity.M,0.4827595154413714,
RM2024_Intensity D0-3___1,,
KS2014_Intensity N2,0.4829806734734847,
HH2022_Reporter intensity 1,0.4906217696311167,
HH2022_Reporter intensity 2,0.49002435118705323,
RM2024_Intensity D6-2___2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,
RM2024_Intensity D2-3___2,,
YA2020_Reporter_intensity_Normal_No.5,,
SR2019_MCF7_Biol_repl_1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,
HS2024_8_B_T1,0.5053215283879722,
NJH2025_Sub6_HIIT_Pre,0.48379335791079525,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,
EP2017_Untreated R#2 log2 ratio,0.4718454887337943,0.6447125753440923
SR2019_LM2_Biol_repl_3,,
RB2022_4_RecoveryStrength,,
CR2017_Ratio Replicate 2,0.5107249922670428,
CW2012_10 µM Erl/control Experiment 2 Replicate A,0.4951930763554508,0.6299674549386215
FSO2013_Ratio H/M normalized Rep3,0.501185144815809,
AR2021_KD 72h,0.4939475939620036,
MV2014_Ratio H/M normalized B2___3 (5 min),,
KBE2022_Log2_Ex_18_U,,
AS2011_Ratio H/L Inhi_1_1,,
NJH2024_Sub8_MICT_Post,0.4839398700190986,
AH2018_TMTMS3_3_C,0.4792221182007258,
KBE2022_Log2_Ex_9_U,,
AH2018_SILAC_M_3_N,,
KBE2022_Log2_Ex_13_T,,
RM2024_Intensity D0-3,,
SR2019_SKBR3_Biol_repl_1,0.4807107803060965,
PG2020_Intensity Mock_10h_C,0.49723617520321645,
CF2017_OSE 29,0.4895786497893255,
YB2013_Ratio_H_L_Normalized_in_experiment_1,0.4758743773580181,
NJH2025_Sub1_HIIT_Post,,
DL2023_24h-2,0.4918005903296795,
HS2024_7_B_N2,0.4927689646845498,
PG2020_Intensity 10h_A,0.48273854060860594,
RN2012_L12,0.49347731292880664,
MV2014_Ratio M/L normalized B1___3 (5 min),,
NJH2024_Sub8_MICT_Mid,0.4845248528939781,
AH2018_LFQ_IT_4_C,,
SAS2015_PLX/AZD_Exp1,0.49493955112269156,
FR2021_Norm.Intensity.A,0.47935859477739856,
FSO2013_Ratio H/M normalized Rep1___1,0.49480715922227975,
JW2015_Intensity cap2,,
BS2014_Log2(Ratio H/L normalized Rep_2),0.5002500959295563,
NJH2024_Sub6_MICT_Post,0.4867909033038696,
CK2022_8 40-1,0.4942991996047721,
RB2022_7_RecoveryEndurance,,
NJH2025_Sub12_HIIT_Post,,
EJN2021_4_Ex_Basal,,
TM2022_S2.12h.B,,
RN2012_L15,0.5032696802530975,
KS2014_Intensity pY_PV3,,
TM2022_S2.4h.B,,
PG2020_Intensity 4h_A,0.48348746660367253,
FSO2013_Ratio H/M normalized Rep2___2,,
TM2022_mock.4h.B,,
KBE2022_Log2_Ex_24_U,0.4813320064027277,
NJH2025_Sub13_MICT_Mid,0.48572673562623336,
KS2014_Intensity C3,0.4911069086856843,
RB2022_1_PreSprint,,
HS2024_4_I_N1,0.4840332276146526,
CK2022_7 200-1,0.49253655184801765,
CK2022_5 200-1,0.49358588995820984,
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,,
FSO2013_Ratio H/L normalized Rep2___1,0.49364638677511163,
NJH2024_Sub10_HIIT_Mid,0.4823678709439857,
RB2022_2_PostEndurance,,
AH2018_LFQ_2_C,,
AH2018_SILAC_MR_1_X,,0.61384870778759
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,
IMM2018_normalised rep. int. Empty-2,0.5033894685064284,
RM2024_Intensity D4-1,,
KBE2022_Log2_Ex_25_U,0.48125023732284034,
AH2018_SILAC_3_C,,
EJN2021_5_Rest_Ins,,
VOI2024_0.1uM 24 h_3 di,,
RNJ2017_Log2_ratio_Tstim:Trest_D3,,
DB2022_LFQ intensity L2.1,,
FSO2013_Ratio H/M normalized Rep1,0.47427563055793476,
CK2022_4 16-1,0.49489989594963474,
AS2011_Ratio H/L,,
SR2019_MCF7_Biol_repl_4,0.4720842155337953,
EJN2021_2_Ex_Ins,,
AS2011_Ratio H/L Inhi_2_3,,
JAW2011_Ratio H/L LS1a_1,,
AH2018_LFQ_1_N,,
SAS2015_PLX/DMSO_Exp1,0.4959582241138777,
SFR2015_HL_log2_ratio_avg_c,0.4809174101027787,
JJ2018_Ratio M/L normalized pP2,,
NJH2024_Sub7_MICT_Mid,,
PG2020_Intensity 6h_B,0.48094441801159504,
