DatasetName,INTS12_S(119) INTS12_S(127) INTS12_S(128) INTS12_S(375) INTS12_S(378) INTS12_T(125) INTS12_T(355),INTS12_S(379) INTS12_S(389) INTS12_S(427) INTS12_S(429) INTS12_S(437)
KBE2022_Log2_Ex_8_U,0.5812732689528942,
SR2019_SKBR3_Biol_repl_3,,
NJH2024_Sub1_MICT_Post,,
HS2024_3_I_T2,0.5756649674001613,
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,
RM2024_Intensity D0-3___3,,
HS2024_6_I_T2,0.5874134744798482,0.4369574183926247
CW2012_10 µM Erl/control Experiment 2 Replicate B,,
AS2011_Ratio H/L Protein Inhi_1,,
FSO2013_Ratio H/M normalized Rep2___1,0.5569280994362263,
GRW2016_Ratio M/L normalized SILAC 5a___2,,
CK2022_10 40-1,0.5671927156984264,
NJH2024_Sub12_HIIT_Pre,,
NJH2024_Sub8_MICT_Pre,,
RM2024_Intensity D0-1___1,,
LY2019_P3+,0.5771545036444553,
HH2022_Reporter intensity 6,0.5439257934635885,
RB2022_2_RecoveryStrength,,
KTGR2014_Ratio-AA 15 mins,,
AS2011_Ratio H/L Normalized RNAi_2_2,,
KS2014_Intensity pY_N3,,
MV2014_Ratio H/L normalized B1___2 (30 min),,
LY2019_P5-,0.5578920648783822,
HW2015_Ratio M/L normalized Exp2,,
SR2019_HCC1419_Biol_repl_1,,
AH2018_TMTMS2_3_X,0.5718341725470413,0.4751742731100002
GF2025_P3_Adh,0.5444105574580685,
SR2019_JIMT1_Biol_repl_2,,
AH2018_TMTMS2_1_C,0.5777202021545513,0.4632076243016975
RM2024_Intensity D0-1___2,,
LY2019_P4+,0.5429478662152895,
KBE2022_Log2_Ex_19_U,0.5677425486124087,
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,,
RB2022_4_PostStrength,,
LG2023_GSK3α-3_intensity,0.5651733160806114,
YA2020_Reporter_intensity_Cancer_No.1,0.5858005106204465,
AST2020_Control,0.5630624170018488,
JAW2011_Ratio H/L LS1a,,
RCJD2014_5min_mean,0.5634255820627717,
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,
NJH2025_Sub1_MICT_Mid,,
TM2022_S2.12h.C,,
NJH2025_Sub9_MICT_Mid,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,,
AS2011_Ratio H/L Normalized Inhi_1_2,,
FSO2013_Ratio M/L normalized Rep2___1,0.5563288109469873,
LG2023_Control-2_intensity,0.5724935620299084,
NJH2024_Sub8_HIIT_Pre,,
KS2014_Intensity pY_N2,,
RB2022_5_RecoverySprint,,
RB2022_7_RecoverySprint,,
YA2020_Reporter_intensity_Normal_No.3,0.5804880743725115,
HS2024_8_B_T2,0.5639702893082182,
AH2018_LFQ_1_X,0.5733324374141116,
RM2024_Intensity D6-1___1,,
RCJD2014_10min_2,0.5788554726124485,
FR2021_Norm.Intensity.M,,
RM2024_Intensity D0-3___1,,
KS2014_Intensity N2,0.5822129979978554,
HH2022_Reporter intensity 1,0.571895695588043,
HH2022_Reporter intensity 2,0.5808670343462662,
RM2024_Intensity D6-2___2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,
RM2024_Intensity D2-3___2,,
YA2020_Reporter_intensity_Normal_No.5,0.5808071418593791,
SR2019_MCF7_Biol_repl_1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,
HS2024_8_B_T1,0.5422743075783336,
NJH2025_Sub6_HIIT_Pre,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,
EP2017_Untreated R#2 log2 ratio,,
SR2019_LM2_Biol_repl_3,,
RB2022_4_RecoveryStrength,,
CR2017_Ratio Replicate 2,0.5857944150688489,
CW2012_10 µM Erl/control Experiment 2 Replicate A,,
FSO2013_Ratio H/M normalized Rep3,0.5787447793014503,
AR2021_KD 72h,0.5920002960301806,
MV2014_Ratio H/M normalized B2___3 (5 min),,
KBE2022_Log2_Ex_18_U,0.5771680978707707,
AS2011_Ratio H/L Inhi_1_1,,
NJH2024_Sub8_MICT_Post,,
AH2018_TMTMS3_3_C,0.5636530311853737,0.38555120860952563
KBE2022_Log2_Ex_9_U,0.5715766962432146,
AH2018_SILAC_M_3_N,0.5625848980016493,
KBE2022_Log2_Ex_13_T,0.574464380071878,
RM2024_Intensity D0-3,,
SR2019_SKBR3_Biol_repl_1,,
PG2020_Intensity Mock_10h_C,0.5486112752851163,
CF2017_OSE 29,,
YB2013_Ratio_H_L_Normalized_in_experiment_1,,
NJH2025_Sub1_HIIT_Post,,
DL2023_24h-2,,
HS2024_7_B_N2,0.5712219210999768,0.4357407086756903
PG2020_Intensity 10h_A,,
RN2012_L12,0.5575607658270723,
MV2014_Ratio M/L normalized B1___3 (5 min),,
NJH2024_Sub8_MICT_Mid,,
AH2018_LFQ_IT_4_C,,
SAS2015_PLX/AZD_Exp1,,
FR2021_Norm.Intensity.A,,
FSO2013_Ratio H/M normalized Rep1___1,0.5489183623305818,
JW2015_Intensity cap2,,
BS2014_Log2(Ratio H/L normalized Rep_2),,
NJH2024_Sub6_MICT_Post,,
CK2022_8 40-1,0.564638574370552,
RB2022_7_RecoveryEndurance,,
NJH2025_Sub12_HIIT_Post,,
EJN2021_4_Ex_Basal,,
TM2022_S2.12h.B,,
RN2012_L15,0.5827932112572202,
KS2014_Intensity pY_PV3,,
TM2022_S2.4h.B,,
PG2020_Intensity 4h_A,0.5462492671901906,
FSO2013_Ratio H/M normalized Rep2___2,,
TM2022_mock.4h.B,,
KBE2022_Log2_Ex_24_U,0.5777455095771333,
NJH2025_Sub13_MICT_Mid,,
KS2014_Intensity C3,0.5681288015324054,
RB2022_1_PreSprint,,
HS2024_4_I_N1,0.5611740635781642,
CK2022_7 200-1,0.570184376140301,0.443373442947068
CK2022_5 200-1,0.5700706489416626,0.4386769737833676
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,,
FSO2013_Ratio H/L normalized Rep2___1,0.5572376346337838,
NJH2024_Sub10_HIIT_Mid,,
RB2022_2_PostEndurance,,
AH2018_LFQ_2_C,0.5712282300655132,
AH2018_SILAC_MR_1_X,,
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,
IMM2018_normalised rep. int. Empty-2,,
RM2024_Intensity D4-1,,
KBE2022_Log2_Ex_25_U,0.5800383814307853,
AH2018_SILAC_3_C,,
EJN2021_5_Rest_Ins,,
VOI2024_0.1uM 24 h_3 di,,
RNJ2017_Log2_ratio_Tstim:Trest_D3,,
DB2022_LFQ intensity L2.1,,
FSO2013_Ratio H/M normalized Rep1,0.5469688927598355,
CK2022_4 16-1,0.5488988748599314,
AS2011_Ratio H/L,,
SR2019_MCF7_Biol_repl_4,,
EJN2021_2_Ex_Ins,,
AS2011_Ratio H/L Inhi_2_3,,
JAW2011_Ratio H/L LS1a_1,,
AH2018_LFQ_1_N,0.5686559414593858,
SAS2015_PLX/DMSO_Exp1,,
SFR2015_HL_log2_ratio_avg_c,,
JJ2018_Ratio M/L normalized pP2,,
NJH2024_Sub7_MICT_Mid,,
PG2020_Intensity 6h_B,,
FSO2013_Ratio H/L normalized Rep3,0.5635836439635181,
GRW2016_Ratio H/L normalized SILAC 2___2,,
RKK2015_IKKb(K44M)+TNF-α/TNF-α,0.5696097492875049,0.44164521405680396
JJ2018_Ratio M/L normalized,,
KTGR2014_Ratio-AA 30 mins,,
JW2021_After_1,,
NJH2025_Sub2_MICT_Mid,,
HS2024_6_B_N2,0.5510879609215605,
KBE2022_Log2_Ex_9_T,0.5782072090036373,
AH2018_SILAC_IT_2_N,,
AH2018_SILAC_IT_1_X,,
HW2015_Ratio H/L normalized Exp3,,
HS2024_7_PD_T1,0.5675599144520617,
UK2020_UA_2,,
RM2024_Intensity D2-1___1,,
GF2025_P10_Sph,0.5655770430857701,
WZ2023_Pe_025_20min,0.5610462861804001,0.4553567851469279
JVO2010_Log2 Ratio M/L Normalized aphidicolin,,
AH2018_LFQ_2_N,0.5710617204683931,
HS2024_4_I_N2,0.5594797605090325,
AH2018_TMTMS2_3_N,0.5700032076475956,0.4715632729742566
RN2012_H06,0.5644513955363419,
AS2011_Inhi 1_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
HS2024_4_PD_T3,0.5768747475734172,0.4484146334193528
